We acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.							
All submitters of data may be contacted directly via the GISAID website www.gisaid.org							
Segment ID	Segment	Country	Collection date	Isolate name	Originating Lab	Submitting Lab	Authors
							
EPI370315	HA	Philippines	2011-Oct-06	B/PHILIPPINES/3701/2011	Research Institute of Tropical Medicine	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370308	NP	Philippines	2011-Oct-06	B/PHILIPPINES/3701/2011	Research Institute of Tropical Medicine	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370309	NS	Philippines	2011-Oct-06	B/PHILIPPINES/3701/2011	Research Institute of Tropical Medicine	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370310	MP	Philippines	2011-Oct-06	B/PHILIPPINES/3701/2011	Research Institute of Tropical Medicine	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370311	PA	Philippines	2011-Oct-06	B/PHILIPPINES/3701/2011	Research Institute of Tropical Medicine	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370312	PB2	Philippines	2011-Oct-06	B/PHILIPPINES/3701/2011	Research Institute of Tropical Medicine	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370313	PB1	Philippines	2011-Oct-06	B/PHILIPPINES/3701/2011	Research Institute of Tropical Medicine	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370314	NA	Philippines	2011-Oct-06	B/PHILIPPINES/3701/2011	Research Institute of Tropical Medicine	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370285	NP	Australia	2006-Jun-06	B/VICTORIA/304/2006	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370286	NS	Australia	2006-Jun-06	B/VICTORIA/304/2006	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370287	MP	Australia	2006-Jun-06	B/VICTORIA/304/2006	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370288	PA	Australia	2006-Jun-06	B/VICTORIA/304/2006	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370289	PB2	Australia	2006-Jun-06	B/VICTORIA/304/2006	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370290	PB1	Australia	2006-Jun-06	B/VICTORIA/304/2006	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370291	NA	Australia	2006-Jun-06	B/VICTORIA/304/2006	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370292	HA	Australia	2006-Jun-06	B/VICTORIA/304/2006	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370173	NS	Australia	2012-Feb-26	B/VICTORIA/500/2012	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370174	NA	Australia	2012-Feb-26	B/VICTORIA/500/2012	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI370175	HA	Australia	2012-Feb-26	B/VICTORIA/500/2012	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI371933	PA	Australia	2012-Feb-26	B/VICTORIA/500/2012	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI371931	NP	Australia	2012-Feb-26	B/VICTORIA/500/2012	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI371932	MP	Australia	2012-Feb-26	B/VICTORIA/500/2012	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI371934	PB1	Australia	2012-Feb-26	B/VICTORIA/500/2012	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
EPI371935	PB2	Australia	2012-Feb-26	B/VICTORIA/500/2012	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza	Deng,Y-M; Iannello,P; Caldwell,N; Komadina,N.
