states	PB1	PB2	PA	NP	NA	MP	NS
20000000	2	2	2	5	4	1	5
20020000	2	1	2	5	4	1	6
20040000	2	1	1	4	3	1	5
20060000	2	1	1	5	4	1	5
20080000	2	1	2	5	3	1	5
20100000	2	2	1	6	4	1	5
20120000	2	1	2	6	4	1	5
20140000	2	1	2	4	4	1	5
20160000	2	1	2	4	4	1	6
20180000	2	2	2	6	3	2	5
20200000	2	1	2	4	3	1	5
20220000	2	1	2	5	4	1	5
20240000	2	1	2	8	3	1	5
20260000	2	1	4	5	3	1	6
20280000	2	1	1	5	3	1	5
20300000	2	1	2	6	4	1	5
20320000	2	1	2	5	3	1	5
20340000	2	1	2	7	3	1	5
20360000	2	1	2	5	3	2	5
20380000	2	1	2	5	3	1	5
20400000	3	1	2	6	3	1	5
20420000	3	1	2	6	5	1	6
20440000	2	1	2	7	3	1	5
20460000	2	1	1	5	4	1	5
20480000	3	1	2	7	3	1	6
20500000	2	1	2	5	4	1	5
20520000	2	3	2	6	3	1	6
20540000	2	1	2	5	4	1	5
20560000	3	1	1	5	3	1	6
20580000	2	1	2	5	3	1	6
20600000	2	2	2	5	3	1	5
20620000	2	2	2	5	4	1	6
20640000	3	1	2	5	4	1	6
20660000	2	1	2	5	3	1	6
20680000	2	1	2	6	3	1	5
20700000	2	1	2	5	3	1	5
20720000	2	1	2	5	5	1	5
20740000	3	1	2	4	3	1	5
20760000	2	3	1	4	3	2	5
20780000	2	1	2	5	3	1	5
20800000	2	2	2	5	4	1	5
20820000	2	1	1	5	4	1	5
20840000	3	1	2	5	3	1	5
20860000	2	1	2	6	4	1	5
20880000	2	1	1	5	3	1	5
20900000	2	2	2	5	3	1	5
20920000	2	1	2	5	3	1	5
20940000	2	1	1	5	3	1	5
20960000	2	1	2	4	3	1	5
20980000	2	1	2	4	4	1	5
21000000	2	1	2	4	3	1	5
21020000	2	1	2	4	4	1	5
21040000	2	1	2	5	3	1	5
21060000	2	1	2	6	4	1	5
21080000	2	2	2	4	4	1	6
21100000	2	1	2	4	4	1	5
21120000	2	1	2	5	4	1	5
21140000	2	1	2	5	4	2	6
21160000	2	1	3	6	5	1	6
21180000	2	2	2	6	4	1	6
21200000	2	1	1	6	4	1	5
21220000	2	1	2	5	3	1	6
21240000	2	1	2	6	4	1	5
21260000	2	1	2	5	4	1	5
21280000	2	1	2	4	4	1	5
21300000	3	2	2	6	3	1	6
21320000	2	3	2	7	3	1	5
