states	PB1	PB2	PA	HA	NP	NA	NS
20000000	4	4	3	5	4	3	11
20020000	4	4	2	6	3	3	10
20040000	4	4	6	5	3	3	10
20060000	4	4	3	5	3	3	10
20080000	4	4	3	5	4	2	11
20100000	4	4	3	6	3	2	9
20120000	4	3	5	5	3	2	9
20140000	4	5	4	5	5	2	10
20160000	4	4	3	5	4	2	8
20180000	4	4	3	5	3	3	9
20200000	4	4	3	5	4	3	8
20220000	4	6	4	5	3	3	9
20240000	4	3	4	5	3	2	9
20260000	4	4	3	5	3	2	8
20280000	5	4	4	5	4	3	10
20300000	4	4	3	5	4	2	11
20320000	4	5	2	5	3	3	10
20340000	5	4	3	6	3	4	10
20360000	4	4	3	5	3	3	10
20380000	5	4	3	6	4	3	11
20400000	4	4	3	7	4	2	8
20420000	4	4	3	5	3	2	9
20440000	4	4	4	5	3	2	8
20460000	4	4	4	5	3	2	8
20480000	4	4	3	5	3	3	8
20500000	4	3	3	7	3	3	9
20520000	4	4	3	5	3	3	9
20540000	4	4	4	6	3	2	8
20560000	4	4	5	5	3	2	8
20580000	5	4	4	5	3	4	10
20600000	5	4	3	5	3	3	9
20620000	5	3	2	5	5	2	10
20640000	4	4	3	5	4	3	11
20660000	5	4	6	5	4	2	8
20680000	4	4	3	5	3	2	8
20700000	4	4	4	5	3	2	8
20720000	4	4	6	5	3	3	10
20740000	4	4	3	5	3	3	10
20760000	4	4	2	5	3	2	9
20780000	5	3	3	5	3	2	8
20800000	7	3	5	5	3	2	8
20820000	5	4	6	5	3	2	9
20840000	4	4	5	6	4	2	9
20860000	4	5	3	5	3	3	8
20880000	5	4	3	5	4	2	10
20900000	4	5	4	5	3	2	8
20920000	4	4	4	5	4	2	8
20940000	4	4	3	5	3	3	9
20960000	4	5	4	5	3	2	9
20980000	4	3	4	5	3	2	8
21000000	5	4	4	6	6	2	9
21020000	5	5	4	5	4	2	11
21040000	4	4	6	5	3	2	8
21060000	4	5	4	5	3	3	11
21080000	4	4	5	5	5	2	10
21100000	4	4	3	5	3	2	9
21120000	4	3	3	5	3	2	8
21140000	4	4	5	5	3	3	9
21160000	4	4	3	5	3	3	9
21180000	4	3	4	5	3	2	9
21200000	4	4	5	5	3	2	9
21220000	4	3	3	5	3	2	8
21240000	4	4	5	5	3	2	8
21260000	6	4	3	5	3	3	9
21280000	4	4	3	5	3	2	9
21300000	4	4	3	5	3	2	9
21320000	4	3	4	5	3	4	8
21340000	4	4	4	5	3	2	9
21360000	4	4	3	5	3	2	8
21380000	5	3	3	5	3	2	9
21400000	4	4	5	5	3	2	8
21420000	4	3	5	5	3	2	9
21440000	4	4	4	5	3	2	10
21460000	5	5	4	5	3	2	9
21480000	5	4	3	5	5	3	9
21500000	5	4	3	5	3	3	8
21520000	4	3	4	6	4	2	10
21540000	4	3	4	5	3	4	9
21560000	4	5	3	5	5	2	11
21580000	5	4	4	5	3	2	9
21600000	4	4	6	5	3	3	11
21620000	4	3	4	5	4	2	8
21640000	5	3	4	5	3	2	8
21660000	5	4	7	6	3	2	9
21680000	5	3	3	5	4	2	11
21700000	4	4	5	5	4	2	9
21720000	4	3	3	5	3	2	9
21740000	4	4	7	5	3	2	9
21760000	4	4	3	5	3	2	11
21780000	4	4	7	5	3	2	9
21800000	4	4	5	6	3	2	9
21820000	4	4	4	5	3	4	10
21840000	4	4	4	5	3	2	9
21860000	4	4	4	5	4	3	10
21880000	4	4	3	5	3	2	8
21900000	4	5	3	5	3	4	8
21920000	5	4	3	5	4	3	9
21940000	4	4	5	5	4	2	10
21960000	5	4	3	5	3	3	9
21980000	4	4	2	6	4	2	10
22000000	4	3	3	6	5	3	11
22020000	4	4	2	5	4	2	10
22040000	4	4	3	6	3	2	12
22060000	4	4	2	4	4	2	11
22080000	4	4	2	5	3	3	9
22100000	4	5	4	4	3	3	10
22120000	4	4	3	5	3	3	10
22140000	4	4	2	5	6	3	10
22160000	4	3	3	5	4	3	11
22180000	6	3	2	5	4	2	9
22200000	6	4	6	7	4	3	9
22220000	5	4	4	5	4	3	9
22240000	4	3	3	5	4	3	10
22260000	4	4	3	5	6	2	9
22280000	4	5	3	6	4	2	9
22300000	4	5	2	5	4	3	9
22320000	4	4	2	5	3	3	11
