states	PB1	PB2	PA	HA	NP	MP	NS
20000000	4	2	5	6	6	3	5
20020000	4	2	5	5	7	3	6
20040000	4	2	4	5	6	3	6
20060000	4	2	5	5	7	3	5
20080000	4	2	5	6	5	3	5
20100000	4	2	7	6	5	5	5
20120000	4	2	5	6	5	3	5
20140000	4	2	5	6	5	5	6
20160000	3	2	4	4	5	3	6
20180000	4	2	5	5	6	3	5
20200000	4	2	5	5	5	3	4
20220000	4	2	5	5	8	3	5
20240000	4	2	5	6	5	6	5
20260000	4	2	6	6	6	3	5
20280000	4	2	4	6	6	3	5
20300000	4	2	5	6	8	3	5
20320000	4	2	5	6	7	3	5
20340000	4	2	8	5	7	3	5
20360000	4	2	5	5	6	3	5
20380000	5	2	4	5	5	3	5
20400000	4	2	5	5	5	3	6
20420000	4	2	5	6	5	3	5
20440000	4	2	5	5	9	4	6
20460000	4	2	5	6	7	3	5
20480000	4	2	5	6	8	3	6
20500000	4	2	5	5	7	3	7
20520000	4	2	5	5	7	3	5
20540000	4	4	5	5	8	3	5
20560000	4	2	5	6	6	3	5
20580000	4	2	5	6	7	3	5
20600000	4	2	5	6	7	3	6
20620000	4	2	5	5	7	3	8
20640000	4	2	5	5	7	3	6
20660000	4	2	5	6	7	3	5
20680000	4	2	4	6	8	3	6
20700000	4	2	6	6	7	3	6
20720000	4	2	5	5	6	3	5
20740000	4	2	5	7	7	5	5
20760000	4	2	5	6	8	3	6
20780000	4	2	5	5	7	3	5
20800000	4	2	5	5	7	6	6
20820000	4	2	6	5	7	3	5
20840000	4	2	5	5	9	3	6
20860000	4	2	4	5	7	3	5
20880000	4	2	5	5	9	3	5
20900000	3	2	4	4	7	3	5
20920000	4	2	4	5	6	5	5
20940000	4	2	4	6	8	3	6
20960000	4	2	4	5	8	3	5
20980000	4	2	6	5	8	3	5
21000000	5	2	5	5	8	3	6
21020000	4	2	5	6	8	3	4
21040000	4	2	5	6	6	3	4
21060000	4	2	5	5	6	3	6
21080000	4	2	5	5	7	3	5
21100000	4	2	5	6	7	3	5
21120000	4	2	5	6	6	3	6
21140000	4	2	7	6	6	3	5
21160000	4	2	6	6	8	3	7
21180000	4	2	9	6	9	3	5
21200000	4	2	5	5	8	5	5
21220000	4	2	5	6	7	3	5
21240000	4	2	5	5	7	3	5
21260000	4	3	4	6	9	3	5
21280000	4	2	8	5	7	3	6
21300000	4	2	6	6	6	3	5
21320000	4	2	6	6	7	3	5
21340000	4	3	5	6	7	3	6
21360000	4	2	5	5	7	3	5
21380000	4	2	4	5	9	3	4
21400000	4	2	6	5	7	3	5
21420000	4	2	5	5	7	3	5
21440000	4	2	4	5	7	3	5
21460000	4	2	5	5	7	3	6
21480000	4	2	5	6	6	3	6
21500000	4	2	5	6	7	3	5
21520000	4	2	5	5	6	3	5
21540000	4	2	7	6	6	3	5
21560000	4	2	5	5	9	3	5
21580000	4	2	5	5	6	3	5
21600000	4	2	6	5	6	3	5
21620000	4	2	4	4	8	3	6
21640000	4	2	4	4	7	3	6
21660000	4	2	5	4	8	3	6
21680000	4	2	3	4	6	3	6
21700000	4	2	3	4	7	3	7
21720000	5	2	5	5	7	3	6
21740000	4	2	5	5	7	3	6
21760000	4	2	5	5	7	3	5
21780000	4	2	5	5	7	3	5
21800000	4	4	7	6	6	3	6
21820000	5	2	5	5	7	3	5
21840000	4	2	4	6	6	3	5
21860000	4	2	5	6	6	3	5
21880000	4	2	5	6	6	3	4
21900000	4	2	5	6	8	3	5
21920000	4	2	5	7	8	3	5
21940000	4	2	5	5	7	3	6
21960000	4	2	5	5	5	3	5
21980000	4	2	5	5	5	3	5
22000000	4	2	5	5	5	3	5
22020000	4	3	5	6	7	3	5
22040000	4	2	5	5	6	3	5
22060000	4	2	4	5	6	3	5
22080000	4	2	6	6	9	3	5
22100000	4	2	5	5	6	3	8
22120000	4	2	4	5	7	4	5
22140000	4	2	5	5	6	3	5
22160000	4	3	5	5	7	3	5
22180000	4	2	5	5	7	3	5
22200000	5	2	5	6	6	3	6
22220000	4	2	6	6	7	3	5
22240000	4	2	5	6	5	3	4
22260000	4	2	4	6	5	6	6
22280000	4	2	4	6	5	3	6
22300000	5	2	5	5	6	3	5
22320000	4	2	6	5	7	3	9
22340000	4	2	5	6	9	3	6
22360000	4	3	6	5	7	3	5
22380000	4	2	5	5	6	3	6
22400000	4	2	5	4	7	4	5
22420000	4	3	5	5	6	3	5
22440000	4	2	5	6	9	3	5
22460000	4	2	6	5	6	3	5
22480000	4	2	4	5	6	3	6
22500000	4	2	5	4	6	3	6
22520000	4	2	4	5	5	3	5
22540000	4	2	5	6	7	3	5
22560000	4	2	5	6	7	5	5
22580000	4	2	5	5	5	3	5
22600000	4	2	5	6	8	4	5
22620000	4	2	7	6	5	5	5
22640000	4	2	6	5	7	3	6
22660000	4	2	5	7	5	3	6
22680000	4	2	4	6	8	3	6
22700000	4	2	5	5	7	3	5
22720000	4	2	4	5	6	3	6
22740000	4	2	5	5	7	3	5
22760000	4	2	6	6	8	4	5
22780000	4	2	5	5	6	3	6
22800000	4	2	5	6	6	4	6
22820000	4	2	4	7	7	5	5
22840000	4	2	5	5	9	3	5
22860000	4	2	5	6	6	3	5
22880000	4	2	5	6	6	3	5
22900000	4	2	5	5	5	4	5
22920000	4	2	8	5	7	3	5
22940000	4	2	5	7	6	3	5
22960000	4	2	4	4	6	3	6
22980000	4	2	8	6	6	3	5
23000000	4	2	5	6	6	3	5
23020000	4	2	6	7	9	3	6
23040000	4	2	5	5	7	3	6
23060000	4	2	6	5	7	3	6
23080000	4	2	5	5	7	3	5
23100000	4	2	5	5	7	3	5
23120000	4	2	6	6	6	3	5
23140000	3	2	5	4	8	3	5
23160000	4	2	5	6	6	3	5
23180000	4	2	6	5	7	3	5
23200000	4	2	5	5	7	6	5
23220000	4	2	4	5	9	5	5
23240000	4	2	8	6	8	3	5
23260000	4	2	5	5	9	3	7
23280000	4	2	5	5	5	3	5
23300000	4	2	5	6	6	3	5
23320000	4	2	5	6	7	3	6
23340000	4	2	7	5	8	3	5
23360000	4	2	6	5	6	5	6
23380000	4	2	7	5	6	3	4
23400000	4	2	4	5	7	3	5
23420000	4	2	5	6	6	5	5
23440000	4	2	5	5	6	3	5
23460000	4	2	4	5	6	3	6
23480000	4	2	5	6	6	3	6
23500000	4	2	5	5	7	3	7
23520000	4	2	7	7	7	3	5
23540000	4	2	5	6	7	3	5
23560000	4	2	5	5	7	3	5
23580000	4	2	4	5	8	3	6
23600000	4	2	5	5	5	3	6
