states	PB1	PB2	PA	HA	NA	MP	NS
20000000	6	4	3	7	4	0	7
20020000	6	4	7	7	4	0	6
20040000	6	4	7	6	4	0	7
20060000	7	4	3	9	4	0	7
20080000	6	4	4	7	4	0	8
20100000	6	4	4	7	4	0	6
20120000	5	4	4	7	4	0	8
20140000	6	4	3	7	4	0	7
20160000	6	4	4	7	5	0	6
20180000	6	4	4	7	4	0	7
20200000	6	4	4	7	4	0	7
20220000	6	4	4	7	4	0	6
20240000	6	5	4	7	4	0	9
20260000	7	4	5	7	4	0	10
20280000	6	4	4	7	4	0	7
20300000	7	4	5	8	4	0	6
20320000	6	4	3	7	4	0	7
20340000	5	4	4	7	5	0	8
20360000	5	4	4	7	5	0	7
20380000	5	4	4	7	4	0	8
20400000	6	4	4	7	4	0	8
20420000	6	4	4	7	4	0	7
20440000	5	4	3	7	4	0	6
20460000	6	4	4	7	4	0	7
20480000	5	4	6	7	4	0	7
20500000	6	4	9	7	5	0	6
20520000	6	4	3	7	4	0	7
20540000	6	4	4	7	4	2	8
20560000	6	4	3	8	4	0	7
20580000	6	4	4	7	4	0	7
20600000	6	4	6	7	4	0	6
20620000	6	4	5	7	4	0	6
20640000	6	7	4	7	6	0	7
20660000	6	4	4	8	4	0	8
20680000	5	4	4	7	4	0	7
20700000	6	7	4	7	4	0	7
20720000	6	6	3	7	8	0	6
20740000	6	4	6	7	5	0	7
20760000	6	4	5	7	4	0	8
20780000	6	5	3	7	4	0	7
20800000	6	4	4	7	4	0	7
20820000	6	4	4	7	5	0	7
20840000	6	4	4	7	5	0	8
20860000	7	4	4	7	4	0	7
20880000	6	4	4	9	5	0	7
20900000	6	4	4	7	5	0	6
20920000	6	4	5	7	5	0	7
20940000	7	4	5	7	5	0	7
20960000	6	4	5	8	4	0	8
20980000	6	4	4	7	4	0	7
21000000	6	4	4	7	4	0	7
21020000	6	4	4	7	3	0	7
21040000	6	5	4	7	4	1	6
21060000	6	4	4	7	4	0	7
21080000	6	4	6	7	5	0	7
21100000	6	4	3	6	4	0	7
21120000	7	4	4	7	4	0	7
21140000	6	4	4	7	6	0	6
21160000	6	4	6	8	4	0	7
21180000	6	4	3	7	5	0	7
21200000	6	4	3	7	4	0	9
