states	PB1	PB2	PA	HA	NP	NA	MP
20000000	5	3	4	6	4	2	1
20020000	8	3	5	6	4	2	1
20040000	6	3	8	7	7	3	2
20060000	6	3	6	6	4	2	1
20080000	5	3	7	8	5	2	1
20100000	5	3	4	8	6	2	1
20120000	5	3	5	6	5	2	2
20140000	5	3	4	6	5	2	1
20160000	6	3	7	7	4	2	1
20180000	5	3	5	8	4	2	1
20200000	6	3	3	6	3	2	2
20220000	5	3	5	7	4	2	1
20240000	5	3	5	6	4	2	1
20260000	6	3	9	7	4	2	1
20280000	7	3	5	7	4	2	1
20300000	5	3	6	7	4	2	1
20320000	7	3	6	7	4	2	2
20340000	7	3	6	7	4	2	1
20360000	7	3	5	7	4	2	1
20380000	7	3	4	7	4	2	1
20400000	5	3	4	6	4	2	1
20420000	5	3	5	6	3	2	1
20440000	6	3	5	6	4	3	1
20460000	5	3	4	6	4	2	1
20480000	5	3	4	7	5	3	1
20500000	5	3	4	7	3	2	1
20520000	6	3	5	7	3	3	1
20540000	5	4	5	8	4	2	1
20560000	7	4	5	7	4	2	1
20580000	5	3	4	7	3	2	1
20600000	6	3	4	7	5	2	3
20620000	5	3	4	6	5	2	1
20640000	5	3	3	6	3	2	1
20660000	6	3	4	6	3	2	1
20680000	5	3	4	6	4	2	1
20700000	6	3	7	6	6	2	3
20720000	5	3	3	6	4	2	1
20740000	6	3	5	7	3	2	1
20760000	5	3	3	7	3	3	1
20780000	5	3	6	7	3	2	1
20800000	6	3	3	7	3	2	1
20820000	8	3	5	7	4	2	1
20840000	8	4	4	8	4	2	1
20860000	7	3	6	7	5	2	1
20880000	6	3	6	7	4	2	1
20900000	6	3	6	6	5	2	1
20920000	5	3	6	7	4	2	1
20940000	8	3	5	7	5	2	1
20960000	5	3	6	8	6	2	2
20980000	6	3	7	7	5	2	2
21000000	7	3	6	7	5	2	2
21020000	5	3	4	7	5	2	2
21040000	6	3	5	6	5	2	2
21060000	6	3	4	6	6	2	2
21080000	5	3	5	7	5	2	2
21100000	5	3	4	6	5	2	2
21120000	5	3	5	6	6	2	3
21140000	5	3	5	5	6	2	2
21160000	5	3	5	6	5	2	2
21180000	5	3	5	8	5	2	2
21200000	5	3	5	5	5	2	2
21220000	5	3	4	6	5	2	2
21240000	6	3	4	5	6	2	2
21260000	5	3	5	6	5	2	2
21280000	5	3	5	6	5	2	2
21300000	5	3	5	6	6	2	2
21320000	7	3	6	8	5	2	2
21340000	6	3	5	7	5	3	2
21360000	6	3	4	7	5	2	2
21380000	5	3	4	7	4	2	1
21400000	5	4	4	7	4	2	1
21420000	5	3	4	8	4	2	1
21440000	5	3	4	6	4	2	1
21460000	5	3	4	6	4	2	1
21480000	6	3	5	6	5	3	1
21500000	7	3	6	6	5	2	2
21520000	5	3	5	7	5	2	2
21540000	5	3	6	6	5	2	2
21560000	5	3	5	5	5	2	2
21580000	5	3	5	6	5	2	2
21600000	5	3	5	7	5	2	3
21620000	6	3	5	6	5	2	2
21640000	8	3	5	6	4	2	2
21660000	5	3	4	6	4	2	3
