states	PB1	PB2	HA	NP	NA	MP	NS
20000000	5	3	2	5	2	2	7
20020000	7	2	3	5	2	2	7
20040000	5	2	3	5	2	2	6
20060000	6	2	2	7	2	2	6
20080000	5	2	2	5	2	2	6
20100000	5	2	2	7	3	2	8
20120000	5	2	2	7	2	2	5
20140000	6	3	2	5	2	2	6
20160000	5	2	3	6	3	2	7
20180000	7	2	3	5	4	2	7
20200000	5	2	2	5	2	2	6
20220000	6	2	2	5	4	2	9
20240000	5	2	3	5	3	2	10
20260000	5	2	2	5	2	3	7
20280000	5	2	2	6	2	2	5
20300000	5	2	2	6	2	2	5
20320000	6	2	3	5	2	2	7
20340000	5	2	2	5	3	3	6
20360000	5	4	2	5	2	2	9
20380000	6	4	2	5	2	2	7
20400000	6	3	2	5	2	2	6
20420000	5	2	3	6	2	2	6
20440000	6	2	3	5	2	2	8
20460000	5	3	2	6	2	2	6
20480000	5	2	3	5	2	2	5
20500000	5	2	2	5	2	2	6
20520000	5	2	2	5	2	2	6
20540000	5	2	4	7	3	2	6
20560000	5	3	2	6	2	2	6
20580000	5	2	3	6	2	2	7
20600000	6	2	2	5	3	2	5
20620000	6	3	3	5	5	2	7
20640000	5	3	2	7	2	2	6
20660000	5	2	2	6	2	2	7
20680000	5	2	2	5	2	2	5
20700000	5	3	3	5	3	3	6
20720000	5	3	2	6	4	2	7
20740000	5	2	3	6	2	2	8
20760000	6	3	2	5	2	2	9
20780000	7	2	3	5	2	2	8
20800000	7	2	3	5	2	2	5
20820000	6	4	4	5	3	2	6
20840000	5	2	2	7	2	2	6
20860000	5	3	3	5	2	2	5
20880000	5	2	4	5	2	2	6
20900000	5	3	4	5	3	2	6
20920000	7	2	3	5	2	2	10
20940000	5	2	2	5	3	2	7
20960000	6	3	2	5	2	2	5
20980000	6	2	2	5	2	2	8
21000000	6	2	2	6	2	3	9
21020000	5	2	2	5	2	2	5
21040000	5	2	2	6	2	2	6
21060000	5	2	2	5	2	2	6
21080000	5	2	3	6	3	2	6
21100000	5	3	3	7	3	2	7
21120000	5	2	2	5	2	2	8
21140000	5	2	3	5	2	2	7
21160000	6	2	2	5	2	2	7
21180000	6	3	2	6	2	2	6
21200000	6	2	2	6	2	2	7
21220000	5	3	2	6	3	2	8
21240000	5	2	4	6	2	2	6
21260000	5	3	2	6	2	2	6
21280000	6	2	3	5	3	2	8
21300000	5	3	3	6	2	2	5
21320000	5	2	3	6	2	2	5
21340000	5	3	3	5	2	2	8
21360000	7	2	3	5	2	2	6
21380000	5	3	2	5	2	2	5
21400000	6	3	2	7	2	2	6
21420000	5	4	3	6	2	2	6
21440000	5	3	2	5	2	2	6
21460000	5	2	2	5	2	2	6
21480000	6	3	2	6	3	2	5
21500000	6	2	3	7	2	2	6
21520000	5	3	3	6	3	2	9
21540000	5	2	2	6	2	2	7
21560000	5	2	2	5	2	2	9
21580000	5	2	2	7	3	2	10
21600000	6	5	4	8	2	2	7
21620000	5	2	3	8	2	2	6
21640000	7	5	2	6	3	3	6
21660000	5	2	2	9	3	2	9
21680000	5	2	2	9	2	3	7
21700000	5	2	4	5	2	2	7
21720000	5	2	3	5	2	2	6
21740000	5	2	3	5	3	2	8
21760000	5	2	3	5	2	2	6
21780000	6	2	3	5	2	2	5
21800000	5	3	3	5	2	2	5
21820000	5	2	3	5	2	2	8
21840000	5	2	3	5	2	2	8
21860000	6	4	4	5	2	2	6
21880000	7	2	3	6	2	2	6
21900000	5	2	2	5	2	2	6
21920000	5	2	2	6	2	2	7
21940000	6	2	4	6	2	2	6
21960000	5	5	3	6	3	2	6
21980000	6	3	3	5	3	3	7
22000000	6	3	2	9	2	2	6
22020000	6	4	3	5	3	2	7
22040000	5	2	2	5	2	2	6
22060000	6	3	3	6	2	2	6
22080000	5	2	3	5	2	2	6
22100000	8	3	3	8	3	2	7
22120000	5	3	3	5	3	2	6
22140000	6	2	5	6	2	2	7
22160000	5	3	3	5	2	3	5
22180000	5	2	2	6	2	2	6
22200000	5	4	2	5	2	2	7
22220000	5	2	3	6	3	2	6
22240000	5	4	2	5	2	2	7
22260000	6	2	2	9	2	2	7
22280000	6	4	3	6	2	2	7
22300000	6	2	2	6	3	2	7
22320000	5	2	2	5	3	2	7
22340000	6	3	2	5	2	2	5
22360000	5	2	2	5	3	2	5
22380000	5	2	2	5	2	2	5
22400000	6	2	2	5	3	2	6
22420000	5	2	2	5	2	2	6
22440000	7	3	2	5	2	3	5
22460000	6	3	2	5	3	2	6
22480000	5	3	3	5	2	2	6
22500000	6	2	2	5	2	2	10
22520000	7	2	3	5	2	2	8
22540000	5	3	2	6	2	2	6
22560000	5	3	2	5	2	3	7
22580000	5	4	2	5	2	2	6
22600000	5	2	2	6	2	2	10
22620000	6	2	3	7	3	2	6
22640000	5	2	2	6	2	2	8
22660000	5	3	2	6	2	2	7
22680000	7	2	2	8	3	2	5
22700000	6	2	4	5	2	2	8
22720000	6	2	3	5	3	2	6
22740000	6	2	2	5	2	2	5
22760000	6	2	3	6	3	2	6
22780000	6	2	4	7	2	2	6
22800000	5	3	3	5	2	2	8
22820000	5	2	3	5	2	2	6
22840000	6	4	3	6	2	2	8
22860000	5	3	2	6	3	2	8
22880000	5	2	2	5	2	2	5
22900000	6	3	2	5	2	2	7
22920000	5	4	2	5	3	3	5
22940000	5	2	2	5	2	2	5
22960000	7	3	3	5	4	2	7
22980000	6	3	3	6	4	2	8
23000000	6	2	2	8	3	2	9
23020000	5	2	2	5	3	2	8
23040000	5	2	4	5	2	2	8
23060000	5	3	2	5	2	2	8
23080000	5	3	3	5	2	2	7
23100000	5	2	2	5	2	2	10
23120000	5	3	2	5	4	2	10
23140000	5	2	3	5	3	3	7
23160000	6	2	3	5	2	2	8
23180000	5	3	2	5	4	2	5
23200000	5	3	2	5	2	3	6
23220000	5	2	2	6	2	2	6
23240000	7	3	2	7	3	2	7
23260000	5	3	2	5	3	2	6
23280000	6	2	2	6	3	3	7
23300000	5	3	3	6	3	2	7
23320000	7	3	2	5	2	2	5
23340000	5	2	3	5	2	2	7
23360000	5	3	3	7	4	2	5
23380000	5	2	2	5	2	2	6
23400000	5	2	2	5	2	2	8
23420000	6	3	2	5	2	2	5
23440000	5	3	3	6	4	2	6
23460000	5	2	3	6	2	2	6
23480000	5	2	2	6	2	2	8
23500000	5	3	2	5	3	3	5
23520000	5	3	2	5	2	2	7
23540000	6	3	3	5	2	2	8
