states	PB2	PA	HA	NP	NA	MP	NS
20000000	3	5	3	6	2	2	4
20020000	2	5	4	6	2	2	6
20040000	2	5	3	5	2	2	5
20060000	2	5	3	5	2	2	5
20080000	2	6	4	5	2	2	4
20100000	2	5	3	5	2	2	4
20120000	3	5	4	5	2	2	4
20140000	2	5	3	6	2	2	3
20160000	3	5	3	7	2	2	4
20180000	2	5	4	7	2	2	5
20200000	2	5	4	5	2	2	5
20220000	2	5	3	5	2	2	4
20240000	2	6	3	9	2	2	5
20260000	2	5	4	5	2	2	5
20280000	3	5	4	5	2	2	5
20300000	2	5	3	8	2	4	4
20320000	2	5	3	5	2	2	6
20340000	3	5	3	5	2	2	3
20360000	3	5	3	5	2	2	4
20380000	2	5	3	5	2	2	3
20400000	3	5	4	5	2	2	4
20420000	2	5	3	5	2	2	5
20440000	2	5	3	5	2	2	4
20460000	2	5	3	5	2	2	4
20480000	2	5	3	6	2	2	5
20500000	2	5	3	5	2	2	7
20520000	2	5	3	5	2	2	5
20540000	2	5	4	5	2	2	4
20560000	2	5	4	5	2	2	4
20580000	2	6	3	5	2	2	5
20600000	2	6	3	5	2	2	4
20620000	3	5	3	5	2	2	4
20640000	2	5	3	5	2	2	4
20660000	2	6	4	8	3	2	5
20680000	3	6	3	5	2	2	4
20700000	3	4	4	5	4	2	3
20720000	2	5	3	5	2	2	4
20740000	2	5	4	5	2	2	4
20760000	2	6	3	5	2	2	4
20780000	2	6	3	6	2	2	4
20800000	2	5	3	7	2	2	4
20820000	2	5	3	5	2	2	3
20840000	2	5	3	6	2	2	3
20860000	2	5	3	5	2	2	5
20880000	2	5	3	5	2	2	4
20900000	2	5	4	5	2	3	5
20920000	2	6	4	5	2	2	4
20940000	2	6	3	5	2	2	5
20960000	2	4	3	5	2	2	4
20980000	2	5	3	5	2	2	3
21000000	3	5	4	5	2	2	5
21020000	3	8	4	5	2	2	4
21040000	2	5	3	5	2	2	5
21060000	3	5	4	5	2	2	4
21080000	2	4	3	5	2	2	4
21100000	2	5	3	5	2	2	4
21120000	2	5	4	5	2	2	4
21140000	2	5	3	5	2	2	4
21160000	2	5	4	5	2	2	4
21180000	2	5	3	5	2	2	4
21200000	2	5	3	5	2	2	3
21220000	2	5	3	6	2	2	4
21240000	2	5	3	5	2	2	4
21260000	3	6	3	5	2	2	3
21280000	2	5	3	6	2	2	4
21300000	2	5	3	5	3	2	5
21320000	3	5	4	6	2	2	3
21340000	2	4	3	7	2	2	4
21360000	3	6	4	6	2	2	4
21380000	2	6	3	6	2	3	5
21400000	2	5	4	5	2	2	4
21420000	2	4	3	5	2	2	5
21440000	3	5	4	5	2	2	5
21460000	2	5	3	6	2	2	5
21480000	2	5	3	5	2	2	4
21500000	2	5	3	6	2	2	6
21520000	2	4	3	5	3	2	3
21540000	2	6	4	5	3	2	4
21560000	2	5	3	5	2	2	5
21580000	2	5	3	5	2	2	3
21600000	2	5	3	5	2	2	4
21620000	2	6	3	5	2	2	4
21640000	2	5	3	6	2	2	4
21660000	2	5	4	5	2	2	5
21680000	2	5	3	7	2	2	4
21700000	2	5	3	5	2	2	4
21720000	2	5	3	5	2	2	6
21740000	2	4	4	6	2	4	3
21760000	2	5	3	5	4	2	3
21780000	2	5	3	5	2	2	5
21800000	2	6	3	5	2	2	5
21820000	2	5	4	5	2	2	4
21840000	2	4	3	6	2	2	4
21860000	2	5	3	7	2	2	6
21880000	2	7	3	6	2	2	4
21900000	2	5	3	5	2	2	5
21920000	3	5	3	6	2	2	6
21940000	2	5	3	5	2	2	3
21960000	3	5	4	5	2	2	5
21980000	2	5	3	6	2	2	5
22000000	2	6	3	6	3	2	5
22020000	2	6	3	5	2	2	5
22040000	2	5	3	5	2	2	6
22060000	2	5	3	5	2	2	4
22080000	2	5	4	5	3	2	5
22100000	2	5	3	5	2	2	4
22120000	2	6	3	5	2	6	5
22140000	2	4	3	7	3	2	5
22160000	3	5	4	5	2	2	5
22180000	3	6	4	6	2	2	5
22200000	3	5	4	7	2	2	5
22220000	2	4	4	5	2	2	4
22240000	2	5	3	6	2	2	3
22260000	2	5	3	5	3	2	4
22280000	2	6	3	5	2	4	4
22300000	2	5	3	5	2	2	4
22320000	2	5	3	5	2	2	5
22340000	2	5	3	5	3	2	6
22360000	2	9	4	5	3	2	4
22380000	2	5	4	6	3	3	5
22400000	2	6	3	5	2	2	5
22420000	2	5	3	5	2	2	8
22440000	2	5	3	7	2	3	5
22460000	2	5	4	5	2	2	5
22480000	2	5	3	5	2	2	4
22500000	3	5	4	5	2	2	5
22520000	2	4	3	5	2	2	4
22540000	2	6	3	7	2	2	4
22560000	2	5	4	5	2	2	5
22580000	3	5	3	5	2	2	4
22600000	2	5	3	5	2	2	4
22620000	3	5	3	5	2	2	4
22640000	2	5	3	6	2	2	4
22660000	2	6	3	5	2	2	4
22680000	2	5	3	5	2	4	4
22700000	2	4	3	5	2	2	4
22720000	2	5	3	5	2	2	4
22740000	2	7	4	5	2	2	4
22760000	2	5	3	5	2	2	4
22780000	2	5	4	5	2	2	4
22800000	2	5	3	5	2	2	4
22820000	2	5	3	5	2	2	5
22840000	2	5	3	5	2	2	5
22860000	2	6	3	5	2	2	4
22880000	3	5	4	5	2	2	5
22900000	2	6	3	5	2	2	4
22920000	2	6	3	5	2	2	4
22940000	2	5	3	5	2	2	5
22960000	3	5	3	5	2	2	4
22980000	2	6	3	5	2	2	4
23000000	2	5	3	5	2	2	3
23020000	2	5	4	5	2	2	4
23040000	2	5	4	5	2	2	4
23060000	2	6	3	5	2	2	5
23080000	2	5	3	5	2	2	4
23100000	2	5	4	5	2	2	4
23120000	2	4	3	5	2	2	6
23140000	2	5	3	5	2	2	3
23160000	2	5	3	5	2	2	4
23180000	2	7	4	5	2	2	5
23200000	2	5	3	5	2	2	4
23220000	2	5	3	5	2	2	3
23240000	2	5	3	5	2	2	4
23260000	2	5	4	5	2	2	5
23280000	3	5	4	5	2	2	5
23300000	2	5	3	5	2	2	5
23320000	2	6	3	5	2	2	3
23340000	2	5	3	5	2	2	4
23360000	2	5	3	5	2	2	5
23380000	3	5	3	5	2	2	4
23400000	2	5	3	5	2	2	4
23420000	2	4	3	6	2	2	4
23440000	2	5	3	5	2	2	4
23460000	2	6	3	5	2	2	4
23480000	2	5	3	5	2	2	3
23500000	2	5	3	5	2	2	3
23520000	2	5	3	5	2	2	4
23540000	2	6	3	5	3	2	5
23560000	2	5	3	5	2	2	5
23580000	2	5	3	6	2	2	5
23600000	2	5	3	6	2	2	3
23620000	2	5	3	5	2	4	4
23640000	2	7	4	5	2	2	3
