states	1984.0_diversity	1985.0_diversity	1986.0_diversity	1987.0_diversity	1988.0_diversity	1989.0_diversity	1990.0_diversity	1991.0_diversity	1992.0_diversity	1993.0_diversity	1994.0_diversity	1995.0_diversity	1996.0_diversity	1997.0_diversity	1998.0_diversity	1999.0_diversity	2000.0_diversity	2001.0_diversity	2002.0_diversity	2003.0_diversity	2004.0_diversity	2005.0_diversity	2006.0_diversity	2007.0_diversity	2008.0_diversity	2009.0_diversity	2010.0_diversity	2011.0_diversity	2012.0_diversity	2013.0_diversity
20000000 	1982.12437468	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	1982.31807999	2007.57065908	0
20020000 	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	1982.28341185	2007.36065464	0
20040000 	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	1982.05709736	2007.39260691	0
20060000 	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	1981.98094531	2007.31885607	0
20080000 	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	1982.33738411	2007.6756106	0
20100000 	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	1982.33622843	2007.42415067	0
20120000 	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	1982.30859465	2007.34933314	0
20140000 	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	1982.36342709	2007.21875817	0
20160000 	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	1982.72562462	2007.34359767	0
20180000 	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	1982.66689239	2007.25741417	0
