states	1984.0_diversity	1985.0_diversity	1986.0_diversity	1987.0_diversity	1988.0_diversity	1989.0_diversity	1990.0_diversity	1991.0_diversity	1992.0_diversity	1993.0_diversity	1994.0_diversity	1995.0_diversity	1996.0_diversity	1997.0_diversity	1998.0_diversity	1999.0_diversity	2000.0_diversity	2001.0_diversity	2002.0_diversity	2003.0_diversity	2004.0_diversity	2005.0_diversity	2006.0_diversity	2007.0_diversity	2008.0_diversity	2009.0_diversity	2010.0_diversity	2011.0_diversity	2012.0_diversity	2013.0_diversity
20000000	1983.70776974	1983.70776974	1983.70776974	1983.70776974	1983.70776974	1983.70776974	1983.70776974	1983.70776974	1983.70776974	1983.70776974	1983.70776974	1983.70776974	1983.70776974	1991.74830163	1991.74830163	1991.74830163	1991.74830163	1991.74830163	1991.74830163	1993.38691821	1993.38691821	1993.38691821	1993.38691821	1993.38691821	1993.38691821	1993.38691821	1993.38691821	1993.38691821	2002.75872134	0
20020000	0	1984.05976679	1984.05976679	1984.05976679	1984.05976679	1984.05976679	1984.05976679	1984.05976679	1984.05976679	1984.05976679	1984.05976679	1984.05976679	1984.05976679	1991.16751991	1991.16751991	1991.16751991	1991.16751991	1991.16751991	1991.16751991	1993.70256543	1993.70256543	1993.70256543	1993.70256543	1993.70256543	1993.70256543	1993.70256543	1993.70256543	1993.70256543	2003.25491612	0
20040000	1983.96400485	1983.96400485	1983.96400485	1983.96400485	1983.96400485	1983.96400485	1983.96400485	1983.96400485	1983.96400485	1983.96400485	1983.96400485	1983.96400485	1983.96400485	1990.85623227	1990.85623227	1990.85623227	1990.85623227	1990.85623227	1990.85623227	1993.03290198	1993.03290198	1993.03290198	1993.03290198	1993.03290198	1993.03290198	1993.03290198	1993.03290198	1993.03290198	2003.48104902	0
20060000	1983.92089715	1983.92089715	1983.92089715	1983.92089715	1983.92089715	1983.92089715	1983.92089715	1983.92089715	1983.92089715	1983.92089715	1983.92089715	1983.92089715	1983.92089715	1991.50138733	1991.50138733	1991.50138733	1991.50138733	1991.50138733	1991.50138733	1993.80692319	1993.80692319	1993.80692319	1993.80692319	1993.80692319	1993.80692319	1993.80692319	1993.80692319	1993.80692319	2003.96303128	0
20080000	0	1984.44142856	1984.44142856	1984.44142856	1984.44142856	1984.44142856	1984.44142856	1984.44142856	1984.44142856	1984.44142856	1984.44142856	1984.44142856	1984.44142856	1990.68320746	1990.68320746	1990.68320746	1990.68320746	1990.68320746	1990.68320746	1993.42744587	1993.42744587	1993.42744587	1993.42744587	1993.42744587	1993.42744587	1993.42744587	1993.42744587	1993.42744587	2004.14525995	0
20100000	1983.86431394	1984.37122108	1984.37122108	1984.37122108	1984.37122108	1984.37122108	1984.37122108	1984.37122108	1984.37122108	1984.37122108	1984.37122108	1984.37122108	1984.37122108	1990.4799298	1990.4799298	1990.4799298	1990.4799298	1990.4799298	1990.4799298	1993.71815055	1993.71815055	1993.71815055	1993.71815055	1993.71815055	1993.71815055	1993.71815055	1993.71815055	1993.71815055	2003.28708288	0
20120000	0	1984.57461754	1984.57461754	1984.57461754	1984.57461754	1984.57461754	1984.57461754	1984.57461754	1984.57461754	1984.57461754	1984.57461754	1984.57461754	1984.57461754	1990.34573625	1990.34573625	1990.34573625	1990.34573625	1990.34573625	1990.34573625	1993.77734121	1993.77734121	1993.77734121	1993.77734121	1993.77734121	1993.77734121	1993.77734121	1993.77734121	1993.77734121	2003.51626893	0
20140000	0	1984.12645982	1984.12645982	1984.12645982	1984.12645982	1984.12645982	1984.12645982	1984.12645982	1984.12645982	1984.12645982	1984.12645982	1984.12645982	1984.12645982	1991.8011405	1991.8011405	1991.8011405	1991.8011405	1991.8011405	1991.8011405	1993.85813502	1993.85813502	1993.85813502	1993.85813502	1993.85813502	1993.85813502	1993.85813502	1993.85813502	1993.85813502	2003.67088992	0
20160000	0	1984.01910244	1984.01910244	1984.01910244	1984.01910244	1984.01910244	1984.01910244	1984.01910244	1984.01910244	1984.01910244	1984.01910244	1984.01910244	1984.01910244	1992.25920788	1992.25920788	1992.25920788	1992.25920788	1992.25920788	1992.25920788	1994.48872716	1994.48872716	1994.48872716	1994.48872716	1994.48872716	1994.48872716	1994.48872716	1994.48872716	1994.48872716	2003.59990399	0
20180000	0	1984.20116824	1984.20116824	1984.20116824	1984.20116824	1984.20116824	1984.20116824	1984.20116824	1984.20116824	1984.20116824	1984.20116824	1984.20116824	1984.20116824	1992.21229954	1992.21229954	1992.21229954	1992.21229954	1992.21229954	1992.21229954	1994.491129	1994.491129	1994.491129	1994.491129	1994.491129	1994.491129	1994.491129	1994.491129	1994.491129	2003.31174632	0
