states	1984.0_diversity	1985.0_diversity	1986.0_diversity	1987.0_diversity	1988.0_diversity	1989.0_diversity	1990.0_diversity	1991.0_diversity	1992.0_diversity	1993.0_diversity	1994.0_diversity	1995.0_diversity	1996.0_diversity	1997.0_diversity	1998.0_diversity	1999.0_diversity	2000.0_diversity	2001.0_diversity	2002.0_diversity	2003.0_diversity	2004.0_diversity	2005.0_diversity	2006.0_diversity	2007.0_diversity	2008.0_diversity	2009.0_diversity	2010.0_diversity	2011.0_diversity	2012.0_diversity	2013.0_diversity
20000000 	1983.28266516	1983.28266516	1983.28266516	1983.28266516	1983.28266516	1983.28266516	1983.28266516	1983.28266516	1983.28266516	1983.28266516	1983.28266516	1983.28266516	1983.28266516	1983.28266516	1983.28266516	1983.28266516	1983.28266516	1983.28266516	1983.28266516	1994.18119047	1994.18119047	1994.18119047	1994.18119047	1994.18119047	1994.18119047	1994.18119047	1994.18119047	1994.18119047	2001.53149446	0
20020000 	1983.59486771	1983.59486771	1983.59486771	1983.59486771	1983.59486771	1983.59486771	1983.59486771	1983.59486771	1983.59486771	1983.59486771	1983.59486771	1983.59486771	1983.59486771	1983.59486771	1983.59486771	1983.59486771	1983.59486771	1983.59486771	1983.59486771	1994.33222596	1994.33222596	1994.33222596	1994.33222596	1994.33222596	1994.33222596	1994.33222596	1994.33222596	1994.33222596	2001.58053127	0
20040000 	1983.71070296	1983.71070296	1983.71070296	1983.71070296	1983.71070296	1983.71070296	1983.71070296	1983.71070296	1983.71070296	1983.71070296	1983.71070296	1983.71070296	1983.71070296	1983.71070296	1983.71070296	1983.71070296	1983.71070296	1983.71070296	1983.71070296	1994.22339653	1994.22339653	1994.22339653	1994.22339653	1994.22339653	1994.22339653	1994.22339653	1994.22339653	1994.22339653	2001.47000939	0
20060000 	1983.7458724	1983.76029446	1983.76029446	1983.76029446	1983.76029446	1983.76029446	1983.76029446	1983.76029446	1983.76029446	1983.76029446	1983.76029446	1983.76029446	1983.76029446	1983.76029446	1983.76029446	1983.76029446	1983.76029446	1983.76029446	1983.76029446	1994.2648656	1994.2648656	1994.2648656	1994.2648656	1994.2648656	1994.2648656	1994.2648656	1994.2648656	1994.2648656	2001.50948842	0
20080000 	1983.30979719	1983.30979719	1983.30979719	1983.30979719	1983.30979719	1983.30979719	1983.30979719	1983.30979719	1983.30979719	1983.30979719	1983.30979719	1983.30979719	1983.30979719	1983.30979719	1983.30979719	1983.30979719	1983.30979719	1983.30979719	1983.30979719	1994.38102583	1994.38102583	1994.38102583	1994.38102583	1994.38102583	1994.38102583	1994.38102583	1994.38102583	1994.38102583	2001.75548284	0
20100000 	1983.7167977	1983.7167977	1983.7167977	1983.7167977	1983.7167977	1983.7167977	1983.7167977	1983.7167977	1983.7167977	1983.7167977	1983.7167977	1983.7167977	1983.7167977	1983.7167977	1983.7167977	1983.7167977	1983.7167977	1983.7167977	1983.7167977	1994.49002134	1994.49002134	1994.49002134	1994.49002134	1994.49002134	1994.49002134	1994.49002134	1994.49002134	1994.49002134	2001.72855807	0
20120000 	1982.6696372	1982.6696372	1982.6696372	1982.6696372	1982.6696372	1982.6696372	1982.6696372	1982.6696372	1982.6696372	1982.6696372	1982.6696372	1982.6696372	1982.6696372	1982.6696372	1982.6696372	1982.6696372	1982.6696372	1982.6696372	1982.6696372	1994.63611553	1994.63611553	1994.63611553	1994.63611553	1994.63611553	1994.63611553	1994.63611553	1994.63611553	1994.63611553	2001.56193102	0
20140000 	1982.56820534	1982.56820534	1982.56820534	1982.56820534	1982.56820534	1982.56820534	1982.56820534	1982.56820534	1982.56820534	1982.56820534	1982.56820534	1982.56820534	1982.56820534	1982.56820534	1982.56820534	1982.56820534	1982.56820534	1982.56820534	1982.56820534	1994.61800202	1994.61800202	1994.61800202	1994.61800202	1994.61800202	1994.61800202	1994.61800202	1994.61800202	1994.61800202	2001.50579103	0
20160000 	1982.89080966	1982.89080966	1982.89080966	1982.89080966	1982.89080966	1982.89080966	1982.89080966	1982.89080966	1982.89080966	1982.89080966	1982.89080966	1982.89080966	1982.89080966	1982.89080966	1982.89080966	1982.89080966	1982.89080966	1982.89080966	1982.89080966	1994.53438738	1994.53438738	1994.53438738	1994.53438738	1994.53438738	1994.53438738	1994.53438738	1994.53438738	1994.53438738	2001.68606749	0
20180000 	1983.18712307	1983.18712307	1983.18712307	1983.18712307	1983.18712307	1983.18712307	1983.18712307	1983.18712307	1983.18712307	1983.18712307	1983.18712307	1983.18712307	1983.18712307	1983.18712307	1983.18712307	1983.18712307	1983.18712307	1983.18712307	1983.18712307	1994.39066628	1994.39066628	1994.39066628	1994.39066628	1994.39066628	1994.39066628	1994.39066628	1994.39066628	1994.39066628	2001.92936318	0
