states	1984.0_diversity	1985.0_diversity	1986.0_diversity	1987.0_diversity	1988.0_diversity	1989.0_diversity	1990.0_diversity	1991.0_diversity	1992.0_diversity	1993.0_diversity	1994.0_diversity	1995.0_diversity	1996.0_diversity	1997.0_diversity	1998.0_diversity	1999.0_diversity	2000.0_diversity	2001.0_diversity	2002.0_diversity	2003.0_diversity	2004.0_diversity	2005.0_diversity	2006.0_diversity	2007.0_diversity	2008.0_diversity	2009.0_diversity	2010.0_diversity	2011.0_diversity	2012.0_diversity	2013.0_diversity
20000000	1983.67645251	1983.67645251	1983.67645251	1983.67645251	1983.67645251	1983.67645251	1983.67645251	1983.67645251	1983.67645251	1983.67645251	1983.67645251	1983.67645251	1987.3079542	1990.62430576	1990.62430576	1990.62430576	1990.62430576	1990.62430576	1990.62430576	1990.62430576	1990.62430576	1990.62430576	1990.62430576	1990.62430576	1990.62430576	1990.62430576	1990.62430576	1990.62430576	2007.96480156	0
20020000	1983.44022569	1983.44022569	1983.44022569	1983.44022569	1983.44022569	1983.44022569	1983.44022569	1983.44022569	1983.44022569	1983.44022569	1983.44022569	1983.44022569	1987.20148392	1990.35326092	1990.35326092	1990.35326092	1990.35326092	1990.35326092	1990.35326092	1990.35326092	1990.35326092	1990.35326092	1990.35326092	1990.35326092	1990.35326092	1990.35326092	1990.35326092	1990.35326092	2007.70380878	0
20040000	1983.51716589	1983.51716589	1983.51716589	1983.51716589	1983.51716589	1983.51716589	1983.51716589	1983.51716589	1983.51716589	1983.51716589	1983.51716589	1983.51716589	1987.60154212	1990.60476409	1990.60476409	1990.60476409	1990.60476409	1990.60476409	1990.60476409	1990.60476409	1990.60476409	1990.60476409	1990.60476409	1990.60476409	1990.60476409	1990.60476409	1990.60476409	1990.60476409	2007.49208376	0
20060000	1983.65264909	1983.65264909	1983.65264909	1983.65264909	1983.65264909	1983.65264909	1983.65264909	1983.65264909	1983.65264909	1983.65264909	1983.65264909	1983.65264909	1987.83930242	1990.63558108	1990.63558108	1990.63558108	1990.63558108	1990.63558108	1990.63558108	1990.63558108	1990.63558108	1990.63558108	1990.63558108	1990.63558108	1990.63558108	1990.63558108	1990.63558108	1990.63558108	2007.70598683	0
20080000	1983.75770326	1983.75770326	1983.75770326	1983.75770326	1983.75770326	1983.75770326	1983.75770326	1983.75770326	1983.75770326	1983.75770326	1983.75770326	1983.75770326	1987.66112305	1990.19004739	1990.19004739	1990.19004739	1990.19004739	1990.19004739	1990.19004739	1990.19004739	1990.19004739	1990.19004739	1990.19004739	1990.19004739	1990.19004739	1990.19004739	1990.19004739	1990.19004739	2007.73359898	0
20100000	1983.40960593	1983.40960593	1983.40960593	1983.40960593	1983.40960593	1983.40960593	1983.40960593	1983.40960593	1983.40960593	1983.40960593	1983.40960593	1983.40960593	1987.5527047	1990.56119655	1990.56119655	1990.56119655	1990.56119655	1990.56119655	1990.56119655	1990.56119655	1990.56119655	1990.56119655	1990.56119655	1990.56119655	1990.56119655	1990.56119655	1990.56119655	1990.56119655	2007.40866982	0
20120000	1982.76935552	1982.76935552	1982.76935552	1982.76935552	1982.76935552	1982.76935552	1982.76935552	1982.76935552	1982.76935552	1982.76935552	1982.76935552	1982.76935552	1987.02795709	1990.67370345	1990.67370345	1990.67370345	1990.67370345	1990.67370345	1990.67370345	1990.67370345	1990.67370345	1990.67370345	1990.67370345	1990.67370345	1990.67370345	1990.67370345	1990.67370345	1990.67370345	2007.14567084	0
20140000	1982.76662696	1982.78616556	1982.78616556	1982.78616556	1982.78616556	1982.78616556	1982.78616556	1982.78616556	1982.78616556	1982.78616556	1982.78616556	1982.78616556	1987.35627896	1990.25644051	1990.25644051	1990.25644051	1990.25644051	1990.25644051	1990.25644051	1990.25644051	1990.25644051	1990.25644051	1990.25644051	1990.25644051	1990.25644051	1990.25644051	1990.25644051	1990.25644051	2007.32756835	0
20160000	1982.71757469	1982.71757469	1982.71757469	1982.71757469	1982.71757469	1982.71757469	1982.71757469	1982.71757469	1982.71757469	1982.71757469	1982.71757469	1982.71757469	1987.09832674	1990.64358375	1990.64358375	1990.64358375	1990.64358375	1990.64358375	1990.64358375	1990.64358375	1990.64358375	1990.64358375	1990.64358375	1990.64358375	1990.64358375	1990.64358375	1990.64358375	1990.64358375	2007.42123063	0
20180000	1982.96994094	1982.96994094	1982.96994094	1982.96994094	1982.96994094	1982.96994094	1982.96994094	1982.96994094	1982.96994094	1982.96994094	1982.96994094	1982.96994094	1987.61237939	1990.70769332	1990.70769332	1990.70769332	1990.70769332	1990.70769332	1990.70769332	1990.70769332	1990.70769332	1990.70769332	1990.70769332	1990.70769332	1990.70769332	1990.70769332	1990.70769332	1990.70769332	2007.16157234	0
20200000	1982.69500601	1982.69500601	1982.69500601	1982.69500601	1982.69500601	1982.69500601	1982.69500601	1982.69500601	1982.69500601	1982.69500601	1982.69500601	1982.69500601	1986.74341141	1991.24521989	1991.24521989	1991.24521989	1991.24521989	1991.24521989	1991.24521989	1991.24521989	1991.24521989	1991.24521989	1991.24521989	1991.24521989	1991.24521989	1991.24521989	1991.24521989	1991.24521989	2007.45924575	0
20220000	1983.36900637	1983.45325788	1983.45325788	1983.45325788	1983.45325788	1983.45325788	1983.45325788	1983.45325788	1983.45325788	1983.45325788	1983.45325788	1983.45325788	1986.99925646	1991.13103065	1991.13103065	1991.13103065	1991.13103065	1991.13103065	1991.13103065	1991.13103065	1991.13103065	1991.13103065	1991.13103065	1991.13103065	1991.13103065	1991.13103065	1991.13103065	1991.13103065	2007.65331175	0
20240000	1982.8403104	1982.8403104	1982.8403104	1982.8403104	1982.8403104	1982.8403104	1982.8403104	1982.8403104	1982.8403104	1982.8403104	1982.8403104	1982.8403104	1986.94226995	1990.16285038	1990.16285038	1990.16285038	1990.16285038	1990.16285038	1990.16285038	1990.16285038	1990.16285038	1990.16285038	1990.16285038	1990.16285038	1990.16285038	1990.16285038	1990.16285038	1990.16285038	2007.46113947	0
20260000	1983.47738131	1983.47738131	1983.47738131	1983.47738131	1983.47738131	1983.47738131	1983.47738131	1983.47738131	1983.47738131	1983.47738131	1983.47738131	1983.47738131	1987.05106101	1990.15893158	1990.15893158	1990.15893158	1990.15893158	1990.15893158	1990.15893158	1990.15893158	1990.15893158	1990.15893158	1990.15893158	1990.15893158	1990.15893158	1990.15893158	1990.15893158	1990.15893158	2007.67828228	0
20280000	1983.19835384	1983.19835384	1983.19835384	1983.19835384	1983.19835384	1983.19835384	1983.19835384	1983.19835384	1983.19835384	1983.19835384	1983.19835384	1983.19835384	1987.10684033	1991.37413874	1991.37413874	1991.37413874	1991.37413874	1991.37413874	1991.37413874	1991.37413874	1991.37413874	1991.37413874	1991.37413874	1991.37413874	1991.37413874	1991.37413874	1991.37413874	1991.37413874	2007.54344882	0
20300000	1983.25074518	1983.25074518	1983.25074518	1983.25074518	1983.25074518	1983.25074518	1983.25074518	1983.25074518	1983.25074518	1983.25074518	1983.25074518	1983.25074518	1986.30736348	1991.47606476	1991.47606476	1991.47606476	1991.47606476	1991.47606476	1991.47606476	1991.47606476	1991.47606476	1991.47606476	1991.47606476	1991.47606476	1991.47606476	1991.47606476	1991.47606476	1991.47606476	2007.53496026	0
20320000	1982.60686339	1982.60686339	1982.60686339	1982.60686339	1982.60686339	1982.60686339	1982.60686339	1982.60686339	1982.60686339	1982.60686339	1982.60686339	1982.60686339	1986.05344381	1991.24998514	1991.24998514	1991.24998514	1991.24998514	1991.24998514	1991.24998514	1991.24998514	1991.24998514	1991.24998514	1991.24998514	1991.24998514	1991.24998514	1991.24998514	1991.24998514	1991.24998514	2007.67934145	0
