states	1984.0_diversity	1985.0_diversity	1986.0_diversity	1987.0_diversity	1988.0_diversity	1989.0_diversity	1990.0_diversity	1991.0_diversity	1992.0_diversity	1993.0_diversity	1994.0_diversity	1995.0_diversity	1996.0_diversity	1997.0_diversity	1998.0_diversity	1999.0_diversity	2000.0_diversity	2001.0_diversity	2002.0_diversity	2003.0_diversity	2004.0_diversity	2005.0_diversity	2006.0_diversity	2007.0_diversity	2008.0_diversity	2009.0_diversity	2010.0_diversity	2011.0_diversity	2012.0_diversity	2013.0_diversity
20000000 	1982.95166179	1982.95166179	1982.95166179	1982.95166179	1982.95166179	1982.95166179	1982.95166179	1982.95166179	1982.95166179	1982.95166179	1982.95166179	1982.95166179	1983.35119199	1983.35119199	1983.35119199	1983.35119199	1983.35119199	1993.2871474	1993.2871474	1997.4418718	1997.4418718	1997.4418718	1998.89963637	1998.89963637	1999.15169986	1999.15169986	1999.15169986	1999.15169986	1999.15169986	0
20020000 	1983.41444934	1983.41444934	1983.41444934	1983.41444934	1983.41444934	1983.41444934	1983.41444934	1983.41444934	1983.41444934	1983.41444934	1983.41444934	1983.41444934	1983.41444934	1983.41444934	1983.41444934	1983.41444934	1983.41444934	1993.36269266	1993.36269266	1997.13683758	1997.13683758	1997.13683758	1998.30578859	1998.30578859	1999.27213119	1999.27213119	1999.27213119	1999.27213119	1999.27213119	0
20040000 	1983.0433749	1983.0433749	1983.0433749	1983.0433749	1983.0433749	1983.0433749	1983.0433749	1983.0433749	1983.0433749	1983.0433749	1983.0433749	1983.0433749	1983.1199606	1983.1199606	1983.1199606	1983.1199606	1983.1199606	1989.65033075	1989.65033075	1997.44439229	1997.44439229	1997.44439229	1998.82252127	1998.82252127	1999.05873403	1999.05873403	1999.05873403	1999.05873403	1999.05873403	0
20060000 	1982.97294962	1982.97294962	1982.97294962	1982.97294962	1982.97294962	1982.97294962	1982.97294962	1982.97294962	1982.97294962	1982.97294962	1982.97294962	1982.97294962	1982.97294962	1982.97294962	1982.97294962	1982.97294962	1982.97294962	1992.25027513	1992.25027513	1997.29187469	1997.29187469	1997.29187469	1997.91054586	1997.91054586	1999.13084972	1999.13084972	1999.13084972	1999.13084972	1999.13084972	0
20080000 	1982.8305672	1982.8305672	1982.8305672	1982.8305672	1982.8305672	1982.8305672	1982.8305672	1982.8305672	1982.8305672	1982.8305672	1982.8305672	1982.8305672	1982.8305672	1982.8305672	1982.8305672	1982.8305672	1982.8305672	1992.48309554	1992.48309554	1997.00518217	1997.00518217	1997.00518217	1997.95160504	1997.95160504	1998.39371055	1998.39371055	1998.39371055	1998.39371055	1998.39371055	0
20100000 	1982.64032582	1982.64032582	1982.64032582	1982.64032582	1982.64032582	1982.64032582	1982.64032582	1982.64032582	1982.64032582	1982.64032582	1982.64032582	1982.64032582	1982.74917779	1982.74917779	1982.74917779	1982.74917779	1982.74917779	1991.48749517	1991.48749517	1996.89802814	1996.89802814	1996.89802814	1997.72120763	1997.72120763	1999.06129932	1999.06129932	1999.06129932	1999.06129932	1999.06129932	0
20120000 	1982.72129674	1982.72129674	1982.72129674	1982.72129674	1982.72129674	1982.72129674	1982.72129674	1982.72129674	1982.72129674	1982.72129674	1982.72129674	1982.72129674	1982.93194515	1982.93194515	1982.93194515	1982.93194515	1982.93194515	1989.84214976	1989.84214976	1996.59616488	1996.59616488	1996.59616488	1998.00835012	1998.00835012	1998.54413673	1998.54413673	1998.54413673	1998.54413673	1998.54413673	0
20140000 	1982.76668052	1982.76668052	1982.76668052	1982.76668052	1982.76668052	1982.76668052	1982.76668052	1982.76668052	1982.76668052	1982.76668052	1982.76668052	1982.76668052	1982.79117744	1982.79117744	1982.79117744	1982.79117744	1982.79117744	1991.24313209	1991.24313209	1996.75038901	1996.75038901	1996.75038901	1998.07848362	1998.07848362	1998.15670898	1998.15670898	1998.15670898	1998.15670898	1998.15670898	0
20160000 	1982.76269267	1982.76269267	1982.76269267	1982.76269267	1982.76269267	1982.76269267	1982.76269267	1982.76269267	1982.76269267	1982.76269267	1982.76269267	1982.76269267	1982.76269267	1982.76269267	1982.76269267	1982.76269267	1982.76269267	1993.31879252	1993.31879252	1996.96435768	1996.96435768	1996.96435768	1998.18695534	1998.18695534	1998.83833487	1998.83833487	1998.83833487	1998.83833487	1998.83833487	0
20180000 	1983.26361134	1983.26361134	1983.26361134	1983.26361134	1983.26361134	1983.26361134	1983.26361134	1983.26361134	1983.26361134	1983.26361134	1983.26361134	1983.26361134	1983.35313305	1983.35313305	1983.35313305	1983.35313305	1983.35313305	1992.19506005	1992.19506005	1997.3687859	1997.3687859	1997.3687859	1999.14741736	1999.14741736	1999.40831444	1999.40831444	1999.40831444	1999.40831444	1999.40831444	0
20200000 	1983.7797591	1983.7797591	1983.7797591	1983.7797591	1983.7797591	1983.7797591	1983.7797591	1983.7797591	1983.7797591	1983.7797591	1983.7797591	1983.7797591	1983.7797591	1983.7797591	1983.7797591	1983.7797591	1983.7797591	1993.56592871	1993.56592871	1997.5549888	1997.5549888	1997.5549888	1998.41346175	1998.41346175	1999.24173403	1999.24173403	1999.24173403	1999.24173403	1999.24173403	0
20220000 	0	1984.00766982	1984.00766982	1984.00766982	1984.00766982	1984.00766982	1984.00766982	1984.00766982	1984.00766982	1984.00766982	1984.00766982	1984.00766982	1984.00766982	1984.00766982	1984.00766982	1984.00766982	1984.00766982	1992.87296733	1992.87296733	1997.79723601	1997.79723601	1997.79723601	1998.70078636	1998.70078636	1999.07716431	1999.07716431	1999.07716431	1999.07716431	1999.07716431	0
20240000 	1983.11761709	1983.11761709	1983.11761709	1983.11761709	1983.11761709	1983.11761709	1983.11761709	1983.11761709	1983.11761709	1983.11761709	1983.11761709	1983.11761709	1983.11761709	1983.11761709	1983.11761709	1983.11761709	1983.11761709	1992.40327738	1992.40327738	1997.47019766	1997.47019766	1997.47019766	1998.96407098	1998.96407098	1999.12064316	1999.12064316	1999.12064316	1999.12064316	1999.12064316	0
20260000 	1982.87386011	1982.87386011	1982.87386011	1982.87386011	1982.87386011	1982.87386011	1982.87386011	1982.87386011	1982.87386011	1982.87386011	1982.87386011	1982.87386011	1982.87386011	1982.87386011	1982.87386011	1982.87386011	1982.87386011	1992.40883038	1992.40883038	1997.53544418	1997.53544418	1997.53544418	1998.71314118	1998.71314118	1999.12617254	1999.12617254	1999.12617254	1999.12617254	1999.12617254	0
20280000 	1982.85991359	1982.85991359	1982.85991359	1982.85991359	1982.85991359	1982.85991359	1982.85991359	1982.85991359	1982.85991359	1982.85991359	1982.85991359	1982.85991359	1982.85991359	1982.85991359	1982.85991359	1982.85991359	1982.85991359	1992.94518928	1992.94518928	1997.29089603	1997.29089603	1997.29089603	1997.53783408	1997.53783408	1998.43537387	1998.43537387	1998.43537387	1998.43537387	1998.43537387	0
20300000 	1982.98445717	1982.98445717	1982.98445717	1982.98445717	1982.98445717	1982.98445717	1982.98445717	1982.98445717	1982.98445717	1982.98445717	1982.98445717	1982.98445717	1982.98445717	1982.98445717	1982.98445717	1982.98445717	1982.98445717	1992.73994517	1992.73994517	1997.04025664	1997.04025664	1997.04025664	1998.13476384	1998.13476384	1998.99621796	1998.99621796	1998.99621796	1998.99621796	1998.99621796	0
20320000 	1983.02558382	1983.02558382	1983.02558382	1983.02558382	1983.02558382	1983.02558382	1983.02558382	1983.02558382	1983.02558382	1983.02558382	1983.02558382	1983.02558382	1983.02558382	1983.02558382	1983.02558382	1983.02558382	1983.02558382	1991.16310917	1991.16310917	1997.60048907	1997.60048907	1997.60048907	1998.30335383	1998.30335383	1999.38702014	1999.38702014	1999.38702014	1999.38702014	1999.38702014	0
20340000 	1982.85278771	1982.85278771	1982.85278771	1982.85278771	1982.85278771	1982.85278771	1982.85278771	1982.85278771	1982.85278771	1982.85278771	1982.85278771	1982.85278771	1982.85278771	1982.85278771	1982.85278771	1982.85278771	1982.85278771	1992.05240773	1992.05240773	1997.42776271	1997.42776271	1997.42776271	1998.60365781	1998.60365781	1999.18098099	1999.18098099	1999.18098099	1999.18098099	1999.18098099	0
20360000 	1982.83803046	1982.83803046	1982.83803046	1982.83803046	1982.83803046	1982.83803046	1982.83803046	1982.83803046	1982.83803046	1982.83803046	1982.83803046	1982.83803046	1982.83803046	1982.83803046	1982.83803046	1982.83803046	1982.83803046	1992.94875824	1992.94875824	1996.98336686	1996.98336686	1996.98336686	1999.34811487	1999.34811487	1999.59532674	1999.59532674	1999.59532674	1999.59532674	1999.59532674	0
20380000 	1982.92546542	1982.92546542	1982.92546542	1982.92546542	1982.92546542	1982.92546542	1982.92546542	1982.92546542	1982.92546542	1982.92546542	1982.92546542	1982.92546542	1982.92546542	1982.92546542	1982.92546542	1982.92546542	1982.92546542	1992.39333523	1992.39333523	1996.93724613	1996.93724613	1996.93724613	1998.02769866	1998.02769866	1999.44070601	1999.44070601	1999.44070601	1999.44070601	1999.44070601	0
20400000 	1983.0226188	1983.0226188	1983.0226188	1983.0226188	1983.0226188	1983.0226188	1983.0226188	1983.0226188	1983.0226188	1983.0226188	1983.0226188	1983.0226188	1983.0226188	1983.0226188	1983.0226188	1983.0226188	1983.0226188	1993.01706851	1993.01706851	1997.2545961	1997.2545961	1997.2545961	1998.48935609	1998.48935609	1999.24302785	1999.24302785	1999.24302785	1999.24302785	1999.24302785	0
