states	1984.0_diversity	1985.0_diversity	1986.0_diversity	1987.0_diversity	1988.0_diversity	1989.0_diversity	1990.0_diversity	1991.0_diversity	1992.0_diversity	1993.0_diversity	1994.0_diversity	1995.0_diversity	1996.0_diversity	1997.0_diversity	1998.0_diversity	1999.0_diversity	2000.0_diversity	2001.0_diversity	2002.0_diversity	2003.0_diversity	2004.0_diversity	2005.0_diversity	2006.0_diversity	2007.0_diversity	2008.0_diversity	2009.0_diversity	2010.0_diversity	2011.0_diversity	2012.0_diversity	2013.0_diversity
20000000 	1983.5203032	1983.57413815	1983.57413815	1983.57413815	1983.57413815	1983.57413815	1983.57413815	1983.57413815	1983.57413815	1983.57413815	1983.57413815	1983.57413815	1983.57413815	1991.92064188	1991.92064188	1991.92064188	1991.92064188	1991.92064188	1991.92064188	1991.92064188	1998.05634172	1998.05634172	1998.05634172	1998.05634172	1998.05634172	1998.05634172	1998.05634172	1998.05634172	2007.44112979	0
20020000 	1982.88439497	1983.49108364	1983.49108364	1983.49108364	1983.49108364	1983.49108364	1983.49108364	1983.49108364	1983.49108364	1983.49108364	1983.49108364	1983.49108364	1983.49108364	1991.69471041	1991.69471041	1991.69471041	1991.69471041	1991.69471041	1991.69471041	1991.69471041	1998.22515912	1998.22515912	1998.22515912	1998.22515912	1998.22515912	1998.22515912	1998.22515912	1998.22515912	2007.45740791	0
20040000 	1983.41716994	1983.60723954	1983.60723954	1983.60723954	1983.60723954	1983.60723954	1983.60723954	1983.60723954	1983.60723954	1983.60723954	1983.60723954	1983.60723954	1983.60723954	1992.09388266	1992.09388266	1992.09388266	1992.09388266	1992.09388266	1992.09388266	1992.09388266	1998.18022383	1998.18022383	1998.18022383	1998.18022383	1998.18022383	1998.18022383	1998.18022383	1998.18022383	2007.35939247	0
20060000 	1983.17061301	1983.4114968	1983.4114968	1983.4114968	1983.4114968	1983.4114968	1983.4114968	1983.4114968	1983.4114968	1983.4114968	1983.4114968	1983.4114968	1983.4114968	1992.03375597	1992.03375597	1992.03375597	1992.03375597	1992.03375597	1992.03375597	1992.03375597	1997.95798751	1997.95798751	1997.95798751	1997.95798751	1997.95798751	1997.95798751	1997.95798751	1997.95798751	2007.33746678	0
20080000 	1983.09613657	1983.11320353	1983.11320353	1983.11320353	1983.11320353	1983.11320353	1983.11320353	1983.11320353	1983.11320353	1983.11320353	1983.11320353	1983.11320353	1983.11320353	1991.52024485	1991.52024485	1991.52024485	1991.52024485	1991.52024485	1991.52024485	1991.52024485	1997.79873568	1997.79873568	1998.28527143	1998.28527143	1998.28527143	1998.28527143	1998.28527143	1998.28527143	2007.50023739	0
20100000 	1982.92820066	1982.92820066	1982.92820066	1982.92820066	1982.92820066	1982.92820066	1982.92820066	1982.92820066	1982.92820066	1982.92820066	1982.92820066	1982.92820066	1982.92820066	1992.4984358	1992.4984358	1992.4984358	1992.4984358	1992.4984358	1992.4984358	1992.4984358	1997.74119313	1997.74119313	1997.74119313	1997.74119313	1997.74119313	1997.74119313	1997.74119313	1997.74119313	2007.60926787	0
20120000 	1982.83521334	1982.83521334	1982.83521334	1982.83521334	1982.83521334	1982.83521334	1982.83521334	1982.83521334	1982.83521334	1982.83521334	1982.83521334	1982.83521334	1982.83521334	1992.61603256	1992.61603256	1992.61603256	1992.61603256	1992.61603256	1992.61603256	1992.61603256	1997.54709686	1997.54709686	1997.54709686	1997.54709686	1997.54709686	1997.54709686	1997.54709686	1997.54709686	2007.40637626	0
20140000 	1982.61306478	1982.61306478	1982.61306478	1982.61306478	1982.61306478	1982.61306478	1982.61306478	1982.61306478	1982.61306478	1982.61306478	1982.61306478	1982.61306478	1982.61306478	1992.40772445	1992.40772445	1992.40772445	1992.40772445	1992.40772445	1992.40772445	1992.40772445	1997.61706051	1997.61706051	1997.61706051	1997.61706051	1997.61706051	1997.61706051	1997.61706051	1997.61706051	2007.28974674	0
20160000 	1982.74224027	1982.74224027	1982.74224027	1982.74224027	1982.74224027	1982.74224027	1982.74224027	1982.74224027	1982.74224027	1982.74224027	1982.74224027	1982.74224027	1982.74224027	1992.56677825	1992.56677825	1992.56677825	1992.56677825	1992.56677825	1992.56677825	1992.56677825	1996.2700187	1996.2700187	1996.2700187	1996.2700187	1996.2700187	1996.2700187	1996.2700187	1996.2700187	2007.42057227	0
20180000 	1982.58041972	1982.61357692	1982.61357692	1982.61357692	1982.61357692	1982.61357692	1982.61357692	1982.61357692	1982.61357692	1982.61357692	1982.61357692	1982.61357692	1982.61357692	1992.58273187	1992.58273187	1992.58273187	1992.58273187	1992.58273187	1992.58273187	1992.58273187	1996.97425442	1996.97425442	1996.97425442	1996.97425442	1996.97425442	1996.97425442	1996.97425442	1996.97425442	2006.92042016	0
20200000 	1982.72841429	1982.86557236	1982.86557236	1982.86557236	1982.86557236	1982.86557236	1982.86557236	1982.86557236	1982.86557236	1982.86557236	1982.86557236	1982.86557236	1982.86557236	1992.10866449	1992.10866449	1992.10866449	1992.10866449	1992.10866449	1992.10866449	1992.10866449	1997.12874739	1997.12874739	1997.12874739	1997.12874739	1997.12874739	1997.12874739	1997.12874739	1997.12874739	2007.11039558	0
20220000 	1982.43770386	1982.43770386	1982.43770386	1982.43770386	1982.43770386	1982.43770386	1982.43770386	1982.43770386	1982.43770386	1982.43770386	1982.43770386	1982.43770386	1982.43770386	1991.37528751	1991.37528751	1991.37528751	1991.37528751	1991.37528751	1991.37528751	1991.37528751	1997.09153098	1997.09153098	1997.09153098	1997.09153098	1997.09153098	1997.09153098	1997.09153098	1997.09153098	2007.34209009	0
20240000 	1982.93943876	1983.00223913	1983.00223913	1983.00223913	1983.00223913	1983.00223913	1983.00223913	1983.00223913	1983.00223913	1983.00223913	1983.00223913	1983.00223913	1983.00223913	1991.52874082	1991.52874082	1991.52874082	1991.52874082	1991.52874082	1991.52874082	1991.52874082	1997.61291389	1997.61291389	1997.61291389	1997.61291389	1997.61291389	1997.61291389	1997.61291389	1997.61291389	2007.53459074	0
20260000 	1982.85477591	1982.85477591	1982.85477591	1982.85477591	1982.85477591	1982.85477591	1982.85477591	1982.85477591	1982.85477591	1982.85477591	1982.85477591	1982.85477591	1982.85477591	1991.93155314	1991.93155314	1991.93155314	1991.93155314	1991.93155314	1991.93155314	1991.93155314	1997.65214165	1997.65214165	1997.65214165	1997.65214165	1997.65214165	1997.65214165	1997.65214165	1997.65214165	2007.16826493	0
20280000 	1982.74759705	1982.74759705	1982.74759705	1982.74759705	1982.74759705	1982.74759705	1982.89276541	1982.89276541	1982.89276541	1982.89276541	1982.89276541	1982.89276541	1982.89276541	1992.36999743	1992.36999743	1992.36999743	1992.36999743	1992.36999743	1992.36999743	1992.36999743	1997.51562737	1997.51562737	1997.51562737	1997.51562737	1997.51562737	1997.51562737	1997.51562737	1997.51562737	2007.1462918	0
