states	1984.0_diversity	1985.0_diversity	1986.0_diversity	1987.0_diversity	1988.0_diversity	1989.0_diversity	1990.0_diversity	1991.0_diversity	1992.0_diversity	1993.0_diversity	1994.0_diversity	1995.0_diversity	1996.0_diversity	1997.0_diversity	1998.0_diversity	1999.0_diversity	2000.0_diversity	2001.0_diversity	2002.0_diversity	2003.0_diversity	2004.0_diversity	2005.0_diversity	2006.0_diversity	2007.0_diversity	2008.0_diversity	2009.0_diversity	2010.0_diversity	2011.0_diversity	2012.0_diversity	2013.0_diversity
20000000	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	1982.65897064	2001.6356767	0
20020000	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	1982.49122433	2001.70703323	0
20040000	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	1982.49418094	2002.18898645	0
20060000	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	1981.87777882	2002.11674258	0
20080000	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	1982.8013165	2001.88238531	0
20100000	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	1982.11433716	2002.35531027	0
20120000	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	1982.23137582	2002.31991681	0
20140000	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	1982.38358345	2001.89019005	0
20160000	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	1981.56117511	2002.09709984	0
20180000	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	1982.2228836	2001.98713148	0
