states	AB_aSPR	AA_aSPR	BB_aSPR	NormSPR_1	NormSPR_2	AB_sumTMRCA	AA_sumTMRCA	BB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AB_meanTMRCA	AA_meanTMRCA	BB_meanTMRCA	Norm_meanTMRCA_1	Norm_meanTMRCA_2	AB_stdevTMRCA	AA_stdevTMRCA	BB_stdevTMRCA	Norm_stdevTMRCA_1	Norm_stdevTMRCA_2	sharedClades_AB	sharedClades_AA	sharedClades_BB	Norm_sharedClades_1	Norm_sharedClades_2	AB_sumTT	AA_sumTT	BB_sumTT	Norm_sumTT_1	Norm_sumTT_2	AB_meanTT	AA_meanTT	BB_meanTT	Norm_meanTT_1	Norm_meanTT_2	AB_stdevTT	AA_stdevTT	BB_stdevTT	Norm_stdevTT_1	Norm_stdevTT_2	AltAB_sumTMRCA	AltAA_sumTMRCA	AltBB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AltAB_meanTMRCA	AltAA_meanTMRCA	AltBB_meanTMRCA	AltNorm_meanTMRCA_1	AltNorm_meanTMRCA_2	AltAB_stdevTMRCA	AltAA_stdevTMRCA	AltBB_stdevTMRCA	AltNorm_stdevTMRCA_1	AltNorm_stdevTMRCA_2	timeTaken	exact indicator
0	320	200	264	0.725	0.718070330817	705995.858564	65272.9482605	49473.2059619	0.0812654584517	1.47708134861e+13	6.92655317156	0.640395465931	0.485383572022	0.0812654584517	0.0139492054622	5.96692240519	0.343143128352	0.532878563235	0.0734064926691	0.00560346575002	59	232	148	0.310526315789	0.318403007685	1411542.38949	130783.000984	99585.5627085	0.0816017164653	1.20171487162e+14	13.848697972	1.28311717308	0.977037877563	0.0816017164653	0.113487098506	11.9378950346	0.715023136687	1.072956961	0.0748867406068	0.0493034190262	-547663.7892	-60551.6981452	25915.7974842	0.0316214996719	-4.49642944017e+12	-5.37315100367	-0.59407509512	0.254260909721	0.0316214996719	-0.00424632117699	7.39665803723	0.418244355226	0.674468802045	0.0738653288939	0.0107584168488	0.07947	0
1	309	193	258	0.729773462783	0.722154344071	716020.817096	98546.6539767	57497.2341383	0.108966027516	4.48385979863e+13	7.02490843452	0.966845103081	0.564107628459	0.108966027516	0.0423445070603	6.09964358805	0.59492439195	0.548603676759	0.0937372858104	0.0174637103423	58	226	153	0.306068601583	0.311909109354	1431998.17101	196646.842993	115878.191976	0.109122009125	3.62605940337e+14	14.0493904501	1.92930992085	1.13688550494	0.109122009125	0.342436438476	12.2043573978	1.19271552509	1.11153510767	0.0944027840896	0.144014160183	-536839.834826	-63530.8639423	6753.04621932	0.0528815244694	-3.42865851484e+11	-5.26695676104	-0.62330380808	0.0662544024029	0.0528815244694	-0.000323794367374	7.66903885059	0.948797580268	0.784087855282	0.112979310009	0.0721665017091	4.3963275	0
2	313	179	267	0.712460063898	0.698453999608	661675.700929	25469.9594755	60146.4692803	0.0646966698607	3.54675834098e+12	6.4917263596	0.249886775459	0.590099378768	0.0646966698607	0.00334947434478	5.63055236273	0.313961660982	0.560004051389	0.0776092340564	0.0054901545763	65	231	143	0.347593582888	0.357634451122	1324646.32857	54733.0229484	119975.062016	0.0659451814409	3.25522413292e+13	12.9961572961	0.536987843616	1.17708005824	0.0659451814409	0.0307415636237	11.2598860802	0.622102938505	1.12206807228	0.0774506508486	0.0432741871326	-473350.859575	-5482.62875249	-10278.9082925	0.0166488944999	-6709474261.38	-4.64406392457	-0.0537902866049	-0.100846774057	0.0166488944999	-6.33626814823e-06	7.23037352437	0.397645483041	0.807249492138	0.0833217655435	0.0142510523132	5.86111066667	0
3	314	201	273	0.754777070064	0.746018683425	671007.480919	32103.4300181	58610.2290216	0.0675951175056	5.27621333177e+12	6.58328082058	0.31496801619	0.57502726509	0.0675951175056	0.00498273056501	5.72921704842	0.216652778102	0.572885215072	0.0689045280098	0.00268886177594	64	226	137	0.35261707989	0.363718566558	1341049.97302	64988.1076648	118091.167082	0.0682596765331	4.39195265952e+13	13.1570940979	0.637600883629	1.15859709085	0.0682596765331	0.0414765578657	11.4578631363	0.471665829258	1.14763498828	0.0706632990058	0.0255724747419	-510955.60014	-20043.2182047	-13161.0530088	0.0324923253648	-1.36186175029e+11	-5.01300551518	-0.196644803138	-0.129123609372	0.0324923253648	-0.000128610989393	7.14375881839	0.327832424998	0.80136191496	0.0790336270208	0.00966127459159	6.4903845	0
4	313	192	265	0.730031948882	0.720658002805	651338.942355	32677.4964342	58524.0099933	0.070010788928	5.61511504685e+12	6.39031201415	0.320600204405	0.574181366809	0.070010788928	0.00530278129612	5.68795140949	0.269011255617	0.514837141061	0.0689042803153	0.00337228884046	64	239	139	0.338624338624	0.351134597918	1303557.48414	67716.3390572	116393.456021	0.0706182110567	4.76555934013e+13	12.7892538129	0.664367669262	1.14194078078	0.0706182110567	0.045004810629	11.3836297599	0.565061676886	1.03130963312	0.070116972516	0.0298324618769	-483039.818475	-15357.9086658	-21145.5007937	0.0377850935506	-2.18331892229e+11	-4.7391226819	-0.150677046738	-0.207459341029	0.0377850935506	-0.000206187453827	7.12247113584	0.39044586603	0.742766548537	0.0795519134409	0.0118085244451	6.9426292	0
5	312	191	266	0.732371794872	0.7224418697	659410.471095	49576.5543304	46940.3973873	0.0731842728835	8.21278328273e+12	6.46950210049	0.486397526935	0.46053408735	0.0731842728835	0.0077559574857	5.49750878991	0.221276034267	0.560324184814	0.071086763928	0.00279628583194	58	233	146	0.306068601583	0.314465933869	1318637.49763	100203.985472	95228.2468676	0.074103850638	6.90519818086e+13	12.9372044191	0.983105247649	0.934288080251	0.074103850638	0.0652110516951	10.9829848963	0.472597059309	1.12352273406	0.0726632972929	0.0256699706897	-470401.305301	31841.0340999	-23869.3186165	-0.00847331352362	-1.22796461623e+12	-4.61512573142	0.312393639503	-0.234182824956	-0.00847331352362	-0.00115966062047	7.12584555029	0.433538754379	0.686449737559	0.078586357509	0.0124290213102	7.23644616667	0
6	312	192	267	0.735576923077	0.725690856312	647089.312489	27988.2846366	68072.5507258	0.0742253298798	5.60960634243e+12	6.34861872818	0.274594162791	0.66786247597	0.0742253298798	0.00529757900649	5.66374446906	0.224552655915	0.456065124041	0.0600854950001	0.00185176753515	60	233	144	0.318302387268	0.32756089104	1295567.87306	56156.3546023	136124.35424	0.0742071152125	4.51034030401e+13	12.710867424	0.550952206526	1.33552140024	0.0742071152125	0.0425945826643	11.3335441756	0.468457029448	0.930472917438	0.0617163495023	0.0167641389761	-464174.496539	-13996.8266729	-1158.54220222	0.0163250770865	-566502213.536	-4.55403426544	-0.137323417704	-0.0113665031712	0.0163250770865	-5.34991236525e-07	7.18635742751	0.327059823989	0.808644845888	0.0790181034922	0.00973332509402	7.47531985714	0
7	303	189	254	0.73102310231	0.723111272733	678572.773975	12341.5965315	70762.3385347	0.0612343570604	1.12395936966e+12	6.65750420869	0.121083889601	0.694252090092	0.0612343570604	0.00106144053564	5.71270942901	0.184570823738	0.400770287404	0.0512314794246	0.000957800365195	59	232	144	0.313829787234	0.32279498078	1358360.44089	31355.9284908	141737.490602	0.0637140974821	1.45409835936e+13	13.3269277798	0.307634249267	1.39059210213	0.0637140974821	0.01373215957	11.4303709846	0.372470030636	0.827907071746	0.0525082302226	0.00831927590417	-494183.858015	1794.90073036	4821.52100321	-0.00669429163485	-151551569.692	-4.84845729269	0.0176098417515	0.0473041324413	-0.00669429163485	-1.43121703198e-07	7.31094201796	0.22003997539	0.800228159288	0.0697767901983	0.00424089475936	7.64506525	0
8	308	198	262	0.746753246753	0.739490372575	704376.831817	63112.5152542	40966.6142677	0.0738802902229	9.4904337069e+12	6.91066883638	0.619199372625	0.401925065907	0.0738802902229	0.0089625402032	5.92175967109	0.30280622716	0.5485665269	0.0718851153497	0.0046594798051	65	228	135	0.358126721763	0.370492182697	1409475.32715	128464.82635	86656.0627218	0.0763123997026	8.79242952118e+13	13.8284179419	1.26037347046	0.85018604401	0.0763123997026	0.083033616272	11.8488794592	0.631715889603	1.08206705494	0.0723183551001	0.0394343484352	-518116.631028	-51492.106867	-3541.49046269	0.0531092750493	-64183876574.9	-5.08326267123	-0.505191088309	-0.0347457023987	0.0531092750493	-6.06137287257e-05	7.54884242673	0.468915172028	0.679162520465	0.0760432942955	0.0134355556569	7.78540277778	0
9	317	194	265	0.723974763407	0.715260990401	671877.269335	31030.8084535	57156.411388	0.0656274768223	4.68194318688e+12	6.59181434899	0.304444483777	0.560763803033	0.0656274768223	0.00442151595358	5.61634859814	0.192350857911	0.529988501834	0.064306848758	0.00185040628399	60	232	152	0.3125	0.319510742132	1341599.12955	63261.3928457	114423.060181	0.0662211420357	3.90554682095e+13	13.1624818942	0.620660016538	1.12260914958	0.0662211420357	0.0368830566434	11.2341355685	0.401207338897	1.04980694313	0.0645805933697	0.0157912663256	-494108.436271	18937.7575196	9662.91545774	-0.0289416966782	-67772139132.6	-4.84771732699	0.185799084823	0.0948032440961	-0.0289416966782	-6.40023986671e-05	7.1760033936	0.308486622596	0.765738989328	0.0748484604176	0.00777591594898	7.8955142	0
