states	AB_aSPR	AA_aSPR	BB_aSPR	NormSPR_1	NormSPR_2	AB_sumTMRCA	AA_sumTMRCA	BB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AB_meanTMRCA	AA_meanTMRCA	BB_meanTMRCA	Norm_meanTMRCA_1	Norm_meanTMRCA_2	AB_stdevTMRCA	AA_stdevTMRCA	BB_stdevTMRCA	Norm_stdevTMRCA_1	Norm_stdevTMRCA_2	sharedClades_AB	sharedClades_AA	sharedClades_BB	Norm_sharedClades_1	Norm_sharedClades_2	AB_sumTT	AA_sumTT	BB_sumTT	Norm_sumTT_1	Norm_sumTT_2	AB_meanTT	AA_meanTT	BB_meanTT	Norm_meanTT_1	Norm_meanTT_2	AB_stdevTT	AA_stdevTT	BB_stdevTT	Norm_stdevTT_1	Norm_stdevTT_2	AltAB_sumTMRCA	AltAA_sumTMRCA	AltBB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AltAB_meanTMRCA	AltAA_meanTMRCA	AltBB_meanTMRCA	AltNorm_meanTMRCA_1	AltNorm_meanTMRCA_2	AltAB_stdevTMRCA	AltAA_stdevTMRCA	AltBB_stdevTMRCA	AltNorm_stdevTMRCA_1	AltNorm_stdevTMRCA_2	timeTaken	exact indicator
0	282	186	222	0.723404255319	0.720582732846	847711.217307	73404.0212288	46127.1843911	0.0705023144555	1.35240157033e+13	8.31692813715	0.720169743038	0.452555622619	0.0705023144555	0.0127717592465	7.0880007718	0.388905203385	0.3175555417	0.049834979413	0.00215180614635	92	233	208	0.417233560091	0.417905608232	1694787.91632	148174.073618	91223.2366937	0.0706275127424	1.07805281354e+14	16.6276309904	1.45374167158	0.89499476771	0.0706275127424	0.101808747429	14.1727480488	0.791870962189	0.631484049976	0.0502145034705	0.0176432886766	-490957.03561	52751.6760881	29076.1632585	-0.0833350307782	-4.79185022907e+12	-4.816798811	0.517548771541	0.285267382792	-0.0833350307782	-0.00452530955404	9.80864403442	0.634062288016	0.473572205628	0.0564621618318	0.00919236549473	0.289535	0
1	280	187	199	0.689285714286	0.688952547165	819744.008173	144433.827026	48253.2149674	0.11752878952	5.92532389942e+13	8.04254074694	1.41704596497	0.473414192329	0.11752878952	0.0559573516929	6.91020616058	0.968441198826	0.2685203948	0.0895025101192	0.00978610932146	95	238	204	0.429864253394	0.431141713129	1640323.24877	289927.880653	95489.4308303	0.117482121823	4.67262718032e+14	16.0932759921	2.84449385488	0.936850566394	0.117482121823	0.441271813824	13.8181020073	1.93633854372	0.559971241744	0.0903275205287	0.0850835562129	-450574.776363	102805.059812	-6741.41482339	-0.106601223623	-1.06601718934e+12	-4.42060687522	1.00862449043	-0.0661402863194	-0.106601223623	-0.00100672131663	9.63803121507	1.38873116899	0.540231119474	0.100070348675	0.0583992450478	5.0873305	0
2	272	196	211	0.748161764706	0.747653480326	834361.113403	48823.1503066	34838.2351969	0.050134998	3.46744703661e+12	8.185949742	0.479005850387	0.341799297499	0.050134998	0.0032745746325	6.94499445285	0.273068227814	0.270538908326	0.0391366141349	0.000785832356602	97	233	211	0.436936936937	0.437474301203	1667448.40108	101119.828779	71076.5542902	0.0516346961493	3.0979398316e+13	16.3594019297	0.992090622403	0.697334873244	0.0516346961493	0.0292562080357	13.8937855994	0.578556402189	0.550405423813	0.0406283016938	0.00729854389775	-464700.467074	36435.7671766	-9762.52461898	-0.0286993928859	-2.72274526682e+11	-4.55919458307	0.357472746666	-0.0957805134998	-0.0286993928859	-0.000257129596714	9.71887163628	0.419792921735	0.425257749986	0.0434747316019	0.00327913163471	6.48743966667	0
3	284	180	204	0.676056338028	0.674734623493	850081.419798	86426.5056991	58469.9469034	0.085225043877	3.00399208381e+13	8.34018228713	0.84793385102	0.573650951705	0.085225043877	0.0283689878173	6.92043686496	0.609496870873	0.386730807293	0.0719772246757	0.00802836278459	99	234	216	0.44	0.440352422964	1699050.91645	173298.300729	117477.78824	0.0855701515931	2.43946020375e+14	16.6694554525	1.7002364532	1.15257920688	0.0855701515931	0.230376828135	13.8520020065	1.22637944713	0.781610553059	0.0724801367792	0.0663312238373	-494509.926896	74792.4064964	17284.5720588	-0.0930992216204	-3.37953744848e+12	-4.85165636733	0.733791245575	0.169579617161	-0.0930992216204	-0.00319155490525	9.69084709805	0.742986311602	0.670730113492	0.0729408074852	0.0256268657702	7.27929525	0
4	280	179	204	0.683928571429	0.682470003826	849630.456406	23167.4195608	70909.8635976	0.0553636480713	3.17642463444e+12	8.33575786753	0.227296465679	0.695699464293	0.0553636480713	0.00299973998743	7.0200186889	0.311776163673	0.399178595943	0.0506376685819	0.00220638878797	96	237	205	0.434389140271	0.435532060086	1698823.37961	50688.7676509	140528.421682	0.0562793023769	2.98678233078e+13	16.6672230796	0.497309495623	1.37872987934	0.0562793023769	0.0282064629969	14.0407654032	0.595757552154	0.81922980022	0.0503885405013	0.0169652324006	-467662.638164	-6194.62782112	-57467.0650671	0.0680636934544	-2.70979100808e+11	-4.58825656029	-0.0607757375068	-0.563811638513	0.0680636934544	-0.000255906227284	9.88501003316	0.381017544577	0.570489029127	0.04812876115	0.00477977471563	7.7194692	0
5	290	190	201	0.674137931034	0.673871099852	855666.459272	61991.70546	43651.3757454	0.0617314609336	8.55772904484e+12	8.39497732936	0.608203063595	0.428265366496	0.0617314609336	0.00808171607128	7.06845234314	0.291623702726	0.272789790568	0.0399248283708	0.000895318441908	87	234	208	0.393665158371	0.394348012585	1711276.14547	123724.705531	86057.9717589	0.0612942212292	6.62483359168e+13	16.7893976559	1.21386795843	0.84431815002	0.0612942212292	0.0625633550991	14.1310859942	0.601683826565	0.56872730564	0.0414126392227	0.00828646491988	-502144.587549	41729.5056031	23340.6514743	-0.0647922517646	-1.88922480995e+12	-4.92656032366	0.409409822843	0.228996050805	-0.0647922517646	-0.00178413904306	9.80651142175	0.536040061486	0.453195656084	0.0504376977207	0.0060179896308	7.999257	0
6	272	188	220	0.75	0.747689636405	835883.780275	40364.6691269	42267.8173192	0.0494282150199	3.48238304052e+12	8.20088868664	0.396019358426	0.41469122029	0.0494282150199	0.00328867983988	7.05030552762	0.222478832099	0.283124099331	0.0358568099956	0.000562759882048	95	224	202	0.446009389671	0.446605339826	1671676.60095	79895.161333	83911.1009153	0.0489946028302	2.68860827368e+13	16.4008849651	0.783854574231	0.823255115626	0.0489946028302	0.0253905780154	14.0973354607	0.467091558087	0.579566457889	0.0371225476933	0.00519844541296	-467634.311005	22612.8585115	-13287.4554458	-0.00997082853663	-1.93058178742e+11	-4.58797864142	0.221855645385	-0.130363748658	-0.00997082853663	-0.000182319559039	9.7934588001	0.396368812586	0.484905513315	0.0449930072658	0.00377204699343	8.20210428571	0
7	279	202	194	0.709677419355	0.709532587227	848951.871384	35736.7810915	42797.7236674	0.0462538027219	2.75542842515e+12	8.32910024316	0.350614966657	0.41989015234	0.0462538027219	0.00260216116567	7.01667939785	0.162526726167	0.339692304911	0.0357875144782	0.000434399542179	92	231	209	0.418181818182	0.418705527615	1697377.53154	71644.6759054	86795.8257027	0.0466721453137	2.27817495866e+13	16.6530378072	0.702908736784	0.85155726412	0.0466721453137	0.0215145432627	14.0329071279	0.381910397	0.709514415918	0.0388880508852	0.00523236172382	-459006.755253	18151.9464367	22271.8164548	-0.0440339520376	-3.56072638977e+11	-4.50333335217	0.178089461341	0.218509668336	-0.0440339520376	-0.000336266543833	9.91603193581	0.342972207797	0.493915100895	0.0421986997475	0.00289390686653	8.4204515	0
8	270	196	213	0.757407407407	0.756752863965	836597.661159	28377.9041381	62458.10463	0.0542889449644	3.75510072037e+12	8.20789260012	0.278416735063	0.61277892422	0.0542889449644	0.00354622793992	7.12894685421	0.145567181546	0.346470474799	0.0345098418046	0.000356807547197	100	231	208	0.455580865604	0.456207417876	1674607.88702	58693.9025867	126028.605469	0.0551539585735	3.26746619441e+13	16.4296439282	0.575848189732	1.23647161145	0.0551539585735	0.0308571747451	14.2489383098	0.339442616134	0.698690410927	0.0364284343329	0.00394747866494	-454101.608274	14775.6914458	-32967.6718986	0.0200307377482	-5.22539524047e+11	-4.45520876198	0.144964890664	-0.323447127314	0.0200307377482	-0.000493473916648	9.91677866409	0.278730807737	0.625237359495	0.0455777121711	0.00306259216487	8.53394744444	0
9	266	201	209	0.770676691729	0.770529969529	861146.365801	28461.0484081	51060.8903846	0.0461721386461	2.45245802008e+12	8.44874090812	0.279232466771	0.500960406418	0.0461721386461	0.00231604311041	7.07529717083	0.368115702919	0.322666335842	0.0488164682049	0.00199402829563	102	226	207	0.471131639723	0.471585865103	1722565.56923	59735.5234843	102609.934971	0.0471231578511	2.18106400441e+13	16.900158637	0.58606757338	1.00671011294	0.0471231578511	0.0205974504738	14.1515822707	0.732012064267	0.67783127813	0.0498122158862	0.0173970129755	-479649.518254	-3911.57274496	-24409.4279357	0.0295225989007	-19006143888.1	-4.70586031292	-0.0383765942444	-0.239481858757	0.0295225989007	-1.79489509084e-05	9.96473440204	0.460442372343	0.545640295809	0.0504821617697	0.00633428660077	8.6462785	0
10	282	197	213	0.72695035461	0.726396606253	865406.214037	36891.3652986	45435.7213485	0.0475655740112	3.24656649098e+12	8.49053444692	0.361942637782	0.445771651477	0.0475655740112	0.00306598029093	7.07783573841	0.38261463975	0.26388767169	0.0456709038846	0.0014403262957	88	217	210	0.412177985948	0.412233382493	1730136.35178	73716.8310664	89483.3809501	0.0471639740558	2.51499863257e+13	16.9744358827	0.723238732672	0.877924974493	0.0471639740558	0.0237510497956	14.1483703994	0.769025576749	0.533108655185	0.0460171099277	0.011879731203	-499047.268386	-28915.525019	-17085.935281	0.0460892817316	-4.89100374782e+11	-4.89617240337	-0.283691354699	-0.167630783911	0.0460892817316	-0.000461894778233	9.9102184502	0.443751789703	0.490152005827	0.0471182244984	0.00477373795947	8.72788627273	0
11	272	200	228	0.786764705882	0.785079283238	792485.592577	62090.0124847	48594.8850125	0.0698340124628	1.14877039944e+13	7.77510735805	0.609167557686	0.476766330598	0.0698340124628	0.0108487148293	6.90513846405	0.329873813979	0.314516805635	0.0466602243365	0.0015588739662	98	218	203	0.465558194774	0.465853979699	1584999.1727	124574.145521	98479.17931	0.0703638615947	9.49545183918e+13	15.550489303	1.22220184763	0.966183106469	0.0703638615947	0.0896727920814	13.8123967048	0.67750704546	0.631722567062	0.0473932815753	0.0132620716979	-398160.611994	39449.0840675	-25367.4695357	-0.0176833344479	-2.51518450039e+12	-3.90636944444	0.38703651735	-0.248881242624	-0.0176833344479	-0.00237528050871	9.63709029741	0.574547283279	0.514086648424	0.0564814637046	0.00905270299663	8.81170625	0
12	265	186	208	0.743396226415	0.742236428869	881721.165273	24974.9881379	40677.2990475	0.0372296196185	1.17053264933e+12	8.650601076	0.245030592173	0.399086582888	0.0372296196185	0.00110542323488	7.14801241661	0.297294575543	0.280741219859	0.0404333233991	0.0009745430694	101	223	209	0.467592592593	0.467838328406	1763797.16758	55045.4189995	82959.4584432	0.0391215271175	1.18229414688e+13	17.3046834722	0.540052773576	0.813918513855	0.0391215271175	0.0111653051385	14.2882465	0.58937635074	0.590251006183	0.0412796404697	0.00846993249305	-526674.725189	-14310.9263163	18866.3077947	-0.00432466308001	-1.3840980121e+11	-5.16722647008	-0.140405061675	0.185098088758	-0.00432466308001	-0.000130710929149	9.96126252495	0.358762420558	0.451469191317	0.0406691225055	0.00263363595789	8.86113553846	0
13	276	197	215	0.746376811594	0.745664145479	857764.993206	20846.3804426	37531.9400524	0.0340293209431	7.13666035626e+11	8.41556612843	0.204524659485	0.368227341919	0.0340293209431	0.000673969255094	7.04570988555	0.265515665971	0.263653339825	0.0375525684702	0.000695539979881	90	218	214	0.416666666667	0.416684529041	1714519.39901	46218.7388904	76279.8451597	0.0357238839412	7.24958898302e+12	16.821217344	0.453453867418	0.748384564878	0.0357238839412	0.00684633966409	14.0943474615	0.525254682793	0.542461702596	0.0378774678397	0.00576014024587	-503334.329112	-1000.03053323	19697.0264282	-0.0185731379856	-770852533.127	-4.93823292499	-0.00981133894428	0.193248301986	-0.0185731379856	-7.27974825204e-07	9.80192004822	0.335011407032	0.409584609961	0.0379821511158	0.00192085814521	8.90700557143	0
