states	AB_aSPR	AA_aSPR	BB_aSPR	NormSPR_1	NormSPR_2	AB_sumTMRCA	AA_sumTMRCA	BB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AB_meanTMRCA	AA_meanTMRCA	BB_meanTMRCA	Norm_meanTMRCA_1	Norm_meanTMRCA_2	AB_stdevTMRCA	AA_stdevTMRCA	BB_stdevTMRCA	Norm_stdevTMRCA_1	Norm_stdevTMRCA_2	sharedClades_AB	sharedClades_AA	sharedClades_BB	Norm_sharedClades_1	Norm_sharedClades_2	AB_sumTT	AA_sumTT	BB_sumTT	Norm_sumTT_1	Norm_sumTT_2	AB_meanTT	AA_meanTT	BB_meanTT	Norm_meanTT_1	Norm_meanTT_2	AB_stdevTT	AA_stdevTT	BB_stdevTT	Norm_stdevTT_1	Norm_stdevTT_2	AltAB_sumTMRCA	AltAA_sumTMRCA	AltBB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AltAB_meanTMRCA	AltAA_meanTMRCA	AltBB_meanTMRCA	AltNorm_meanTMRCA_1	AltNorm_meanTMRCA_2	AltAB_stdevTMRCA	AltAA_stdevTMRCA	AltBB_stdevTMRCA	AltNorm_stdevTMRCA_1	AltNorm_stdevTMRCA_2	timeTaken	exact indicator
0	295	186	255	0.747457627119	0.738251854083	813357.191285	73404.0212288	61286.3055562	0.0827990016123	2.48819995395e+13	7.97987943493	0.720169743038	0.601282357359	0.0827990016123	0.0234979694391	6.81094526272	0.388905203385	0.578548206731	0.0710219633838	0.00743291593905	77	233	156	0.39588688946	0.403878249706	1626846.28465	148174.073618	125411.917711	0.0840847699964	2.12263606673e+14	15.9610529664	1.45374167158	1.23042126357	0.0840847699964	0.200456709065	13.6134149427	0.791870962189	1.15973711469	0.0716795927068	0.0619527894159	-547375.693664	52751.6760881	34109.1649393	-0.0793429832862	-5.91465192862e+12	-5.37032448702	0.517548771541	0.33464636049	-0.0793429832862	-0.00558565681352	9.01260595344	0.634062288016	0.764375767666	0.0775823365022	0.0260631728787	0.124644	0
1	297	187	270	0.76936026936	0.756564982266	780030.86419	144433.827026	70581.6478329	0.13782497894	1.33232334353e+14	7.65291352736	1.41704596497	0.692479326501	0.13782497894	0.12582145241	6.49494768353	0.968441198826	0.657468789468	0.125167289062	0.0624196226457	70	238	159	0.352644836272	0.359841293582	1562169.55353	289927.880653	140838.84351	0.137874510225	1.06732502704e+15	15.3265070103	2.84449385488	1.38177544013	0.137874510225	1.00795640749	12.9885711502	1.93633854372	1.32597145664	0.125583867642	0.507539156753	-517144.770414	102805.059812	-21729.3700629	-0.0783878078123	-9.64964008948e+12	-5.07372770847	1.00862449043	-0.213187705422	-0.0783878078123	-0.0091128909299	8.66075735773	1.38873116899	0.930775928466	0.133909022136	0.192917124877	4.9339835	0
2	302	196	260	0.754966887417	0.747494095869	805455.502142	48823.1503066	58030.8299903	0.0663313988251	9.96615435615e+12	7.90235565157	0.479005850387	0.569342758376	0.0663313988251	0.00941179948639	6.63543715149	0.273068227814	0.531013310695	0.0605899445773	0.00316871820204	69	233	149	0.361256544503	0.370320706238	1609634.41248	101119.828779	119495.847496	0.0685297464335	9.07091359972e+13	15.7921866107	0.992090622403	1.17237846571	0.0685297464335	0.0856635537721	13.2709999032	0.578556402189	1.03995855037	0.060979389811	0.0272784582909	-556336.140735	36435.7671766	6591.02825416	-0.0386697827809	-1.03663271307e+11	-5.45823578611	0.357472746666	0.0646648377662	-0.0386697827809	-9.78971315094e-05	8.75693514527	0.419792921735	0.7758509982	0.0682684009931	0.0121136420447	6.31476433333	0
3	302	180	256	0.721854304636	0.710803065695	823692.403688	86426.5056991	104239.593649	0.115738653468	9.8535850049e+13	8.08127861083	0.84793385102	1.02269875841	0.115738653468	0.093054916645	6.94644980262	0.609496870873	0.874228568089	0.106797391554	0.0408723912994	70	234	152	0.362694300518	0.371166111736	1646644.16247	173298.300729	208669.456515	0.115983697617	7.94157459396e+14	16.1552907253	1.7002364532	2.04726425559	0.115983697617	0.749983444101	13.8939387481	1.22637944713	1.76961973546	0.107816769489	0.33898794432	-578164.286467	74792.4064964	37357.6990377	-0.0969880950443	-1.35028048423e+13	-5.67239258351	0.733791245575	0.366517856461	-0.0969880950443	-0.0127517282131	9.02131870764	0.742986311602	1.29454741149	0.112928818343	0.102548076946	7.119546	0
4	300	179	266	0.741666666667	0.727354414604	835278.109883	23167.4195608	88125.322321	0.0666201715123	4.99028862132e+12	8.19494643058	0.227296465679	0.8646010078	0.0666201715123	0.00471271005893	6.9866577318	0.311776163673	1.35289746822	0.119132330207	0.0254651429018	75	237	153	0.384615384615	0.393859545112	1670868.37966	50688.7676509	177268.485686	0.0682152035767	4.8321932542e+13	16.3929554741	0.497309495623	1.73918809416	0.0682152035767	0.0456340854885	13.9670263976	0.595757552154	2.70328824324	0.11810122289	0.185703406385	-566028.336489	-6194.62782112	-28893.1390335	0.0309947087387	-56595476245.8	-5.55332630035	-0.0607757375068	-0.283471724913	0.0309947087387	-5.34474236729e-05	9.22665162793	0.381017544577	1.58035130379	0.106288224995	0.0392964304889	7.4899856	0
5	312	190	262	0.724358974359	0.715110001515	816389.442598	61991.70546	79868.0323572	0.0868823936317	3.00272638008e+13	8.00962897198	0.608203063595	0.78358841078	0.0868823936317	0.0283570348119	6.88796630958	0.291623702726	1.21325833898	0.109239939197	0.0181744465894	71	234	149	0.370757180157	0.380239548681	1632727.14217	123724.705531	164301.029469	0.0882038791297	2.53092813985e+14	16.0187502911	1.21386795843	1.61196387054	0.0882038791297	0.239014842792	13.7614533945	0.601683826565	2.39548572245	0.108897274986	0.150959185931	-559568.758018	41729.5056031	-47150.5732902	0.00484396922582	-6.91842082203e+12	-5.48995112158	0.409409822843	-0.462596131411	0.00484396922582	-0.00653359231781	9.02544585234	0.536040061486	1.36821468119	0.105493666121	0.0595983620297	7.84744733333	0
6	293	188	262	0.767918088737	0.757463918011	810316.705217	40364.6691269	44138.7583742	0.0521422222676	3.91731256907e+12	7.95004910638	0.396019358426	0.43304709666	0.0521422222676	0.00369941695744	6.75139883324	0.222478832099	0.377317282948	0.0444201364682	0.00104375128847	81	224	156	0.426315789474	0.433309998667	1622098.8078	79895.161333	90146.7110828	0.0524141536871	3.19788928671e+13	15.9144752841	0.783854574231	0.884432932547	0.0524141536871	0.0302001069526	13.4904306633	0.467091558087	0.772291335243	0.0459356311247	0.00964585094996	-539890.884924	22612.8585115	13113.7883845	-0.0330869143133	-1.62877568708e+11	-5.29689073371	0.221855645385	0.128659894281	-0.0330869143133	-0.000153817707686	8.98485478761	0.396368812586	0.559772053197	0.0532084762851	0.00547911370968	8.08245214286	0
7	292	202	259	0.789383561644	0.78332631297	825060.314814	35736.7810915	77416.0340439	0.0685724504643	9.27698818712e+12	8.09469924077	0.350614966657	0.759531758766	0.0685724504643	0.00876096732346	6.83846290212	0.162526726167	1.02028697703	0.0864824244954	0.00402101567416	70	231	159	0.358974358974	0.36525274451	1649897.48172	71644.6759054	155442.589121	0.0688185985925	7.51711039201e+13	16.1872091686	0.702908736784	1.52505336343	0.0688185985925	0.0709898052934	13.6784598837	0.381910397	2.04685319492	0.0887805941812	0.0446744436251	-575399.443421	18151.9464367	-9864.69894019	-0.00720129954175	-55724301896.7	-5.6452665995	0.178089461341	-0.096782949789	-0.00720129954175	-5.26247073073e-05	8.96770292119	0.342972207797	1.26826932025	0.0898357997701	0.021098890554	8.235692125	0
8	294	196	252	0.761904761905	0.755928946018	811298.846381	28377.9041381	79127.2807653	0.0662549844505	6.2148730068e+12	7.95968493202	0.278416735063	0.77632086774	0.0662549844505	0.00586917846976	6.80666381714	0.145567181546	0.432976280019	0.042498313205	0.000583607487413	76	231	161	0.387755102041	0.394089318976	1623531.66662	58693.9025867	159366.187688	0.0671560939517	5.38911656536e+13	15.9285331184	0.575848189732	1.56354794349	0.0671560939517	0.0508935369747	13.6076306303	0.339442616134	0.886269090189	0.0450376608399	0.00665091543165	-581235.260509	14775.6914458	26699.7943404	-0.0356787419865	-2.67768512612e+11	-5.70252203077	0.144964890664	0.261952733752	-0.0356787419865	-0.00025287422404	8.78456026362	0.278730807737	0.849425284547	0.0642124396912	0.00638116961922	8.33712511111	0
9	301	201	250	0.749169435216	0.744734610348	816471.436771	28461.0484081	61671.1676338	0.0551961844485	3.77333300243e+12	8.01043342004	0.279232466771	0.605058254359	0.0551961844485	0.0035634460741	6.72791166321	0.368115702919	0.366100945184	0.0545649738624	0.00269954211526	75	226	153	0.395778364116	0.403330744855	1634266.97899	59735.5234843	121018.372595	0.0553012140618	3.1977533236e+13	16.0338576908	0.58606757338	1.18731601941	0.0553012140618	0.0301988229493	13.4685960208	0.732012064267	0.745622022067	0.0548547927362	0.0221182928346	-549848.039164	-3911.57274496	-31318.9032696	0.032036556926	-27294379964.6	-5.39458076608	-0.0383765942444	-0.307270993364	0.032036556926	-2.57761642207e-05	8.96271930181	0.460442372343	0.636953632432	0.0612200364544	0.00959679919926	8.4467977	0
