states	AB_aSPR	AA_aSPR	BB_aSPR	NormSPR_1	NormSPR_2	AB_sumTMRCA	AA_sumTMRCA	BB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AB_meanTMRCA	AA_meanTMRCA	BB_meanTMRCA	Norm_meanTMRCA_1	Norm_meanTMRCA_2	AB_stdevTMRCA	AA_stdevTMRCA	BB_stdevTMRCA	Norm_stdevTMRCA_1	Norm_stdevTMRCA_2	sharedClades_AB	sharedClades_AA	sharedClades_BB	Norm_sharedClades_1	Norm_sharedClades_2	AB_sumTT	AA_sumTT	BB_sumTT	Norm_sumTT_1	Norm_sumTT_2	AB_meanTT	AA_meanTT	BB_meanTT	Norm_meanTT_1	Norm_meanTT_2	AB_stdevTT	AA_stdevTT	BB_stdevTT	Norm_stdevTT_1	Norm_stdevTT_2	AltAB_sumTMRCA	AltAA_sumTMRCA	AltBB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AltAB_meanTMRCA	AltAA_meanTMRCA	AltBB_meanTMRCA	AltNorm_meanTMRCA_1	AltNorm_meanTMRCA_2	AltAB_stdevTMRCA	AltAA_stdevTMRCA	AltBB_stdevTMRCA	AltNorm_stdevTMRCA_1	AltNorm_stdevTMRCA_2	timeTaken	exact indicator
0	298	199	264	0.776845637584	0.769152113174	195157.421423	26877.7759752	49473.2059619	0.195613831594	9.06028162366e+12	1.91469714718	0.26369891858	0.485383572022	0.195613831594	0.00855631479152	2.65300138225	0.15002973872	0.532878563235	0.128704852271	0.00240920485116	70	221	148	0.379403794038	0.387053541423	391171.667263	54810.9937074	99585.5627085	0.197351405198	7.61659255375e+13	3.83780063245	0.537752817803	0.977037877563	0.197351405198	0.0719292912027	5.31166914295	0.318578512452	1.072956961	0.130988530724	0.0219971566671	-36603.6887506	6137.64844029	25915.7974842	-0.437844477136	-6.91207304203e+11	-0.359120231841	0.0602167105576	0.254260909721	-0.437844477136	-0.000652759762513	3.25200156192	0.297354989751	0.674468802045	0.149419330417	0.0123686826702	0.131397	0
1	303	184	258	0.729372937294	0.71907822212	155366.217378	24887.4882814	57497.2341383	0.265130746599	1.31795157163e+13	1.52430407726	0.244172127636	0.564107628459	0.265130746599	0.0124464216404	2.51784846305	0.192056387138	0.548603676759	0.147081938164	0.00440905330202	70	232	153	0.363636363636	0.371542357257	312402.851835	50614.8861276	115878.191976	0.266471764144	1.10114613615e+14	3.06499668225	0.496584641089	1.13688550494	0.266471764144	0.103989625972	5.0402299714	0.404630837215	1.11153510767	0.150406425251	0.0401341409371	-41298.1346358	9473.65550544	6753.04621932	-0.196458046687	-99106966882.1	-0.405177625294	0.0929464072508	0.0662544024029	-0.196458046687	-9.35942658187e-05	2.91528641729	0.296423091432	0.784087855282	0.18531814581	0.0185298664657	5.01458	0
2	308	195	267	0.75	0.740836241681	170712.939933	41182.962806	60146.4692803	0.296783103044	3.59409051697e+13	1.67487137662	0.404047669937	0.590099378768	0.296783103044	0.0339417372768	2.36313788354	0.307266561612	0.560004051389	0.183499790478	0.0125292154296	72	218	143	0.398891966759	0.407789680072	341172.683172	85372.0926881	119975.062016	0.300943136472	3.0749607001e+14	3.34725863049	0.837588963445	1.17708005824	0.300943136472	0.290391985752	4.70939336483	0.62390530424	1.12206807228	0.185371367527	0.104066463974	-17484.5486371	20480.9599987	-10278.9082925	-0.291744783291	-2.5347794403e+12	-0.171541595247	0.200939505118	-0.100846774057	-0.291744783291	-0.0023937855046	2.89139901534	0.466144371144	0.807249492138	0.220203758894	0.0489720654	6.63942	0
3	323	213	273	0.752321981424	0.746566679781	196747.1369	32067.9325663	58610.2290216	0.230443408266	1.79547903743e+13	1.93029390833	0.314619749292	0.57502726509	0.230443408266	0.0169560776187	2.77213350923	0.349188836665	0.572885215072	0.166311263268	0.0144358309656	69	211	137	0.396551724138	0.405833206567	391535.777309	69097.6754717	118091.167082	0.239044365038	1.70055331234e+14	3.84137293045	0.677920015224	1.15859709085	0.239044365038	0.160596216151	5.54997189692	0.722256154073	1.14763498828	0.168459514488	0.123793909489	-39787.0552651	16417.0551006	-13161.0530088	-0.0409178572041	-1.17335652057e+12	-0.390352366081	0.161068374121	-0.129123609372	-0.0409178572041	-0.00110809003182	3.35535151599	0.441560198788	0.80136191496	0.185214888489	0.0373163547208	7.337879	0
4	314	199	265	0.738853503185	0.731340841432	198766.275749	23715.2664501	58524.0099933	0.206874320439	9.69128729025e+12	1.95010375909	0.232671413085	0.574181366809	0.206874320439	0.00915222155721	2.45535602186	0.147658479728	0.514837141061	0.134908260735	0.00235365092636	72	221	139	0.4	0.410798604358	396796.238048	49590.1742747	116393.456021	0.209154742889	8.39616279143e+13	3.89298351792	0.486531152745	1.14194078078	0.209154742889	0.0792913673861	4.92277274969	0.328117695433	1.03130963312	0.138075369073	0.0232609616903	2780.46595468	-6044.81686579	-21145.5007937	-4.88952537141	5.87603892994e+12	0.0272792609803	-0.0593059363243	-0.207459341029	-4.88952537141	0.00554919161459	3.13543198096	0.26911302276	0.742766548537	0.161362067084	0.0127431477339	7.819051	0
5	314	184	266	0.716560509554	0.704563404282	153686.711034	42443.0001863	46940.3973873	0.290797418241	2.58267261862e+13	1.50782637437	0.416409946297	0.46053408735	0.290797418241	0.0243901468478	2.64735871547	0.244856223497	0.560324184814	0.152072404017	0.00711030512247	63	229	146	0.336	0.344545339972	308432.931158	84954.4512894	95228.2468676	0.29209380704	2.12198893741e+14	3.02604763415	0.833491467235	0.934288080251	0.29209380704	0.200395595709	5.27702173056	0.52618786234	1.12352273406	0.156310763972	0.0662302658805	-43284.3933862	2712.23032277	-23869.3186165	0.244396266628	-96828196305.5	-0.424664888117	0.0266097985084	-0.234182824956	0.244396266628	-9.14422490049e-05	3.01690375657	0.482331558354	0.686449737559	0.193705432824	0.0363368592982	8.115754	0
6	301	187	267	0.75415282392	0.742352094762	213689.481264	30565.2733488	68072.5507258	0.230797097478	2.02589751545e+13	2.0965159161	0.299877100532	0.66786247597	0.230797097478	0.0191320950028	2.49422805288	0.259857721781	0.456065124041	0.143515915675	0.00563104267255	70	231	144	0.373333333333	0.383805155393	427207.781881	64042.7822233	136124.35424	0.23427374799	1.77898747968e+14	4.19135237213	0.628326258495	1.33552140024	0.23427374799	0.168003352639	4.99282520313	0.51414182703	0.930472917438	0.144669068683	0.0458381398327	-4960.07027341	20944.4663784	-1158.54220222	-1.99452054966	-1.18706496442e+11	-0.0486634447875	0.205486984463	-0.0113665031712	-1.99452054966	-0.000112103596063	3.25794174831	0.33945163162	0.808644845888	0.176199663193	0.0231274702901	8.34779442857	0
7	309	197	254	0.729773462783	0.723921528139	151390.500833	21050.055483	70762.3385347	0.303230366214	1.46558907131e+13	1.48529816566	0.206522923327	0.694252090092	0.303230366214	0.0138406751247	2.27313566306	0.19006866147	0.400770287404	0.129961215795	0.00255262318151	66	223	144	0.359673024523	0.3683072416	302289.48694	44923.7932755	141737.490602	0.308745907387	1.34121769861e+14	2.96577406098	0.440749104993	1.39059210213	0.308745907387	0.126661414181	4.54664010725	0.390518495313	0.827907071746	0.133991864137	0.0229908919484	-24292.1371743	1952.68079584	4821.52100321	-0.139431984729	-3648924783.79	-0.238331114478	0.0191578281875	0.0473041324413	-0.139431984729	-3.445957907e-06	2.70489457529	0.280019269965	0.800228159288	0.19968383225	0.0185632132853	8.476253125	0
8	312	200	262	0.740384615385	0.733687380914	180004.782896	18724.9558699	40966.6142677	0.165805511324	3.26902096769e+12	1.76603401385	0.183711279457	0.401925065907	0.165805511324	0.00308718576546	2.34141041754	0.205802077075	0.5485665269	0.161092775176	0.00544352934463	70	229	135	0.384615384615	0.398119467577	359854.08978	42423.3571388	86656.0627218	0.179349663553	3.75561900996e+13	3.53054264643	0.416217227585	0.85018604401	0.179349663553	0.035467174003	4.68227022747	0.420783231282	1.08206705494	0.160483079063	0.0442760351182	-19826.2852709	6016.34016536	-3541.49046269	-0.0624133484628	-22897895508.4	-0.194516465582	0.059026550295	-0.0347457023987	-0.0624133484628	-2.16242287129e-05	2.92630180023	0.269481345344	0.679162520465	0.162089205176	0.0114468428866	8.65219766667	0
9	296	197	265	0.780405405405	0.771905861881	185756.261169	32788.4226849	57156.411388	0.242104447804	1.89072120879e+13	1.82246199369	0.321688506219	0.560763803033	0.242104447804	0.0178555220659	2.52523392215	0.224013114593	0.529988501834	0.149293419872	0.0055818500988	79	230	152	0.413612565445	0.422514267968	368164.886825	66579.0399687	114423.060181	0.245816625412	1.57637597865e+14	3.61208020353	0.653209583116	1.12260914958	0.245816625412	0.148869203667	5.05987779091	0.454824704837	1.04980694313	0.148682607579	0.045057484974	-40927.1134874	-12935.3292278	9662.91545774	0.039978555672	-3.81733450139e+11	-0.401537522197	-0.126909024467	0.0948032440961	0.039978555672	-0.000360500004471	3.08819392174	0.370890105088	0.765738989328	0.184028128288	0.0261184530982	8.8038264	0
