states	AB_aSPR	AA_aSPR	BB_aSPR	NormSPR_1	NormSPR_2	AB_sumTMRCA	AA_sumTMRCA	BB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AB_meanTMRCA	AA_meanTMRCA	BB_meanTMRCA	Norm_meanTMRCA_1	Norm_meanTMRCA_2	AB_stdevTMRCA	AA_stdevTMRCA	BB_stdevTMRCA	Norm_stdevTMRCA_1	Norm_stdevTMRCA_2	sharedClades_AB	sharedClades_AA	sharedClades_BB	Norm_sharedClades_1	Norm_sharedClades_2	AB_sumTT	AA_sumTT	BB_sumTT	Norm_sumTT_1	Norm_sumTT_2	AB_meanTT	AA_meanTT	BB_meanTT	Norm_meanTT_1	Norm_meanTT_2	AB_stdevTT	AA_stdevTT	BB_stdevTT	Norm_stdevTT_1	Norm_stdevTT_2	AltAB_sumTMRCA	AltAA_sumTMRCA	AltBB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AltAB_meanTMRCA	AltAA_meanTMRCA	AltBB_meanTMRCA	AltNorm_meanTMRCA_1	AltNorm_meanTMRCA_2	AltAB_stdevTMRCA	AltAA_stdevTMRCA	AltBB_stdevTMRCA	AltNorm_stdevTMRCA_1	AltNorm_stdevTMRCA_2	timeTaken	exact indicator
0	291	199	251	0.773195876289	0.768016251506	358369.82676	26877.7759752	68204.401929	0.132659296074	9.37734799197e+12	3.51598048349	0.26369891858	0.669156073318	0.132659296074	0.00885574473971	3.38714390064	0.15002973872	0.884970889342	0.152783681241	0.00520450018358	81	221	170	0.414322250639	0.417892350376	719198.764109	54810.9937074	137537.327065	0.133724034558	7.90182812407e+13	7.05608739781	0.537752817803	1.34938413226	0.133724034558	0.0746229881878	6.78056063926	0.318578512452	1.77888338038	0.15466729113	0.0473655201761	-143249.259384	6137.64844029	46381.9680243	-0.183315490392	-5.65730999211e+11	-1.40542412519	0.0602167105576	0.455055314878	-0.183315490392	-0.000534262920032	4.67542999009	0.297354989751	1.01186362018	0.140010503067	0.01936300986	0.126126	0
1	297	184	254	0.737373737374	0.72789597936	364847.782993	24887.4882814	77806.1123545	0.14073485632	1.02772721577e+13	3.5795359672	0.244172127636	0.763358832433	0.14073485632	0.00970561174941	3.47750133302	0.192056387138	0.90104997482	0.157168359877	0.00861168156246	84	232	153	0.436363636364	0.445850828709	732709.181536	50614.8861276	156490.885313	0.141328767716	8.56254741706e+13	7.18863863524	0.496584641089	1.53533823865	0.141328767716	0.0808626642757	6.97314481496	0.404630837215	1.80257266822	0.15826456814	0.0762912681717	-152949.029799	9473.65550544	67815.0956328	-0.252661789486	-2.69861672163e+12	-1.50058895472	0.0929464072508	0.665336573915	-0.252661789486	-0.00254850954209	4.75965608533	0.296423091432	0.97567156748	0.13363304366	0.0175733998026	5.1772715	0
2	299	195	249	0.742474916388	0.736963181075	369453.701826	41182.962806	64455.5805729	0.142965874826	1.90719984183e+13	3.62472481826	0.404047669937	0.632376239359	0.142965874826	0.0180111423628	3.44643809141	0.307266561612	0.531418172908	0.12167413316	0.00773629324423	84	218	154	0.451612903226	0.45844862957	740467.613793	85372.0926881	130944.113566	0.146067297357	1.68770969876e+14	7.26475691966	0.837588963445	1.28469785497	0.146067297357	0.159383295787	6.89656505166	0.62390530424	1.08496424736	0.123892803069	0.0664408795577	-135462.315444	20480.9599987	29509.856894	-0.184519276557	-2.69659876242e+12	-1.32902611153	0.200939505118	0.28952236813	-0.184519276557	-0.00254660382934	4.82185183523	0.466144371144	0.773616042332	0.128556460862	0.0269698146281	6.71404066667	0
3	303	213	263	0.785478547855	0.781133111375	357173.295334	32067.9325663	87155.3850838	0.166898420469	2.18701315263e+13	3.50424126654	0.314619749292	0.855084915368	0.166898420469	0.0206536328167	3.52523252007	0.349188836665	0.963260359741	0.186150727496	0.0320937386339	81	211	153	0.445054945055	0.450814707164	716051.934327	69097.6754717	174618.307563	0.170180381723	2.03311480028e+14	7.02521372689	0.677920015224	1.71318709224	0.170180381723	0.192002533266	7.06423525027	0.722256154073	1.92921438659	0.187668618522	0.274838982644	-113210.834168	16417.0551006	-13828.1256286	-0.0114341065103	-4.55228196538e+11	-1.11071595243	0.161068374121	-0.135668285115	-0.0114341065103	-0.000429906697534	4.84492324477	0.441560198788	1.28087269061	0.177756468202	0.0660244620819	7.6213095	0
4	307	199	265	0.755700325733	0.748016365503	363300.097903	23715.2664501	79724.3455533	0.142361112205	9.83948635473e+12	3.56435156783	0.232671413085	0.782178693888	0.142361112205	0.00929217723411	3.50264429668	0.147658479728	1.27682960133	0.203344667686	0.0101481443181	80	221	149	0.432432432432	0.440860019925	726986.635483	49590.1742747	161262.984888	0.145018593789	8.79699267072e+13	7.13249451056	0.486531152745	1.58215749551	0.145018593789	0.0830767095725	7.01510126762	0.328117695433	2.56058009692	0.205891382187	0.100624119076	-129147.907798	-6044.81686579	33581.9470723	-0.10661082582	-3.19073448834e+11	-1.26707520944	-0.0593059363243	0.329473805235	-0.10661082582	-0.00030132538736	4.83400864519	0.26911302276	1.46066572209	0.17891763046	0.0319641883678	8.0519834	0
5	299	184	269	0.757525083612	0.744070117391	370672.885258	42443.0001863	63534.3286017	0.142952631556	1.9617254312e+13	3.63668627493	0.416409946297	0.623337799989	0.142952631556	0.0185260690794	3.50820071651	0.244856223497	0.769993091722	0.144639574133	0.0101323811539	78	229	160	0.401028277635	0.40748992004	743559.896785	84954.4512894	127579.76417	0.142916674486	1.57986475269e+14	7.29509542987	0.833491467235	1.25169009056	0.142916674486	0.149198675202	7.03011930088	0.52618786234	1.53177777279	0.146367760421	0.0924081941735	-138843.509929	2712.23032277	38232.6979248	-0.147449917784	-77445723466.2	-1.36219914378	0.0266097985084	0.375102505002	-0.147449917784	-7.31379019725e-05	4.86594007591	0.482331558354	0.91691738174	0.143779919015	0.0401962011927	8.44632316667	0
6	290	187	265	0.779310344828	0.767619046917	335123.634542	30565.2733488	44706.6260987	0.112304671603	5.57179722363e+12	3.28791117617	0.299877100532	0.438618469269	0.112304671603	0.00526187297263	3.1795644207	0.259857721781	0.492416164307	0.118298261421	0.00514953751447	82	231	154	0.425974025974	0.434757919715	671779.799203	64042.7822233	90923.1880574	0.115339855757	5.04734221701e+13	6.59085806569	0.628326258495	0.892050978724	0.115339855757	0.0476659011973	6.36795838991	0.51414182703	0.968029417117	0.116377271442	0.0388993877924	-105899.376502	20944.4663784	11226.0911708	-0.15189210084	-5.22038251728e+11	-1.03898295334	0.205486984463	0.110139622577	-0.15189210084	-0.000493000526975	4.45426809144	0.33945163162	0.650176209957	0.111087592985	0.0109355743465	8.64112728571	0
7	284	197	250	0.786971830986	0.781420458492	372277.390682	21050.055483	74109.4565349	0.127807267376	6.53712945568e+12	3.65242814083	0.206522923327	0.727090796606	0.127807267376	0.00617350980676	3.57052407495	0.19006866147	1.03621316348	0.171722945878	0.0108639379604	85	223	160	0.443864229765	0.449993771756	744847.740015	44923.7932755	149830.047659	0.130733994662	6.08251475517e+13	7.30773051052	0.440749104993	1.46998849811	0.130733994662	0.0574418248031	7.15999165213	0.390518495313	2.08533608924	0.172895074802	0.0926238474968	-105004.989436	1952.68079584	1292.16758637	-0.0154509247591	-60630375.7887	-1.03020808661	0.0191578281875	0.0126775070774	-0.0154509247591	-5.72578869758e-08	5.0027537209	0.280019269965	1.26579541297	0.154496380311	0.0251127197138	8.748206125	0
8	294	200	264	0.789115646259	0.781573149189	315942.532986	18724.9558699	88353.6890613	0.169459053074	8.66329064815e+12	3.09972463342	0.183711279457	0.866841522883	0.169459053074	0.00818140594245	3.19486246506	0.205802077075	0.856581120349	0.166264308565	0.00972712140054	77	229	158	0.397932816537	0.404803669355	632535.922977	42423.3571388	176765.380677	0.173261889052	8.89035896769e+13	6.20583485055	0.416217227585	1.73425211111	0.173261889052	0.0839584387074	6.39671323438	0.420783231282	1.70596345106	0.166237456989	0.0805562817158	-56907.4926361	6016.34016536	-77529.5289826	0.628328410764	-3.82322279523e+12	-0.558321651356	0.059026550295	-0.760645262078	0.628328410764	-0.00361056080958	4.41630115677	0.269481345344	0.952136663935	0.138307824344	0.0149072422909	8.89907311111	0
9	292	197	267	0.794520547945	0.785427118869	356913.13202	32788.4226849	68046.36472	0.141259564805	1.39472433963e+13	3.50168879403	0.321688506219	0.667605564036	0.141259564805	0.0131714454284	3.23100278816	0.224013114593	0.373120165931	0.0924068036574	0.00216225544629	83	230	151	0.435695538058	0.445374861927	715719.462737	66579.0399687	132284.115753	0.138925351395	1.08379620814e+14	7.02195183502	0.653209583116	1.2978446692	0.138925351395	0.102351139975	6.47331710733	0.454824704837	0.750032979295	0.0930633911606	0.0179771950434	-131289.49752	-12935.3292278	53560.53866	-0.15471614333	-3.6560730079e+12	-1.28808643055	-0.126909024467	0.525484554088	-0.15471614333	-0.00345270852009	4.5871599901	0.370890105088	0.555681411216	0.100996206618	0.00925973044198	9.0681511	0
