states	AB_aSPR	AA_aSPR	BB_aSPR	NormSPR_1	NormSPR_2	AB_sumTMRCA	AA_sumTMRCA	BB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AB_meanTMRCA	AA_meanTMRCA	BB_meanTMRCA	Norm_meanTMRCA_1	Norm_meanTMRCA_2	AB_stdevTMRCA	AA_stdevTMRCA	BB_stdevTMRCA	Norm_stdevTMRCA_1	Norm_stdevTMRCA_2	sharedClades_AB	sharedClades_AA	sharedClades_BB	Norm_sharedClades_1	Norm_sharedClades_2	AB_sumTT	AA_sumTT	BB_sumTT	Norm_sumTT_1	Norm_sumTT_2	AB_meanTT	AA_meanTT	BB_meanTT	Norm_meanTT_1	Norm_meanTT_2	AB_stdevTT	AA_stdevTT	BB_stdevTT	Norm_stdevTT_1	Norm_stdevTT_2	AltAB_sumTMRCA	AltAA_sumTMRCA	AltBB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AltAB_meanTMRCA	AltAA_meanTMRCA	AltBB_meanTMRCA	AltNorm_meanTMRCA_1	AltNorm_meanTMRCA_2	AltAB_stdevTMRCA	AltAA_stdevTMRCA	AltBB_stdevTMRCA	AltNorm_stdevTMRCA_1	AltNorm_stdevTMRCA_2	timeTaken	exact indicator
0	317	204	264	0.738170347003	0.732078723248	438742.231563	44202.4664523	49473.2059619	0.106754793219	1.08999291597e+13	4.3045173122	0.433672139123	0.485383572022	0.106754793219	0.0102936342346	4.53518573611	0.29444888966	0.532878563235	0.0912120805006	0.00542851776326	74	217	148	0.405479452055	0.412924826624	875949.309838	88124.1154898	99585.5627085	0.107146427362	8.79231685208e+13	8.59397317503	0.864589167531	0.977037877563	0.107146427362	0.0830325522518	9.06925240417	0.613092024986	1.072956961	0.0929541328683	0.0477138486228	-35275.173581	-39120.1181362	25915.7974842	0.187161667989	-2.91380383677e+13	-0.346086117193	-0.383809019644	0.254260909721	0.187161667989	-0.0275172714313	6.24315652147	0.357018640008	0.674468802045	0.0826094491229	0.00928755270323	0.204899	0
1	312	216	258	0.759615384615	0.756627522035	441934.474542	35374.0866522	57497.2341383	0.105073632111	9.3606605558e+12	4.33583653378	0.347056557229	0.564107628459	0.105073632111	0.0088399855213	4.35307192744	0.384479262538	0.548603676759	0.107175226467	0.0102203889922	74	204	153	0.414565826331	0.41886196	884949.468325	73914.7267435	115878.191976	0.107233760521	8.28985433589e+13	8.68227408438	0.725180294954	1.13688550494	0.107233760521	0.0782874155794	8.69742838823	0.756539143382	1.11153510767	0.107392332978	0.081305198395	-48048.8477078	-25314.6531874	6753.04621932	0.193153507874	-6.08219627714e+11	-0.471409137097	-0.248363059351	0.0662544024029	0.193153507874	-0.000574388171723	6.12588663612	0.454519909341	0.784087855282	0.101096203554	0.0207331992522	5.1411695	0
2	304	201	267	0.769736842105	0.762044048774	449493.199512	32355.9704731	60146.4692803	0.102896372908	8.42570039434e+12	4.40999548213	0.317445700539	0.590099378768	0.102896372908	0.00795703134932	4.59075824577	0.287530130216	0.560004051389	0.0923087359682	0.00564760919975	84	219	143	0.46408839779	0.474667186182	899297.233986	68210.4046661	119975.062016	0.104629181304	7.44697611025e+13	8.82304057832	0.669214966408	1.17708005824	0.104629181304	0.0703274737927	9.17423600542	0.575727293201	1.12206807228	0.0925306131473	0.0454885547222	13583.6743391	16751.4380874	-10278.9082925	0.238246649372	2.18263399276e+12	0.133269963887	0.164349018772	-0.100846774057	0.238246649372	0.00206122770709	6.36438218056	0.395518329033	0.807249492138	0.0944921114923	0.0160174190723	6.80683566667	0
3	327	222	273	0.756880733945	0.75285277941	423444.431064	40063.88136	58610.2290216	0.116513647533	1.30213632235e+13	4.15442998905	0.393068317799	0.57502726509	0.116513647533	0.0122970661822	4.56771405734	0.229919602919	0.572885215072	0.0878781823811	0.00379829175676	82	203	137	0.482352941176	0.491706047649	847560.231841	81420.0910574	118091.167082	0.117697392258	1.09075553583e+14	8.31544681279	0.79881571981	1.15859709085	0.117697392258	0.103008362354	9.13270590897	0.490229639995	1.14763498828	0.0896702819845	0.0346582970217	-13682.4996975	-17280.0446581	-13161.0530088	1.11240995212	-3.78011968459e+12	-0.13423954337	-0.169535198655	-0.129123609372	1.11240995212	-0.00356985525555	6.17294743122	0.422638785112	0.80136191496	0.0991423233156	0.018582473288	7.59213825	0
4	320	217	265	0.753125	0.749381255187	485768.276589	70957.0758608	58524.0099933	0.133274538596	3.55001691146e+13	4.76589169191	0.696162665667	0.574181366809	0.133274538596	0.0335255166135	4.86609461907	0.467317293867	0.514837141061	0.100918139886	0.011895505355	70	206	139	0.405797101449	0.413672860765	971073.635852	141282.505958	116393.456021	0.132675809777	2.78472134003e+14	9.5272416837	1.38612822987	1.14194078078	0.132675809777	0.26298246988	9.72983178375	0.942030887238	1.03130963312	0.101406713097	0.0970070062779	-47487.5363664	-47468.2647218	-21145.5007937	0.722439725932	-2.12159763405e+13	-0.465902089422	-0.465713014558	-0.207459341029	0.722439725932	-0.0200358641948	6.79525832502	0.697236902557	0.742766548537	0.105956490704	0.0394693006666	8.0797308	0
5	306	231	266	0.812091503268	0.810075284101	487814.70318	111428.85879	46940.3973873	0.162325218106	5.60833571981e+13	4.78596926378	1.09323292183	0.46053408735	0.162325218106	0.0529637906066	4.47328326037	0.798153580274	0.560324184814	0.151843476706	0.044712120639	79	195	146	0.463343108504	0.46820210047	974458.60022	222066.550257	95228.2468676	0.162805683614	4.58917350232e+14	9.56045170241	2.17870366988	0.934288080251	0.162805683614	0.433390646669	8.96061466998	1.58358689568	1.12352273406	0.151056022909	0.353272413914	-104039.113943	-103941.362091	-23869.3186165	0.614243412231	-5.91643647481e+13	-1.02073184411	-1.01977279684	-0.234182824956	0.614243412231	-0.0558734209656	6.47100235078	0.890095950951	0.686449737559	0.121816188826	0.057692529383	8.42910433333	0
6	308	219	267	0.788961038961	0.785103605119	445211.391139	50267.8164219	68072.5507258	0.132903570644	2.63001255414e+13	4.36798649156	0.493179526538	0.66786247597	0.132903570644	0.0248372139561	4.68673627676	0.494596135426	0.456065124041	0.10142039186	0.0108563702346	81	199	144	0.472303206997	0.478494813381	891793.114914	99731.6388785	136124.35424	0.132236944407	2.06668107041e+14	8.74941737058	0.97847103662	1.33552140024	0.132236944407	0.1951724521	9.36243325594	0.977527422046	0.930472917438	0.101896605686	0.0883642585705	-22338.5780053	-39795.2191445	-1158.54220222	0.916659989213	-95154645176.6	-0.219164668537	-0.390432462222	-0.0113665031712	0.916659989213	-8.98617870642e-05	6.4028719936	0.57914926834	0.808644845888	0.108372782996	0.0342548326517	8.63733114286	0
7	310	208	254	0.745161290323	0.741458472184	441366.101411	34322.0394619	70762.3385347	0.119044459532	1.33644641952e+13	4.33026020261	0.336734880815	0.694252090092	0.119044459532	0.0126210825915	4.33504509879	0.252551508931	0.400770287404	0.0753535178351	0.00236318296523	72	213	144	0.403361344538	0.411113225897	882937.352892	70434.1044623	141737.490602	0.120150990537	1.12877032412e+14	8.66253314064	0.691031772681	1.39059210213	0.120150990537	0.106598388678	8.65965635011	0.532650855326	0.827907071746	0.078557270177	0.0224567954984	-17165.2394409	19806.7640516	4821.52100321	-0.717388334126	-5.31306728878e+11	-0.168408840148	0.19432494213	0.0473041324413	-0.717388334126	-0.000501753456677	6.12498227699	0.373377103592	0.800228159288	0.0958047884717	0.0145753230031	8.804018625	0
8	304	215	262	0.784539473684	0.780721774334	456278.097633	31546.2700557	40966.6142677	0.0794612810691	3.66038322893e+12	4.4765623848	0.309501697856	0.401925065907	0.0794612810691	0.00345677899046	4.40947118244	0.315683055322	0.5485665269	0.0979992323869	0.00680102922876	73	203	135	0.431952662722	0.440968895578	911994.13599	69304.0848467	86656.0627218	0.0855050166519	3.95479089518e+13	8.9476103839	0.67994510573	0.85018604401	0.0855050166519	0.0373481059855	8.81714331697	0.635246064443	1.08206705494	0.0973848931364	0.0535876133689	-21923.5284312	-9400.61254429	-3541.49046269	0.295164691386	-50556151606.5	-0.21509260082	-0.0922297798824	-0.0347457023987	0.295164691386	-4.77440289123e-05	6.27987118234	0.432366465046	0.679162520465	0.0884993460245	0.0137309533519	8.94349344444	0
9	299	207	265	0.789297658863	0.783315862647	465725.295952	41540.9881709	57156.411388	0.105960960696	1.21046915151e+13	4.56924921955	0.407560270892	0.560763803033	0.105960960696	0.0114313831909	4.82929249715	0.242729458398	0.529988501834	0.0800032262168	0.00342684419104	76	209	152	0.421052631579	0.426401432711	932794.976797	81700.9579522	114423.060181	0.105127076695	9.3690426469e+13	9.15168825223	0.801571315977	1.12260914958	0.105127076695	0.0884790136907	9.65153341016	0.4979479443	1.04980694313	0.0801818126536	0.0283132973953	-49626.0162004	-16229.3406639	9662.91545774	0.0661591006991	-4.95574212633e+11	-0.48688279929	-0.15922670039	0.0948032440961	0.0661591006991	-0.000468008516952	6.630463754	0.44684429309	0.765738989328	0.0914403069986	0.0176575338526	9.0889658	0
