states	AB_aSPR	AA_aSPR	BB_aSPR	NormSPR_1	NormSPR_2	AB_sumTMRCA	AA_sumTMRCA	BB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AB_meanTMRCA	AA_meanTMRCA	BB_meanTMRCA	Norm_meanTMRCA_1	Norm_meanTMRCA_2	AB_stdevTMRCA	AA_stdevTMRCA	BB_stdevTMRCA	Norm_stdevTMRCA_1	Norm_stdevTMRCA_2	sharedClades_AB	sharedClades_AA	sharedClades_BB	Norm_sharedClades_1	Norm_sharedClades_2	AB_sumTT	AA_sumTT	BB_sumTT	Norm_sumTT_1	Norm_sumTT_2	AB_meanTT	AA_meanTT	BB_meanTT	Norm_meanTT_1	Norm_meanTT_2	AB_stdevTT	AA_stdevTT	BB_stdevTT	Norm_stdevTT_1	Norm_stdevTT_2	AltAB_sumTMRCA	AltAA_sumTMRCA	AltBB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AltAB_meanTMRCA	AltAA_meanTMRCA	AltBB_meanTMRCA	AltNorm_meanTMRCA_1	AltNorm_meanTMRCA_2	AltAB_stdevTMRCA	AltAA_stdevTMRCA	AltBB_stdevTMRCA	AltNorm_stdevTMRCA_1	AltNorm_stdevTMRCA_2	timeTaken	exact indicator
0	272	204	199	0.740808823529	0.740751804111	500779.686622	44202.4664523	26877.7759752	0.070969574372	2.81859684822e+12	4.91316922691	0.433672139123	0.26369891858	0.070969574372	0.00266181592422	4.28184941792	0.29444888966	0.15002973872	0.0519026459126	0.000455767294833	101	217	221	0.461187214612	0.461206447575	999379.666636	88124.1154898	54810.9937074	0.0715119158259	2.33450272086e+13	9.80495326645	0.864589167531	0.537752817803	0.0715119158259	0.0220464892716	8.57282699338	0.613092024986	0.318578512452	0.0543385827194	0.00445000229119	1328.51516959	-39120.1181362	6137.64844029	-12.4132830587	4.33948123792e+13	0.0130341146478	-0.383809019644	0.0602167105576	-12.4132830587	0.0409810302216	6.51715401091	0.357018640008	0.297354989751	0.0502039409122	0.00172931560111	0.175236	0
1	273	216	184	0.732600732601	0.73025264729	507524.164769	35374.0866522	24887.4882814	0.0593681829524	1.52712955613e+12	4.97933956762	0.347056557229	0.244172127636	0.0593681829524	0.0014421848848	4.46113098466	0.384479262538	0.192056387138	0.0646176554395	0.00122224529966	97	204	232	0.44495412844	0.445874523383	1015682.27811	73914.7267435	50614.8861276	0.0613034290129	1.37803613168e+13	9.96489882961	0.725180294954	0.496584641089	0.0613034290129	0.0130138459559	8.92277987293	0.756539143382	0.404630837215	0.0650677253688	0.0105022072155	-6750.71307206	-25314.6531874	9473.65550544	1.1732832897	-8.5198017839e+12	-0.0662315118033	-0.248363059351	0.0929464072508	1.1732832897	-0.00804589846678	6.68514215098	0.454519909341	0.296423091432	0.0561650735177	0.00271530888615	5.532601	0
2	279	201	195	0.709677419355	0.70959595492	509005.396762	32355.9704731	41182.962806	0.072237871884	3.48836282108e+12	4.99387199303	0.317445700539	0.404047669937	0.072237871884	0.00329432700262	4.47057210444	0.287530130216	0.307266561612	0.0665235542492	0.00174595971687	104	219	218	0.475972540046	0.475973786254	1016565.21482	68210.4046661	85372.0926881	0.075539913778	3.33578354275e+13	9.97356135646	0.669214966408	0.837588963445	0.075539913778	0.031502347558	8.94269047733	0.575727293201	0.62390530424	0.067073360108	0.0144278890212	31068.2229762	16751.4380874	20480.9599987	0.599203857179	3.78868412623e+12	0.304811559133	0.164349018772	0.200939505118	0.599203857179	0.00357794331084	6.69565996278	0.395518329033	0.466144371144	0.0643448670458	0.00507669096449	7.178987	0
3	275	222	213	0.790909090909	0.790739793793	500351.652003	40063.88136	32067.9325663	0.0720811189866	3.2989264089e+12	4.9089697624	0.393068317799	0.314619749292	0.0720811189866	0.00311542775391	4.46877997038	0.229919602919	0.349188836665	0.0647949153261	0.00144239341821	103	203	211	0.497584541063	0.497677467187	999727.211478	81420.0910574	69097.6754717	0.0752794186259	3.16598263926e+13	9.80836304258	0.79881571981	0.677920015224	0.0752794186259	0.0298987881517	8.92695277757	0.490229639995	0.722256154073	0.0679115160727	0.0140435982233	26104.5555677	-17280.0446581	16417.0551006	-0.0165294818993	3.0829318817e+12	0.256112822711	-0.169535198655	0.161068374121	-0.0165294818993	0.00291144765211	6.63342933737	0.422638785112	0.441560198788	0.0651396841624	0.00525025541804	8.033257	0
4	285	217	199	0.729824561404	0.729141042948	534290.105397	70957.0758608	23715.2664501	0.0885963836449	5.2999320957e+12	5.2419412652	0.696162665667	0.232671413085	0.0885963836449	0.00500513000237	4.69026432895	0.467317293867	0.147658479728	0.0655587543114	0.00101518027937	96	206	221	0.449648711944	0.449926409657	1066928.56882	141282.505958	49590.1742747	0.0894496060045	4.60079310531e+13	10.467678206	1.38612822987	0.486531152745	0.0894496060045	0.043448797438	9.37473445849	0.942030887238	0.328117695433	0.0677431765291	0.0101913241542	-50268.0023211	-47468.2647218	-6044.81686579	0.532277782253	-1.63787736398e+12	-0.493181350402	-0.465713014558	-0.0593059363243	0.532277782253	-0.00154677248437	7.01664448714	0.697236902557	0.26911302276	0.0688612574778	0.00501765371513	8.4772384	0
5	275	231	184	0.754545454545	0.749690845373	547782.709766	111428.85879	42443.0001863	0.140449722338	4.08318630646e+13	5.37431773802	1.09323292183	0.416409946297	0.140449722338	0.0385606417567	4.5563378175	0.798153580274	0.244856223497	0.114457031672	0.00838261094058	89	195	229	0.419811320755	0.421167605657	1094961.85421	222066.550257	84954.4512894	0.140197122103	3.25042074135e+14	10.7427138729	2.17870366988	0.833491467235	0.140197122103	0.306962015345	9.12785230688	1.58358689568	0.52618786234	0.115567971911	0.0760670976521	-60754.7205563	-103941.362091	2712.23032277	0.833096842855	-1.30812701271e+12	-0.59606695599	-1.01977279684	0.0266097985084	0.833096842855	-0.00123536408392	7.02055622016	0.890095950951	0.482331558354	0.097743502528	0.02625387939	8.76321266667	0
6	281	219	187	0.722419928826	0.720172511765	510603.119914	50267.8164219	30565.2733488	0.0791545200355	4.62331138678e+12	5.0095473178	0.493179526538	0.299877100532	0.0791545200355	0.00436614547402	4.56002426447	0.494596135426	0.259857721781	0.0827247634498	0.00362247616711	97	199	231	0.451162790698	0.45241730265	1019658.10203	99731.6388785	64042.7822233	0.0803084979054	4.00084493049e+13	10.0039057947	0.97847103662	0.628326258495	0.0803084979054	0.0377830293574	9.12838133899	0.977527422046	0.51414182703	0.0817050248934	0.0276713276685	-17378.5077319	-39795.2191445	20944.4663784	0.542358212136	-3.99749491165e+13	-0.170501223749	-0.390432462222	0.205486984463	0.542358212136	-0.0377513925751	6.77202443546	0.57914926834	0.33945163162	0.0678232121512	0.0057071371397	8.94364642857	0
7	268	208	197	0.755597014925	0.755318264411	502351.903933	34322.0394619	21050.055483	0.0551128546656	1.03906953035e+12	4.92859431286	0.336734880815	0.206522923327	0.0551128546656	0.000981272587456	4.52926415864	0.252551508931	0.19006866147	0.0488622605018	0.000508736991328	100	213	223	0.45871559633	0.458836297622	1004076.10643	70434.1044623	44923.7932755	0.0574447977592	9.97130962378e+12	9.85103022225	0.691031772681	0.440749104993	0.0574447977592	0.00941666799871	9.05180698102	0.532650855326	0.390518495313	0.0509936498079	0.0047800582336	7126.89773334	19806.7640516	1952.68079584	1.52657198557	2.09888691165e+11	0.0699222743298	0.19432494213	0.0191578281875	1.52657198557	0.000198213895261	6.69330909155	0.373377103592	0.280019269965	0.0488096668344	0.00163316597011	9.081733375	0
8	276	215	200	0.751811594203	0.751320338889	526705.214772	31546.2700557	18724.9558699	0.0477223544743	6.62475804362e+11	5.16752560458	0.309501697856	0.183711279457	0.0477223544743	0.000625626416412	4.39007116818	0.315683055322	0.205802077075	0.0593936991474	0.000961458379709	101	203	229	0.467592592593	0.468441770403	1051351.3261	69304.0848467	42423.3571388	0.0531351600609	8.22204530546e+12	10.3148492642	0.67994510573	0.416217227585	0.0531351600609	0.00776470432001	8.79070800448	0.635246064443	0.420783231282	0.0600650877715	0.00812787396002	-2097.2431603	-9400.61254429	6016.34016536	0.806838339727	-1.52520523207e+12	-0.0205761352383	-0.0922297798824	0.059026550295	0.806838339727	-0.00144036759886	6.78053260137	0.432366465046	0.269481345344	0.0517546225091	0.00200215460068	9.21218455556	0
9	272	207	197	0.742647058824	0.742419519598	527505.474772	41540.9881709	32788.4226849	0.0704536866541	3.51696239995e+12	5.17537698695	0.407560270892	0.321688506219	0.0704536866541	0.0033213357657	4.70643032256	0.242729458398	0.224013114593	0.0495856244546	0.000628203322433	100	209	230	0.455580865604	0.456103010639	1055511.65464	81700.9579522	66579.0399687	0.0702408150913	2.80327898673e+13	10.3556664113	0.801571315977	0.653209583116	0.0702408150913	0.0264735009962	9.40601885622	0.4979479443	0.454824704837	0.0506469667827	0.0054531837922	-8698.90271296	-16229.3406639	-12935.3292278	1.67634188208	-5.06631574636e+12	-0.0853452770928	-0.15922670039	-0.126909024467	1.67634188208	-0.00478450827024	6.99483591815	0.44684429309	0.370890105088	0.0584527219614	0.00392667894684	9.3348509	0
