states	AB_aSPR	AA_aSPR	BB_aSPR	NormSPR_1	NormSPR_2	AB_sumTMRCA	AA_sumTMRCA	BB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AB_meanTMRCA	AA_meanTMRCA	BB_meanTMRCA	Norm_meanTMRCA_1	Norm_meanTMRCA_2	AB_stdevTMRCA	AA_stdevTMRCA	BB_stdevTMRCA	Norm_stdevTMRCA_1	Norm_stdevTMRCA_2	sharedClades_AB	sharedClades_AA	sharedClades_BB	Norm_sharedClades_1	Norm_sharedClades_2	AB_sumTT	AA_sumTT	BB_sumTT	Norm_sumTT_1	Norm_sumTT_2	AB_meanTT	AA_meanTT	BB_meanTT	Norm_meanTT_1	Norm_meanTT_2	AB_stdevTT	AA_stdevTT	BB_stdevTT	Norm_stdevTT_1	Norm_stdevTT_2	AltAB_sumTMRCA	AltAA_sumTMRCA	AltBB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AltAB_meanTMRCA	AltAA_meanTMRCA	AltBB_meanTMRCA	AltNorm_meanTMRCA_1	AltNorm_meanTMRCA_2	AltAB_stdevTMRCA	AltAA_stdevTMRCA	AltBB_stdevTMRCA	AltNorm_stdevTMRCA_1	AltNorm_stdevTMRCA_2	timeTaken	exact indicator
0	294	206	249	0.77380952381	0.770346215467	525845.290723	45107.2137754	99257.1557942	0.137268862265	3.81204192058e+13	5.15908885586	0.442548650741	0.973815864394	0.137268862265	0.0360000185709	4.2224932626	0.407583579319	1.16616545904	0.186353054994	0.0535038138044	73	207	167	0.390374331551	0.392626358261	1052268.16515	89660.6651249	198781.896957	0.137057535158	3.01877776342e+14	10.3238444082	0.879664316513	1.95025701938	0.137057535158	0.285086202641	8.45899355495	0.820019510254	2.3558378999	0.187720760722	0.441184743044	-51385.6563734	10043.9548777	-80491.1329636	0.685475121442	-1.27193136957e+13	-0.504146698324	0.0985416368517	-0.789701675368	0.685475121442	-0.0120118177815	6.64766750687	0.593517673039	1.2979331568	0.142264247413	0.0892694122323	0.062977	0
1	303	204	252	0.752475247525	0.748294797136	493643.509521	53317.3252484	73873.9217615	0.128829048247	3.14271926205e+13	4.84315591234	0.523098377729	0.724779955669	0.128829048247	0.0296790943421	3.90381159092	0.29720163164	1.45600031536	0.224550020687	0.0479663274188	80	208	161	0.433604336043	0.437164996988	985178.862536	106173.833698	148252.294396	0.129126871155	2.51491180524e+14	9.66562861818	1.04167566369	1.45450909872	0.129126871155	0.237502298189	7.79401644814	0.617422491272	2.90577505206	0.226019380814	0.412978607037	-81557.9492901	32056.0680109	-46085.7255699	0.086010362455	-2.67600587873e+13	-0.800168252361	0.314503345671	-0.452148868492	0.086010362455	-0.0252715639905	6.16892493848	0.512882411663	1.56230736514	0.168197035748	0.104078035547	5.150383	0
2	305	213	266	0.785245901639	0.78042429491	485633.8341	22409.093862	57463.5035925	0.0822354126155	3.41447437996e+12	4.76457267135	0.219856502384	0.563776696746	0.0822354126155	0.00322454851362	3.998860435	0.24408164846	1.04626683065	0.161339524107	0.0163086841962	72	208	153	0.398891966759	0.403603676398	970476.624051	47999.1470884	118088.32894	0.0855700549152	3.31051771087e+13	9.52138437741	0.470921522364	1.15856924572	0.0855700549152	0.0312637430421	7.98614514851	0.484687603241	2.08892607334	0.161129908656	0.128360903721	-75282.1207878	-6988.91346839	-36100.8851482	0.28618879334	-8.45596511008e+11	-0.738595851773	-0.0685685052724	-0.354187205897	0.28618879334	-0.000798561262809	6.17628639936	0.321264832872	1.1344910171	0.117850416565	0.0215080517704	6.84843333333	0
3	309	218	251	0.758899676375	0.757018735685	493495.615092	46790.1645323	44967.739731	0.0929672943965	8.97073368276e+12	4.84170491427	0.459060146894	0.441180265399	0.0929672943965	0.00847174784283	4.21098634913	0.327084042216	0.435028607583	0.0904909903062	0.00480806702759	80	207	154	0.443213296399	0.448068541807	984834.843002	94646.6404222	91656.6511045	0.0945860581856	7.6414358366e+13	9.66225342898	0.92858191651	0.899247013564	0.0945860581856	0.0721639052659	8.42949584635	0.662721423827	0.881597868414	0.0916021147877	0.0404950073793	-63581.2325916	-4.52740065996	-23529.573409	0.18507112752	-178483.068464	-0.623797976882	-4.44185061707e-05	-0.230849571346	0.18507112752	-1.68555171038e-10	6.38634391444	0.563666734131	0.574976861623	0.0891467489857	0.0164472480969	7.739915	0
4	312	203	239	0.708333333333	0.705979963416	486959.370315	117302.444212	55497.3044002	0.177427275401	8.70292366602e+13	4.77757755936	1.15085889971	0.544486239038	0.177427275401	0.0821883442327	3.93700272793	0.845687152832	0.439943819014	0.163275346843	0.0351599453543	76	205	162	0.41416893733	0.417041385252	971496.034042	233329.786594	109705.833604	0.176550190725	6.74464008343e+14	9.53138584897	2.28920772516	1.07632825387	0.176550190725	0.636947791542	7.85494606689	1.69101707777	0.884145223142	0.163919795183	0.284577126297	-69791.7722909	104935.329789	-4688.80803886	-0.718182949505	-3.46867925129e+12	-0.684729826451	1.02952465307	-0.0460020803216	-0.718182949505	-0.00327573830678	6.15275408904	0.989819153294	0.698498129558	0.137200126839	0.0776913456764	8.1629894	0
5	304	198	248	0.733552631579	0.728928367603	507813.70292	91515.2805878	57081.8955476	0.146310719148	5.37377636017e+13	4.98218023782	0.897860021857	0.560032725189	0.146310719148	0.05074866772	3.97834405362	0.51931733295	0.598960763792	0.14054567449	0.0243198025721	75	224	165	0.385604113111	0.390117364958	1013872.47142	181703.63746	114994.261001	0.146319141128	4.30622030802e+14	9.94714274489	1.78270154288	1.12821322333	0.146319141128	0.406669218988	7.96527928533	1.0481347227	1.1922611986	0.140635114039	0.19605414553	-127915.395234	80600.7106164	8917.87536544	-0.349913260316	-4.03903597505e+12	-1.25498298014	0.790776746035	0.0874936264098	-0.349913260316	-0.00381436965123	6.25094865206	0.671204327371	0.815313139341	0.118903349672	0.0479084860338	8.62016216667	0
6	300	220	260	0.8	0.797217382873	474636.044333	59627.1040962	47276.0677637	0.112615943454	1.67420799725e+13	4.65667292283	0.585003866493	0.463827362632	0.112615943454	0.0158108227161	3.89990484942	0.423368715711	0.477086379562	0.11544577753	0.0104611047602	79	204	155	0.440111420613	0.444269151601	948387.585559	119010.900987	98336.6929881	0.114587958175	1.44417167895e+14	9.30466795086	1.16762063642	0.964785167554	0.114587958175	0.136384143578	7.80980979877	0.860754554229	0.949947997475	0.11592488155	0.0856086925653	-45855.3300884	53082.6745903	-24339.8795553	-0.313407350678	-3.64042945184e+13	-0.44988844935	0.520796210881	-0.238799516858	-0.313407350678	-0.0343793511726	6.05734768095	0.500241841499	0.621065235412	0.0925575958301	0.0159349962882	8.891911	0
7	310	224	259	0.779032258065	0.776984217668	510562.94024	59272.5390092	42432.3489795	0.0996007347703	1.23894470188e+13	5.00915311343	0.581525214462	0.416305446888	0.0996007347703	0.0117002995259	4.12187698962	0.407508371044	0.315989113478	0.0877631096639	0.00402274295554	78	204	159	0.429752066116	0.433092793024	1022377.08427	119276.399857	85570.6820038	0.10018176513	1.01893838861e+14	10.0305818365	1.17022545628	0.839537331042	0.10018176513	0.0962261215298	8.22963998939	0.838784100769	0.635192488757	0.0895529203846	0.0344929429508	-148529.203563	-42078.5805064	8572.53135384	0.112792798819	-8.76049152108e+11	-1.45722586546	-0.412834610466	0.0841054427117	0.112792798819	-0.00082732001384	6.32123228559	0.577756204577	0.515834876149	0.0865014154929	0.014051053599	8.997898125	0
8	297	221	251	0.794612794613	0.793006136947	466725.452974	63632.9516943	93869.5722663	0.168731449032	7.64455711879e+13	4.57906179948	0.624305395035	0.92095807023	0.168731449032	0.0721933819136	3.82067297533	0.434214805207	0.966262118833	0.183276209857	0.0460743583553	74	196	153	0.424068767908	0.427324672683	934294.700279	129625.296372	190287.012397	0.171205246414	6.51199314061e+14	9.16640209838	1.27175888754	1.86691337242	0.171205246414	0.614977166778	7.63492288308	0.871833811604	1.94551023407	0.18450376571	0.376816403668	-67466.1859957	42368.2844428	50829.7346421	-0.690701702709	-6.87434436286e+13	-0.661913407724	0.415676907196	0.498692528326	-0.690701702709	-0.0649196755655	5.92682204799	0.636798580523	1.23819708108	0.158178839049	0.104896702788	9.13900555556	0
9	294	213	260	0.804421768707	0.800440667193	476947.661133	70573.0190553	33588.7395285	0.109196214881	1.17813235415e+13	4.6793522863	0.692394669224	0.32954044629	0.109196214881	0.0111260021563	3.91856881222	0.569557607241	0.487334718032	0.13485693067	0.0196608613201	87	206	151	0.487394957983	0.493284158712	955223.241737	141917.657387	70823.8664551	0.111356965862	1.05761414645e+14	9.37173284282	1.39235972555	0.694855742942	0.111356965862	0.0998785682485	7.81745644232	1.14803111054	0.975283633017	0.135805984928	0.160362831669	-77107.996243	40638.7685997	-22241.6353903	-0.119294587499	-1.05953448467e+13	-0.75650958777	0.398708559147	-0.218213560724	-0.119294587499	-0.010005992043	6.05633656586	0.803017889464	0.546328541316	0.111399557811	0.0317795847438	9.2581656	0
