states	AB_aSPR	AA_aSPR	BB_aSPR	NormSPR_1	NormSPR_2	AB_sumTMRCA	AA_sumTMRCA	BB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AB_meanTMRCA	AA_meanTMRCA	BB_meanTMRCA	Norm_meanTMRCA_1	Norm_meanTMRCA_2	AB_stdevTMRCA	AA_stdevTMRCA	BB_stdevTMRCA	Norm_stdevTMRCA_1	Norm_stdevTMRCA_2	sharedClades_AB	sharedClades_AA	sharedClades_BB	Norm_sharedClades_1	Norm_sharedClades_2	AB_sumTT	AA_sumTT	BB_sumTT	Norm_sumTT_1	Norm_sumTT_2	AB_meanTT	AA_meanTT	BB_meanTT	Norm_meanTT_1	Norm_meanTT_2	AB_stdevTT	AA_stdevTT	BB_stdevTT	Norm_stdevTT_1	Norm_stdevTT_2	AltAB_sumTMRCA	AltAA_sumTMRCA	AltBB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AltAB_meanTMRCA	AltAA_meanTMRCA	AltBB_meanTMRCA	AltNorm_meanTMRCA_1	AltNorm_meanTMRCA_2	AltAB_stdevTMRCA	AltAA_stdevTMRCA	AltBB_stdevTMRCA	AltNorm_stdevTMRCA_1	AltNorm_stdevTMRCA_2	timeTaken	exact indicator
0	287	200	200	0.696864111498	0.696864111498	822539.713992	33880.1916723	65272.9482605	0.0602725547753	5.94567683473e+12	8.06996952683	0.33239989475	0.640395465931	0.0602725547753	0.00561495599803	6.83204031208	0.29228844323	0.343143128352	0.0465037926122	0.00147239210713	90	206	232	0.41095890411	0.41168487043	1645586.03692	69852.8557809	130783.000984	0.0609618252293	5.07166238716e+13	16.1449094139	0.685329118977	1.28311717308	0.0609618252293	0.0478955751083	13.663471932	0.602946633696	0.715023136687	0.0482296804555	0.0136030680433	696587.858658	-9473.32304835	-60551.6981452	-0.0502628780585	4.72369065362e+11	6.83425091398	-0.0929431455012	-0.59407509512	-0.0502628780585	0.00044609412697	8.06809751023	0.432762978754	0.418244355226	0.0527390337623	0.00406059093735	0.094539	0
1	269	208	193	0.745353159851	0.744831511457	782653.435277	61566.2265227	98546.6539767	0.102288492762	4.70326383771e+13	7.67864367558	0.604028672986	0.966845103081	0.102288492762	0.0444165066988	6.7260333274	0.39648461397	0.59492439195	0.0736993825084	0.00827212737839	93	215	226	0.421768707483	0.421899974393	1565688.14321	124183.26843	196646.842993	0.102456582051	3.80885874236e+14	15.3610280322	1.21836693709	1.92930992085	0.102456582051	0.359699573918	13.4536310399	0.808195219306	1.19271552509	0.0743632235215	0.0690663946292	643844.813219	-46765.4516755	-63530.8639423	-0.0856544258441	1.37100357618e+13	6.31678681807	-0.458817688083	-0.62330380808	-0.0856544258441	0.012947432172	8.01868426319	0.558155010733	0.948797580268	0.0939650784056	0.0349746743332	5.127265	0
2	264	219	179	0.753787878788	0.7499713034	759745.263181	53308.7482178	25469.9594755	0.0518454747341	2.42652894508e+12	7.45389069699	0.523014228144	0.249886775459	0.0518454747341	0.00229155630776	6.47016597853	0.284402290789	0.313961660982	0.0462402319938	0.00123226466321	106	207	231	0.48401826484	0.484746522938	1521155.57917	108754.616547	54733.0229484	0.0537379745156	2.32927432058e+13	14.9241172926	1.06699582586	0.536987843616	0.0537379745156	0.021997113501	12.9535267791	0.590181006073	0.622102938505	0.0467935862277	0.0104065538288	630242.097733	13276.2279521	-5482.62875249	0.00618302016608	8406586206.39	6.18333004074	0.130253595276	-0.0537902866049	0.00618302016608	7.93898036416e-06	7.69350140831	0.580915266424	0.397645483041	0.0635965796021	0.00693575349204	6.66209466667	0
3	286	220	201	0.736013986014	0.735264056595	779962.030646	31889.7119211	32103.4300181	0.0410232417892	1.34378751851e+12	7.65223819875	0.312871219523	0.31496801619	0.0410232417892	0.00126904101869	6.58721580353	0.23944218238	0.216652778102	0.0346197068751	0.000408533765889	101	200	226	0.474178403756	0.475064038534	1559706.39528	66183.1234697	64988.1076648	0.0420499754093	1.18609492804e+13	15.3023408677	0.649325230753	0.637600883629	0.0420499754093	0.0112011988131	13.1592158855	0.509374040231	0.471665829258	0.037275772281	0.00438644241023	643379.617525	-16349.3304462	-20043.2182047	-0.028282329483	1.66904311002e+11	6.3122227648	-0.16040392487	-0.196644803138	-0.028282329483	0.000157620467477	7.88060944726	0.359849329019	0.327832424998	0.0436312545761	0.00176597845938	7.38910525	0
4	273	208	192	0.732600732601	0.732014417395	798280.246435	60107.251475	32677.4964342	0.0581153976461	4.83276756551e+12	7.83195893525	0.589714611336	0.320600204405	0.0581153976461	0.00456395091481	6.75651898993	0.365551503015	0.269011255617	0.0469592966125	0.00143124851541	104	204	239	0.469525959368	0.470998262587	1597372.20847	118339.622584	67716.3390572	0.0582381365643	4.02013999753e+13	15.6718816442	1.16103469757	0.664367669262	0.0582381365643	0.0379652473881	13.5115537939	0.728906570149	0.565061676886	0.0478837692088	0.0125553881356	679655.425684	24228.5197705	-15357.9086658	0.00652581497144	2.03717874664e+11	6.66812614725	0.237706961624	-0.150677046738	0.00652581497144	0.000192386322709	7.90735248419	0.651833279738	0.39044586603	0.0659056964927	0.0081915034587	7.808906	0
5	274	207	191	0.726277372263	0.72569025897	740120.92683	29263.7640262	49576.5543304	0.0532617816215	2.84387410356e+12	7.26135556021	0.287107941313	0.486397526935	0.0532617816215	0.00268568716385	6.19307809283	0.205672903391	0.221276034267	0.034469849343	0.000334438571735	99	208	233	0.448979591837	0.449702774076	1479946.43386	59742.1201012	100203.985472	0.054037802286	2.42150435963e+13	14.5198127451	0.586132293048	0.983105247649	0.054037802286	0.022868112086	12.3813609319	0.42132566501	0.472597059309	0.0360995341804	0.00320220753985	601501.173734	-11165.5477223	31841.0340999	0.0171865719308	2.10134766999e+11	5.90135170353	-0.109545628419	0.312393639503	0.0171865719308	0.000198446283435	7.50036991801	0.335755965619	0.433538754379	0.0512837852271	0.00282501425312	8.13984933333	0
6	276	207	192	0.722826086957	0.722315118515	770860.263356	37517.8722343	27988.2846366	0.0424889957265	1.43038617884e+12	7.56294040143	0.368089322002	0.274594162791	0.0424889957265	0.00135082273686	6.53710854366	0.365352165664	0.224552655915	0.0451197052671	0.00102961312012	98	212	233	0.440449438202	0.440940697464	1542191.10476	75094.908773	56156.3546023	0.0425535016283	1.15313620995e+13	15.1304976627	0.736759107323	0.550952206526	0.0425535016283	0.0108899445069	13.0761763677	0.741820546162	0.468457029448	0.0462779615988	0.00923541607927	631286.73229	-2421.17499791	-13996.8266729	-0.0130036010826	1819218519.64	6.19357899152	-0.023754243254	-0.137323417704	-0.0130036010826	1.71802676508e-06	7.84674677194	0.518080775415	0.327059823989	0.053852929371	0.00365897729141	8.36165742857	0
7	275	202	189	0.710909090909	0.710516050383	777076.974917	33514.5681039	12341.5965315	0.0295055484306	2.20163794815e+11	7.62393280338	0.328812747522	0.121083889601	0.0295055484306	0.000207917459123	6.67551287567	0.186618899775	0.184570823738	0.0278023374702	0.000177726714472	96	214	232	0.430493273543	0.430844302227	1555075.31688	66484.3026064	31355.9284908	0.031458357687	2.79464171721e+12	15.2569051751	0.652280111123	0.307634249267	0.031458357687	0.00263919326741	13.3579751929	0.40122211539	0.372470030636	0.02895993348	0.00167190564229	647323.382652	2830.67267751	1794.90073036	0.00357284591584	39878505.9995	6.35091519977	0.0277718411152	0.0176098417515	0.00357284591584	3.76603139859e-08	7.89637256397	0.377058565115	0.22003997539	0.0378084073205	0.000871752427773	8.53050825	0
8	265	217	198	0.783018867925	0.782197796383	801314.112767	35349.864766	63112.5152542	0.0614380668276	6.21160311592e+12	7.86172431732	0.346818915351	0.619199372625	0.0614380668276	0.00586609046247	6.91562927278	0.428218770685	0.30280622716	0.0528531077224	0.002431248222	109	199	228	0.510538641686	0.511720170875	1604204.91188	74016.6529316	128464.82635	0.0631096058187	5.63595492408e+13	15.7389175665	0.726180296799	1.26037347046	0.0631096058187	0.0532246198124	13.8339033668	0.891986906163	0.631715889603	0.0550713256903	0.0229517509398	673667.115231	-24540.4245268	-51492.106867	-0.0564318263983	2.37028254625e+12	6.60937459756	-0.240767071472	-0.505191088309	-0.0564318263983	0.00223843854452	8.12088695336	0.49566711905	0.468915172028	0.0593889741735	0.00665220041555	8.65899111111	0
9	262	202	194	0.75572519084	0.755570961207	766400.395603	27412.3836065	31030.8084535	0.038128367623	9.441131835e+11	7.51918446327	0.268943975105	0.304444483777	0.038128367623	0.000891598068625	6.50223294712	0.22830322298	0.192350857911	0.0323468940833	0.00029658543263	104	208	232	0.472727272727	0.473432076474	1534581.14983	55657.2238657	63261.3928457	0.0387462783328	8.07849984104e+12	15.0558360952	0.546055215212	0.620660016538	0.0387462783328	0.00762914339248	12.9990494562	0.463916674889	0.401207338897	0.0332764336615	0.00266505457498	635026.482178	-16302.0427083	18937.7575196	0.00207527944524	1.50089157355e+11	6.23026982495	-0.159939983011	0.185799084823	0.00207527944524	0.000141740635719	7.74602518712	0.314439859437	0.308486622596	0.0402094278669	0.00121469978226	8.7738219	0
