states	AB_aSPR	AA_aSPR	BB_aSPR	NormSPR_1	NormSPR_2	AB_sumTMRCA	AA_sumTMRCA	BB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AB_meanTMRCA	AA_meanTMRCA	BB_meanTMRCA	Norm_meanTMRCA_1	Norm_meanTMRCA_2	AB_stdevTMRCA	AA_stdevTMRCA	BB_stdevTMRCA	Norm_stdevTMRCA_1	Norm_stdevTMRCA_2	sharedClades_AB	sharedClades_AA	sharedClades_BB	Norm_sharedClades_1	Norm_sharedClades_2	AB_sumTT	AA_sumTT	BB_sumTT	Norm_sumTT_1	Norm_sumTT_2	AB_meanTT	AA_meanTT	BB_meanTT	Norm_meanTT_1	Norm_meanTT_2	AB_stdevTT	AA_stdevTT	BB_stdevTT	Norm_stdevTT_1	Norm_stdevTT_2	AltAB_sumTMRCA	AltAA_sumTMRCA	AltBB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AltAB_meanTMRCA	AltAA_meanTMRCA	AltBB_meanTMRCA	AltNorm_meanTMRCA_1	AltNorm_meanTMRCA_2	AltAB_stdevTMRCA	AltAA_stdevTMRCA	AltBB_stdevTMRCA	AltNorm_stdevTMRCA_1	AltNorm_stdevTMRCA_2	timeTaken	exact indicator
0	323	216	257	0.732198142415	0.729442250752	272584.848241	41427.0522207	42725.644119	0.154360553939	1.14932694723e+13	2.67434068089	0.406442440797	0.419182977052	0.154360553939	0.0108539707344	2.39861003879	0.27215052567	0.523087261363	0.16577054506	0.00844903279408	64	198	146	0.372093023256	0.376418492395	544580.446485	84548.753809	89236.0941323	0.159558472089	1.0452820288e+14	5.34290020686	0.829511153278	0.875498833784	0.159558472089	0.0987139523453	4.80757284586	0.575110806469	1.03677186785	0.167639963657	0.0739509217516	184313.189991	-2674.52184616	-22991.7237937	-0.0696267197185	20515350947.4	1.80830396553	-0.0262398391594	-0.225572707589	-0.0696267197185	1.93742102129e-05	3.10410453495	0.488439184694	0.631230231248	0.180353045997	0.0306238816256	0.193383	0
1	320	217	253	0.734375	0.732217575673	260153.300407	38985.1255189	65390.5141008	0.200604104304	2.49803222988e+13	2.55237427552	0.382484601759	0.64154890902	0.200604104304	0.0235908231179	2.19222429313	0.300920634462	0.833889200932	0.258826124442	0.0287233870797	67	201	155	0.376404494382	0.379586645584	521544.739726	78718.7305997	131993.343867	0.202007669158	2.06999195365e+14	5.11689598067	0.772312565976	1.29499189478	0.202007669158	0.195485124051	4.380526995	0.618959548689	1.66917506223	0.261171157435	0.243669935677	160523.476288	9658.84734535	-40884.6704968	-0.0972624810824	9.71478183836e+11	1.57490214752	0.0947633316852	-0.401121112344	-0.0972624810824	0.000917440925047	2.97323813703	0.477354804936	0.972655157457	0.243843563073	0.0725054562938	5.0766915	0
2	309	233	267	0.809061488673	0.807188771141	255071.35303	51571.9859001	47944.503264	0.195075785622	2.39686553943e+13	2.50251508967	0.505974784649	0.47038540965	0.195075785622	0.0226354289196	2.32489501525	0.261909481372	0.599794425691	0.185321036307	0.0106146076361	71	194	139	0.426426426426	0.4323645551	510405.767435	106622.033958	99312.6113181	0.201736205207	2.19678298234e+14	5.00761108485	1.0460729741	0.974359940723	0.201736205207	0.207458967683	4.63625033947	0.583477717514	1.19663977106	0.19197814594	0.105149821122	133336.101913	-29692.4434518	-3908.89567423	-0.126002405365	1.01030448483e+11	1.30816574684	-0.291313732039	-0.0383503293981	-0.126002405365	9.54107561613e-05	3.15537968948	0.489635955234	0.761278555416	0.198219332339	0.0440333948992	6.787809	0
3	308	203	254	0.741883116883	0.737248946724	250671.252162	46163.1848503	66413.6783933	0.224550805632	3.74974786402e+13	2.45934552678	0.452908824543	0.651587214187	0.224550805632	0.0354117282951	2.36357734834	0.316495678252	0.571455060648	0.187840423231	0.0138398032179	76	218	146	0.417582417582	0.4259993315	499926.901834	91699.6525343	132649.875093	0.224382331501	2.95966504579e+14	4.90480252177	0.899668902285	1.30143314849	0.224382331501	0.279503737976	4.74078956442	0.658866707893	1.16710936166	0.192581430239	0.124729032644	135612.294822	-22432.8839992	8008.20108265	-0.0531835366973	2.37980347973e+11	1.33049756512	-0.220089908357	0.078568776197	-0.0531835366973	0.000224742988798	3.14080475848	0.506809974192	0.863107022008	0.218083755844	0.0609226332251	7.55899825	0
4	318	217	272	0.768867924528	0.763989164229	268127.217084	50501.2860797	54365.1520125	0.195553512308	2.81128703056e+13	2.63060668607	0.495470106545	0.533378647377	0.195553512308	0.0265491270602	2.36253916739	0.348869969844	0.483198492236	0.176096225952	0.0120281628415	63	208	144	0.357954545455	0.364022003773	535317.883483	101306.675658	109539.155834	0.196935165065	2.3003989249e+14	5.25202483648	0.993923784486	1.07469297171	0.196935165065	0.217244211218	4.73676522744	0.693999412561	0.983977700484	0.177122681036	0.0984479910672	151241.586645	-2820.55793474	-24772.7100244	-0.0912224890367	32280916957.7	1.48383716269	-0.0276726049756	-0.243046033637	-0.0912224890367	3.0485331331e-05	3.20934730574	0.605338838397	0.677423198532	0.199847806225	0.0523962843797	8.074958	0
5	311	219	266	0.779742765273	0.776072843372	250234.537044	30360.2938528	64800.1573598	0.190142520567	1.54673820251e+13	2.45506089755	0.297866038624	0.635756895785	0.190142520567	0.0146070282475	2.24862299405	0.229675540797	0.541417711334	0.171458989384	0.00687666337385	67	205	144	0.383954154728	0.389956915138	497959.351888	64016.0958339	129588.826573	0.194398319534	1.38203674505e+14	4.88549881177	0.628064437277	1.27140108091	0.194398319534	0.130516267985	4.51551835026	0.46726301419	1.07766830193	0.171069099523	0.0561546104203	118396.097539	-11841.0550761	28566.8041995	0.070634714619	9.66421828254e+11	1.16158877558	-0.116173057671	0.280270041005	0.070634714619	0.00091266582292	3.11999052827	0.357741319501	0.786618505248	0.183391554298	0.025381264296	8.45144633333	0
6	322	212	255	0.725155279503	0.722074734088	269175.124072	29786.3538883	56192.7703037	0.159708525237	1.04078411407e+13	2.64088774279	0.292235091029	0.551309482406	0.159708525237	0.00982891799607	2.32965685203	0.263598845548	0.716137408956	0.210274799409	0.0152963486141	65	217	156	0.348525469169	0.35328173985	536742.413224	61216.0877667	114149.968206	0.163361466927	9.09739008804e+13	5.26600095387	0.600593447861	1.11992983347	0.163361466927	0.0859135914399	4.66178375621	0.532313104458	1.42344497724	0.209764993827	0.123158264355	168374.868546	4598.90488681	-32185.1246546	-0.0819190536153	1.30119377461e+11	1.65193246616	0.0451200369563	-0.315769525485	-0.0819190536153	0.000122881649852	3.11009778712	0.390960205224	0.846808443907	0.198991918237	0.0352420711428	8.69014328571	0
7	312	217	264	0.770833333333	0.76714460705	267867.690221	37991.0991833	65592.1746917	0.193347831143	2.31818155158e+13	2.62806045779	0.372732170234	0.64352740902	0.193347831143	0.0218923560251	2.34208880002	0.258276478542	0.534763383425	0.169301834747	0.00814497358747	67	204	152	0.376404494382	0.38048533723	535122.824543	77680.567589	130868.305493	0.194860753006	1.93125785556e+14	5.25011110554	0.762127107794	1.28395409898	0.194860753006	0.182383405308	4.68659061486	0.536880369248	1.0879283009	0.173346554422	0.0727945020194	155130.372963	-6598.5423367	21915.7509458	0.0493688254486	1.34806828405e+11	1.5219901984	-0.064738558726	0.215016295605	0.0493688254486	0.0001273083672	3.1742129029	0.448826168031	0.80862067438	0.198072227805	0.0414963567565	8.82747425	0
8	313	210	261	0.752396166134	0.747972383967	261858.008517	23856.1776695	71925.4054556	0.182888397547	1.12434734304e+13	2.56909923392	0.234053898608	0.705662985456	0.182888397547	0.0106180692849	2.31227191239	0.242702643125	0.660429079865	0.195290985924	0.0111112388594	74	208	140	0.425287356322	0.433646688618	523624.933293	52389.9385757	145020.402024	0.188503571973	1.10238595122e+14	5.13730484168	0.513999750561	1.42280087538	0.188503571973	0.104106711162	4.63126825241	0.521875212049	1.32970214295	0.199899601371	0.103978162657	176549.418267	4794.41460281	-8944.85611224	-0.0117543335746	10417214379.5	1.7321332954	0.0470381904795	-0.0877583355792	-0.0117543335746	9.83776986013e-06	2.99108450525	0.333876038478	0.962509892474	0.216708342522	0.0345264736604	8.98965144444	0
9	321	212	252	0.722741433022	0.720050851748	261441.323518	38911.6795989	86790.8088985	0.240402869	4.36247743131e+13	2.56501112099	0.381764020946	0.851508044057	0.240402869	0.0411982008106	2.27018018926	0.274660928984	0.564858071743	0.184901402254	0.0106025936723	72	210	150	0.4	0.40567404227	523289.265467	78912.3823357	172618.981109	0.240336827108	3.54589263274e+14	5.13401159142	0.774212490784	1.69357162165	0.240336827108	0.334865679048	4.52979437312	0.576123682319	1.14983134172	0.190511409776	0.0968771273408	166883.004073	23160.4564044	26864.3664937	0.149879920894	2.31971870926e+12	1.63729572506	0.227228149878	0.263567357629	0.149879920894	0.00219068725771	3.00869786639	0.411764206194	0.98725013968	0.232494987533	0.0549253727418	9.108693	0
