states	AB_aSPR	AA_aSPR	BB_aSPR	NormSPR_1	NormSPR_2	AB_sumTMRCA	AA_sumTMRCA	BB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AB_meanTMRCA	AA_meanTMRCA	BB_meanTMRCA	Norm_meanTMRCA_1	Norm_meanTMRCA_2	AB_stdevTMRCA	AA_stdevTMRCA	BB_stdevTMRCA	Norm_stdevTMRCA_1	Norm_stdevTMRCA_2	sharedClades_AB	sharedClades_AA	sharedClades_BB	Norm_sharedClades_1	Norm_sharedClades_2	AB_sumTT	AA_sumTT	BB_sumTT	Norm_sumTT_1	Norm_sumTT_2	AB_meanTT	AA_meanTT	BB_meanTT	Norm_meanTT_1	Norm_meanTT_2	AB_stdevTT	AA_stdevTT	BB_stdevTT	Norm_stdevTT_1	Norm_stdevTT_2	AltAB_sumTMRCA	AltAA_sumTMRCA	AltBB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AltAB_meanTMRCA	AltAA_meanTMRCA	AltBB_meanTMRCA	AltNorm_meanTMRCA_1	AltNorm_meanTMRCA_2	AltAB_stdevTMRCA	AltAA_stdevTMRCA	AltBB_stdevTMRCA	AltNorm_stdevTMRCA_1	AltNorm_stdevTMRCA_2	timeTaken	exact indicator
0	298	191	256	0.75	0.74202818583	605031.364623	20098.2851386	30155.0244764	0.0415295078515	6.07098959361e+11	5.93598654537	0.197185066996	0.295852132689	0.0415295078515	0.000573329839145	4.93619346283	0.202689856364	0.348919619765	0.0558739725542	0.00101326405922	70	236	160	0.353535353535	0.360231799197	1209197.76823	44558.9151134	63946.7214136	0.0448667866324	6.71441910135e+12	11.8634869241	0.437169270975	0.627383802108	0.0448667866324	0.00634093793767	9.8592075427	0.417977643121	0.697527035827	0.0565717211103	0.00862156659777	-432613.496237	5357.48137806	-2924.07369051	-0.00281245003764	-567280562.194	-4.24438804856	0.0525624607859	-0.028688202132	-0.00281245003764	-5.35726290512e-07	6.44880704181	0.277853047914	0.456563656604	0.0569420591868	0.00249547729917	0.661567	0
1	296	189	245	0.733108108108	0.726979615153	603386.123987	48425.1030562	56672.6270092	0.0870899461286	1.24822385341e+13	5.91984502469	0.475100593138	0.556017375441	0.0870899461286	0.0117879296292	5.10073596532	0.285230766204	0.504191037664	0.0773831275757	0.00405461980052	72	237	160	0.362720403023	0.369741613508	1205609.6397	97077.5156959	115823.354787	0.0882959390305	1.04863144289e+14	11.8282836538	0.952431329552	1.13634749512	0.0882959390305	0.0990302630576	10.1827446526	0.593748442867	1.02682619546	0.0795745495751	0.036503456783	-465622.063818	9220.45347765	34131.6242775	-0.0465528602744	-2.12708538146e+11	-4.56823640501	0.0904622321846	0.334866709942	-0.0465528602744	-0.000200876891781	6.33981771443	0.546711759649	0.67173522375	0.0960947962768	0.0212733705092	4.6250135	0
2	310	192	262	0.732258064516	0.723501717103	588120.76625	58896.5999258	51840.7907617	0.0941451118904	1.58510183364e+13	5.77007599877	0.577836861309	0.508612039731	0.0941451118904	0.0149693252689	4.64170851952	0.304299381839	0.470810289563	0.0834940052937	0.00442197381729	69	225	145	0.372972972973	0.382009207327	1174402.89947	118257.472797	106059.344357	0.0955024963134	1.33948529049e+14	11.5221130965	1.16022872277	1.04055240427	0.0955024963134	0.126497809672	9.30761625546	0.636789363424	0.97940828886	0.0868212444479	0.0417907997308	-400190.428282	35572.4123611	14187.8039667	-0.0621706727737	-6.36488113447e+11	-3.92628405198	0.34900233857	0.139197103455	-0.0621706727737	-0.000601084258297	6.27881585611	0.551988151819	0.678949705139	0.0980230894779	0.0223695358812	5.93154266667	0
3	298	196	283	0.803691275168	0.790323670395	618294.519576	30444.6075708	74484.1639673	0.0848533896192	8.31674256699e+12	6.06611188093	0.298693243832	0.730767065982	0.0848533896192	0.00785413416482	5.08857348222	0.255585645047	0.56142655658	0.0802791002707	0.00404634369893	73	229	130	0.406685236769	0.423090664571	1236115.83299	61295.03133	149460.124994	0.085248951069	6.78956664747e+13	12.1275811176	0.60136796627	1.46635917228	0.085248951069	0.0641190549553	10.1648122348	0.524699943829	1.11144035858	0.0804805964248	0.0334576166129	-443357.613858	9865.63961051	5152.85192615	-0.0169372207302	-5828967685.02	-4.34979900965	0.0967921787425	0.0505548331746	-0.0169372207302	-5.50473864878e-06	6.61593092554	0.381015682091	0.920143734424	0.0983353235666	0.0185783049047	6.64476025	0
4	313	200	252	0.722044728435	0.717250617273	606125.782553	51614.7817806	66119.3391812	0.0971202053688	1.92150908487e+13	5.94672392278	0.506394656718	0.648699440586	0.0971202053688	0.0181462754557	4.95628845233	0.241951939792	0.383499873989	0.0630967930737	0.00173712909271	70	227	153	0.368421052632	0.37561194587	1211212.8156	104039.293232	131129.231263	0.0970797705686	1.53664433608e+14	11.8832566332	1.02073360313	1.28651405199	0.0970797705686	0.145117041702	9.90860922103	0.501018014314	0.793366432246	0.0653161517266	0.0159456278669	-436936.835107	39580.1939581	45918.2108182	-0.0978384035251	-7.55974406712e+12	-4.28680449646	0.388322841651	0.450505374666	-0.0978384035251	-0.0071392427596	6.44605521583	0.405193361464	0.604092728779	0.0782871117644	0.00929475267843	7.1085182	0
5	292	191	268	0.78595890411	0.774820725759	623888.162183	56295.4056646	53801.1160579	0.0882341807362	1.47035340078e+13	6.12099132883	0.552316441973	0.527844868413	0.0882341807362	0.0138856683208	5.03047119797	0.344745498197	0.420751523268	0.0760860157367	0.0041825383772	72	239	144	0.375979112272	0.388107736412	1247823.19977	113750.941675	108941.269293	0.0892322770599	1.23067054809e+14	12.2424425541	1.11601496845	1.06882708331	0.0892322770599	0.116221603825	10.0534967799	0.702797274969	0.85131517793	0.0772921346134	0.0356060459072	-440145.950619	41788.6346141	-4697.48558304	-0.0421350565407	-87548873817.9	-4.31828925514	0.409989939898	-0.0460872160493	-0.0421350565407	-8.26790772236e-05	6.6426314989	0.505777777075	0.673444888584	0.0887617103141	0.0174655975252	7.393835	0
6	302	181	263	0.735099337748	0.722454031202	610703.262358	47500.2231975	60366.8552728	0.0883138220466	1.34635059191e+13	5.99163375741	0.466026560421	0.59226159442	0.0883138220466	0.0127146152434	5.0087993642	0.259652722958	0.304565897631	0.0563227411964	0.00124857511324	72	231	155	0.373056994819	0.380505253591	1221871.75402	95140.7586144	120639.519276	0.0882990695137	1.07816887561e+14	11.9878318979	0.933429729553	1.18359907458	0.0882990695137	0.101819708054	10.0323731597	0.546182558359	0.641889792322	0.0592119298082	0.0122516030099	-442805.204461	24380.4801497	33343.6668568	-0.0651800683742	-1.4924455948e+12	-4.34437929931	0.239197850889	0.327136028656	-0.0651800683742	-0.00140943017544	6.48953886324	0.47684869685	0.580100164609	0.081434820234	0.0117910733231	7.56566085714	0
7	294	210	259	0.797619047619	0.793253868998	577496.66996	105632.701233	87147.9589888	0.166910624987	1.46744464516e+14	5.66584257167	1.03636659177	0.855012057658	0.166910624987	0.138581987235	4.48029757961	0.779860493975	0.491897709764	0.141927872105	0.0328455532417	76	219	151	0.410810810811	0.417929532573	1153991.56192	210299.729902	175192.028497	0.167025380046	1.17626040735e+15	11.3218566599	2.06325893199	1.71881589091	0.167025380046	1.11083239354	8.97429650479	1.57058487082	1.00511525139	0.143504291442	0.277686093537	-367591.05678	87493.9763243	-26737.2719491	-0.0826417063943	-1.48876297158e+13	-3.60645033437	0.858406847363	-0.262320428047	-0.0826417063943	-0.0140595239353	6.25846262547	0.972304369531	0.950892721941	0.153647725213	0.136584009843	7.671535	0
8	296	186	247	0.731418918919	0.724124493411	647148.929291	36753.2899416	68756.5289386	0.0815189627185	9.86770351592e+12	6.34920363097	0.360587975018	0.674573013153	0.0815189627185	0.009318824851	5.08503191397	0.397148272993	0.537487165112	0.0919006462415	0.00896082239848	74	236	153	0.380462724936	0.389430536403	1294465.51933	75031.4515624	139153.39586	0.0827309975526	8.42139093709e+13	12.7000521881	0.73613652613	1.36523944685	0.0827309975526	0.0795296160023	10.1696390605	0.803812012329	1.0946578837	0.0933400824132	0.0761307771767	-468239.180884	-16027.6310209	12486.346575	0.00378149094583	-85534572783.7	-4.59391304362	-0.157247719139	0.122504037978	0.00378149094583	-8.07768191647e-05	6.71311397649	0.512858258483	0.853776295884	0.101788421823	0.028560043968	7.78555588889	0
9	293	190	239	0.732081911263	0.727290861424	593198.070973	55169.3466285	55606.0795541	0.0933713641389	1.58650156406e+13	5.81988963535	0.541268632424	0.545553436357	0.0933713641389	0.0149825439905	4.74298828733	0.307693989662	0.37260696123	0.07171649071	0.00277132782726	79	228	155	0.412532637076	0.420236546426	1187083.37727	109019.640387	110467.81467	0.0924482050967	1.22179907492e+14	11.6465217635	1.06959598519	1.08380408012	0.0924482050967	0.115383802969	9.48524812538	0.627253455018	0.769724364782	0.0736394979517	0.0245758131256	-392526.543097	48811.0674468	-36527.2819514	-0.0156470762442	-8.09845726767e+12	-3.85109337261	0.478887304975	-0.358370601725	-0.0156470762442	-0.00764799071222	6.4448532254	0.397887261489	0.555009019113	0.0739269186804	0.00756671053968	7.8924462	0
