states	AB_aSPR	AA_aSPR	BB_aSPR	NormSPR_1	NormSPR_2	AB_sumTMRCA	AA_sumTMRCA	BB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AB_meanTMRCA	AA_meanTMRCA	BB_meanTMRCA	Norm_meanTMRCA_1	Norm_meanTMRCA_2	AB_stdevTMRCA	AA_stdevTMRCA	BB_stdevTMRCA	Norm_stdevTMRCA_1	Norm_stdevTMRCA_2	sharedClades_AB	sharedClades_AA	sharedClades_BB	Norm_sharedClades_1	Norm_sharedClades_2	AB_sumTT	AA_sumTT	BB_sumTT	Norm_sumTT_1	Norm_sumTT_2	AB_meanTT	AA_meanTT	BB_meanTT	Norm_meanTT_1	Norm_meanTT_2	AB_stdevTT	AA_stdevTT	BB_stdevTT	Norm_stdevTT_1	Norm_stdevTT_2	AltAB_sumTMRCA	AltAA_sumTMRCA	AltBB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AltAB_meanTMRCA	AltAA_meanTMRCA	AltBB_meanTMRCA	AltNorm_meanTMRCA_1	AltNorm_meanTMRCA_2	AltAB_stdevTMRCA	AltAA_stdevTMRCA	AltBB_stdevTMRCA	AltNorm_stdevTMRCA_1	AltNorm_stdevTMRCA_2	timeTaken	exact indicator
0	251	206	189	0.786852589641	0.786123521231	200283.48575	38622.5096637	100551.317353	0.347442093129	7.53028423688e+13	1.96498916616	0.378926963323	0.986512934411	0.347442093129	0.0711142159557	1.80687114262	0.163838767888	0.65047759718	0.225338804151	0.00628594898866	141	223	230	0.622516556291	0.622590892152	400739.834751	79991.7371334	201542.300476	0.351267846613	6.48574940596e+14	3.93167430048	0.784802083211	1.97733944701	0.351267846613	0.612498770804	3.63308082305	0.375660650067	1.30972214487	0.231949532232	0.0666307486966	81145.6276543	-28355.9677046	-74213.2338593	-0.632006951754	5.4574094081e+13	0.796122948554	-0.27820151585	-0.728108960023	-0.632006951754	0.0515384783626	2.54797056497	0.305012625928	0.93069125736	0.24248786471	0.0316265993199	0.99257	0
1	248	196	202	0.802419354839	0.802328167942	142163.717007	71667.4432313	69074.7846725	0.49500052076	1.72382879809e+14	1.39477382618	0.703132107915	0.677695432691	0.49500052076	0.162794297747	1.68684458006	0.385851338179	0.427667340667	0.241136228098	0.0161427352328	142	229	228	0.621444201313	0.621445689102	285145.604167	143602.303722	138814.934951	0.495215838059	1.39356914203e+15	2.79757475195	1.40888785709	1.36191879355	0.495215838059	1.31605360167	3.37615954771	0.796399086564	0.870869603955	0.246917935447	0.142477015639	33751.0597133	-44293.3433302	-54227.6333858	-1.45952419795	1.70934928522e+14	0.331132976015	-0.434563735751	-0.532029446714	-1.45952419795	0.161426886939	2.16360569783	0.674114512472	0.599262147638	0.294271886367	0.0754263218428	5.6610395	0
2	251	190	202	0.780876494024	0.78051052486	99472.9872926	89167.7887739	24918.3924622	0.573453076766	4.96307543993e+13	0.975933395725	0.874828687223	0.244475329771	0.573453076766	0.0468701057672	1.7862635173	0.489133457187	0.182568818471	0.188018808298	0.00446439303179	137	226	224	0.608888888889	0.608894902695	199802.531078	177768.608949	51671.9187191	0.574168221068	4.22297333654e+14	1.96027050094	1.7440948232	0.506955229471	0.574168221068	0.398807572706	3.58026542504	0.985628092369	0.391992555635	0.192390854372	0.0416933278517	-5381.68249689	-54623.8990311	-13631.917546	6.3414941904	-1.03029412255e+14	-0.0527998989157	-0.535917224565	-0.13374327989	6.3414941904	-0.0972985300742	2.03479618557	0.846976681699	0.274248601508	0.275512921431	0.0265161725282	8.10695733333	0
3	254	203	189	0.771653543307	0.771161260295	117915.734043	18920.8188235	98524.5872612	0.49800566073	2.94711677056e+13	1.15687591039	0.185632898608	0.966628605666	0.49800566073	0.0278318708664	1.67679025848	0.294219501856	0.63433747046	0.276885247759	0.020773271705	143	222	230	0.632743362832	0.632842492296	234878.339082	43342.9620759	199314.912729	0.516560777278	3.17741393701e+14	2.3044006346	0.425239507838	1.9554864581	0.516560777278	0.300067426128	3.3580050802	0.596663010661	1.28264859202	0.279825604458	0.174418384247	12206.1511475	3095.01177216	79034.3936183	3.36426300143	4.9020543059e+12	0.119755029604	0.0303652823829	0.775409548283	3.36426300143	0.00462938366694	2.03362881959	0.34655827496	0.857610004696	0.296063929675	0.0434370713346	9.023763	0
4	258	177	202	0.734496124031	0.732896439666	127342.698567	48340.1819332	50862.2863617	0.389509840026	4.74716437268e+13	1.24936423059	0.474267428656	0.499011894528	0.389509840026	0.0448310929251	1.68654613131	0.283974112073	0.317403167609	0.178286638153	0.00481705704064	138	236	227	0.596112311015	0.596224964396	255024.241693	95517.7450767	100936.587918	0.385167958329	3.64488556008e+14	2.50205287849	0.937128358581	0.990292839096	0.385167958329	0.344214336006	3.37508049877	0.583562871045	0.653218327525	0.183222474104	0.0430534433767	7434.98901763	-43282.0405417	34899.3874002	-0.56373002849	3.06881516111e+14	0.0729449700531	-0.424641804267	0.342399264174	-0.56373002849	0.289811615644	2.09762433841	0.353907089899	0.48220367645	0.199299452967	0.0138839118334	9.1254742	0
5	244	199	191	0.799180327869	0.799012172305	120877.921956	19748.7262139	79007.8382411	0.408497113687	2.01405604231e+13	1.18593805267	0.193755530619	0.775149012432	0.408497113687	0.0190202669427	1.69016235389	0.236240569281	0.407267027936	0.19036857487	0.00547695332043	148	221	228	0.659242761693	0.65932289221	241691.244109	43133.7971347	159284.04781	0.418752954188	1.95307550389e+14	2.37124231412	0.423187382363	1.56274206591	0.418752954188	0.184443812202	3.38358098874	0.482178952539	0.818592489952	0.192218162772	0.0460442532743	11578.8776003	-2887.02657518	50799.255499	2.06894962438	1.85758970284e+12	0.113600824131	-0.0283247314246	0.498393496252	2.06894962438	0.00175426359921	2.0615995489	0.30421788542	0.719948849858	0.248391288169	0.0232685039153	9.20533183333	0
6	249	183	195	0.759036144578	0.758653565852	180708.905078	38084.2424191	47136.5863894	0.235795875062	1.78331204601e+13	1.77294218431	0.373646002189	0.462458905376	0.235795875062	0.0168411754413	1.71700309001	0.375079257633	0.245219675115	0.18063419232	0.00492703496428	143	238	225	0.617710583153	0.617954216453	360689.098143	76930.2331515	92714.7370495	0.235167864893	1.41045301411e+14	3.53873494636	0.754765547078	0.90962793644	0.235167864893	0.133199832948	3.43799062994	0.760666887914	0.529682946451	0.187660464099	0.0472189489752	74206.3409504	-11510.1780719	-38717.076731	-0.338429668945	2.67625927908e+12	0.728041333422	-0.112926810352	-0.379854764545	-0.338429668945	0.00252739570432	2.35825770789	0.517245898933	0.360154530831	0.186027257926	0.0147156894676	9.24177828571	0
7	236	184	191	0.794491525424	0.794353095285	143819.130493	70215.0537372	38839.3805399	0.379137441254	5.17116500295e+13	1.41101515308	0.68888265739	0.38105469203	0.379137441254	0.0488352541809	1.70339287953	0.414575525132	0.344825387496	0.222908326598	0.0119975054914	147	226	228	0.647577092511	0.64758337622	287695.007903	140011.363478	80255.7270228	0.382813542902	4.38880525634e+14	2.8225870524	1.37365700094	0.787392098413	0.382813542902	0.414468345375	3.41905445723	0.840540194442	0.704631763464	0.225964806533	0.102597171311	32908.2016772	-51373.7030037	21467.8004635	-0.454383725272	3.69617641221e+13	0.32286366263	-0.504029423343	0.210621435782	-0.454383725272	0.034905812227	2.18821162588	0.626407632534	0.468770558983	0.25024503539	0.0394044633042	9.36083075	0
8	263	207	207	0.787072243346	0.787072243346	152809.735697	42566.4851909	20959.4722978	0.207859653702	5.20889071284e+12	1.49922233481	0.417621462541	0.20563420813	0.207859653702	0.00491915268255	1.67738123345	0.188232320776	0.230177818366	0.124721241301	0.0011191377693	135	218	219	0.617848970252	0.617850587926	304914.331434	85885.1883578	45691.6197725	0.215760288327	5.0504702334e+13	2.99152651369	0.842622965267	0.448282280993	0.215760288327	0.0476954414412	3.36359353628	0.426678803387	0.460767689686	0.131919401601	0.011491128012	45905.4699149	30025.4329658	802.284897515	0.335773905816	12640706676.1	0.450380373162	0.294580705274	0.00787124872472	0.335773905816	1.19375831791e-05	2.20418532138	0.350800941617	0.308553559475	0.149568753293	0.00531538243042	9.54521955556	0
9	244	172	193	0.747950819672	0.746711864042	197186.333947	22975.7249552	116520.413071	0.353716546258	3.63467568415e+13	1.93460288785	0.225415742354	1.14318636138	0.353716546258	0.0343250139571	1.82190810716	0.186408053127	0.839755048486	0.281617689054	0.013449561334	136	245	226	0.577494692144	0.577965142528	395990.264142	47433.4046848	233854.659121	0.355170428768	3.1072496126e+14	3.88507607619	0.465371001362	2.29435727019	0.355170428768	0.293441273964	3.64063341057	0.404910940249	1.69873974729	0.288912731701	0.129955830491	97420.2607704	-2949.36586287	-95341.7625579	-0.504469643396	8.11660410678e+11	0.955794014976	-0.0289363446311	-0.935401787158	-0.504469643396	0.000766512815611	2.47961595525	0.291071996474	1.06634285992	0.273714736654	0.0388517117487	9.5974629	0
