states	AB_aSPR	AA_aSPR	BB_aSPR	NormSPR_1	NormSPR_2	AB_sumTMRCA	AA_sumTMRCA	BB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AB_meanTMRCA	AA_meanTMRCA	BB_meanTMRCA	Norm_meanTMRCA_1	Norm_meanTMRCA_2	AB_stdevTMRCA	AA_stdevTMRCA	BB_stdevTMRCA	Norm_stdevTMRCA_1	Norm_stdevTMRCA_2	sharedClades_AB	sharedClades_AA	sharedClades_BB	Norm_sharedClades_1	Norm_sharedClades_2	AB_sumTT	AA_sumTT	BB_sumTT	Norm_sumTT_1	Norm_sumTT_2	AB_meanTT	AA_meanTT	BB_meanTT	Norm_meanTT_1	Norm_meanTT_2	AB_stdevTT	AA_stdevTT	BB_stdevTT	Norm_stdevTT_1	Norm_stdevTT_2	AltAB_sumTMRCA	AltAA_sumTMRCA	AltBB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AltAB_meanTMRCA	AltAA_meanTMRCA	AltBB_meanTMRCA	AltNorm_meanTMRCA_1	AltNorm_meanTMRCA_2	AltAB_stdevTMRCA	AltAA_stdevTMRCA	AltBB_stdevTMRCA	AltNorm_stdevTMRCA_1	AltNorm_stdevTMRCA_2	timeTaken	exact indicator
0	195	151	148	0.766666666667	0.766628075523	164135.53711	33809.0983025	65596.756245	0.302816368404	2.99660350966e+13	1.61034021849	0.3317023949	0.643572358819	0.302816368404	0.0282992118778	1.70938654795	0.200076674566	0.40034684512	0.175625437209	0.00375340527392	139	226	233	0.605664488017	0.60573493276	330005.96146	68034.0490963	130701.849599	0.30110955847	2.39604141089e+14	3.23770148402	0.667484734968	1.28232099365	0.30110955847	0.226276460454	3.421856917	0.431589413616	0.803443486893	0.180462382043	0.0351390802628	53029.1647858	22998.4863265	51114.949195	0.698798819677	2.6060310544e+13	0.520271224082	0.225639055064	0.501490779536	0.698798819677	0.0246107383679	2.29009079362	0.314871674365	0.568304474268	0.192825575103	0.0139822362798	0.149614	1
1	199	138	154	0.733668341709	0.732566116347	134125.43741	43029.4977589	56012.2508059	0.36921314285	4.33099270589e+13	1.31590994849	0.422164097079	0.549538398504	0.36921314285	0.040900866541	1.68976173075	0.260553215425	0.23709688564	0.147254518791	0.00225849484066	136	235	224	0.592592592593	0.592762837191	268962.584868	86811.4843107	111874.303241	0.369355811421	3.50689837583e+14	2.63880251229	0.85171089134	1.09760319487	0.369355811421	0.331183154033	3.38055400298	0.529330537984	0.494166319657	0.151380048468	0.0202400838105	36421.2809711	35072.8898525	32402.6685947	0.926320500654	3.5460874728e+13	0.357330621933	0.344101503567	0.317903857649	0.926320500654	0.033488407928	2.11168854851	0.357357885284	0.507094194309	0.204682665018	0.015550850666	4.511291	1
2	189	152	155	0.812169312169	0.812130533517	132919.71492	42790.3168612	34444.8554135	0.290533170046	1.63436982678e+13	1.30408055766	0.419817483872	0.337939832952	0.290533170046	0.0154346004954	1.65488663444	0.21844949301	0.167480332475	0.116603100615	0.000808837843324	148	231	225	0.649122807018	0.649179005694	265301.182547	85532.1680025	69770.8089722	0.292691829497	1.34235471287e+14	2.60288034993	0.839159468659	0.684524154506	0.292691829497	0.126768791107	3.31072785415	0.456275019634	0.386559983484	0.127288475563	0.00939644747241	33938.0722521	19051.4866699	-20268.2680791	-0.0179264956495	4.39343142654e+12	0.332967763398	0.186914885995	-0.198852776319	-0.0179264956495	0.00414905229903	2.08048271857	0.434775489367	0.320484891706	0.181510851865	0.0093321371792	5.73880066667	1
3	190	142	160	0.794736842105	0.793323944481	124683.655893	34901.2157397	50083.4480724	0.340801138702	2.4505300053e+13	1.2232762582	0.342417202085	0.4913706814	0.340801138702	0.0231422233904	1.67331186053	0.390115002341	0.237101454598	0.187417680987	0.0051130124618	149	238	218	0.65350877193	0.654138247477	249320.555417	70950.0575389	100311.891636	0.343457339265	2.03166574735e+14	2.44609378782	0.696093808635	0.984163919276	0.343457339265	0.191865688149	3.34230097492	0.793655739332	0.505473814981	0.194346583994	0.048152195365	25377.4957132	-12960.6513827	-26131.9959485	-0.770222715687	4.52012098681e+12	0.248979609847	-0.127157461126	-0.256382041368	-0.770222715687	0.00426869491097	2.05776250825	0.503259610356	0.481591626978	0.239301482408	0.0285460984335	6.64525275	1
4	195	144	153	0.761538461538	0.761188730883	147153.22495	20642.8057776	38313.82182	0.200323939953	4.25087778456e+12	1.4437260851	0.202527380429	0.375898414732	0.200323939953	0.00401442802507	1.73027701328	0.247475183963	0.189217735615	0.126191620251	0.00126727642315	140	242	231	0.591966173362	0.592126315708	294842.914732	44597.8166413	77140.499055	0.206446059263	4.01422200932e+13	2.8927154478	0.437550935397	0.756828474138	0.206446059263	0.037909359313	3.47056776356	0.485686288667	0.413929438756	0.129606420147	0.0116456514321	32722.5484047	3701.84658364	-21585.7128034	-0.273265180917	1.95129307229e+11	0.321042211062	0.0363189626164	-0.211778278392	-0.273265180917	0.000184275483595	2.2305011657	0.317714084446	0.363665960011	0.152741467912	0.00598516027767	7.0337936	1
5	195	150	148	0.764102564103	0.764085355167	101874.118511	51466.0693606	36337.6022275	0.430941994255	3.43313333801e+13	0.999490988667	0.504935633308	0.356509646483	0.430941994255	0.0324216959046	1.70674040832	0.342711707728	0.176988627284	0.152249379132	0.00215566431818	133	230	234	0.573275862069	0.573297165124	203502.524138	104635.64743	73556.5383941	0.437813207916	2.91093224705e+14	1.99657127856	1.02658445765	0.721666094952	0.437813207916	0.274901528199	3.4158065733	0.691518892159	0.380197690446	0.156876064204	0.0202364243436	-14636.6645949	-38901.6080388	-12686.0658437	1.76227560412	-1.6639754283e+13	-0.143600892754	-0.381665208473	-0.124463491589	1.76227560412	-0.0157141887651	1.9726438709	0.476175363746	0.378064731872	0.216521620607	0.0164292405473	7.27660433333	1
6	195	150	147	0.761538461538	0.761499610509	117801.814596	40902.939947	66335.8682487	0.45516619826	6.24962421765e+13	1.15575824222	0.40130035464	0.650823815795	0.45516619826	0.0590199668797	1.69345533879	0.358561302583	0.441375881367	0.236184907162	0.0147900717833	145	232	232	0.625	0.625	235939.323866	82068.2826017	131413.709045	0.452408670476	4.92982730785e+14	2.3148099981	0.805175152578	1.28930507471	0.452408670476	0.465561183039	3.3960446288	0.728548530289	0.885764018351	0.237675402577	0.122625178521	9037.3700451	-12870.3020777	52298.6688277	2.18140712139	5.01321909149e+13	0.0886659934178	-0.126271040536	0.513104299469	2.18140712139	0.0473436505039	2.04834236409	0.52312886239	0.595909628823	0.273157092982	0.0474433800488	7.48113885714	1
7	191	151	155	0.801047120419	0.800978678252	208366.957516	54806.0063344	123971.526193	0.428996839658	2.21549797935e+14	2.044296426	0.53770388649	1.21628952566	0.428996839658	0.209226367554	1.87030717659	0.258778930156	0.873471665154	0.302691079167	0.0273175991781	139	235	223	0.606986899563	0.607195350827	417351.6606	110781.886794	249599.673307	0.431748084558	1.83199124777e+15	4.09465357809	1.0868854541	2.44883222443	0.431748084558	1.73008902618	3.74713798864	0.554485682872	1.77081994701	0.310277555421	0.257294082614	106660.445393	-36120.2733205	-109872.517037	-0.684381120943	1.47664741855e+14	1.04644983021	-0.354377424019	-1.07796359159	-0.684381120943	0.139451075298	2.56556807842	0.480113159145	1.0393783985	0.296131599552	0.0970624051735	7.659651625	1
8	189	147	156	0.801587301587	0.80123361677	183810.538541	39191.8797609	67066.855453	0.289044186632	3.75870004318e+13	1.80337243236	0.38451307577	0.657995560043	0.289044186632	0.035496270549	1.70666214287	0.382879335857	0.304662184286	0.201428713649	0.00797284651701	142	236	227	0.613390928726	0.613506847421	367906.978298	78549.1575524	133969.84613	0.288821653595	3.00994912309e+14	3.60954985281	0.770648878131	1.31438343632	0.288821653595	0.284252446815	3.4145798666	0.761597891468	0.625285155979	0.203082531619	0.0664156501557	80995.2835022	-13997.8019448	-49087.6155322	-0.389438833653	5.82913121832e+12	0.794647916157	-0.137332986135	-0.48160052913	-0.389438833653	0.00550489308575	2.35231428365	0.52496337223	0.542068384903	0.226804675836	0.0344247517643	7.84998166667	1
9	194	139	145	0.731958762887	0.731795393414	98641.5390489	52249.4198097	92612.6533841	0.734285345659	2.3737979969e+14	0.967776024262	0.512621115414	0.908626389578	0.734285345659	0.224175845262	1.74370470277	0.354797033197	0.579641105227	0.267946211575	0.024255228601	134	238	224	0.580086580087	0.580353102766	197188.539978	104911.885899	186890.600912	0.739907316222	1.9495870769e+15	1.93462453131	1.02929464414	1.83359104558	0.739907316222	1.84114373441	3.49719314026	0.72787187373	1.1639560549	0.270478045215	0.205240670816	-11761.833338	-45861.701584	63320.3925245	-0.742175579216	-7.16989018056e+14	-0.115395810078	-0.449950960344	0.621238864711	-0.742175579216	-0.677107400783	1.99092449144	0.431515325359	0.880708805268	0.329551456188	0.0725441399835	7.933863	1
