states	AB_aSPR	AA_aSPR	BB_aSPR	NormSPR_1	NormSPR_2	AB_sumTMRCA	AA_sumTMRCA	BB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AB_meanTMRCA	AA_meanTMRCA	BB_meanTMRCA	Norm_meanTMRCA_1	Norm_meanTMRCA_2	AB_stdevTMRCA	AA_stdevTMRCA	BB_stdevTMRCA	Norm_stdevTMRCA_1	Norm_stdevTMRCA_2	sharedClades_AB	sharedClades_AA	sharedClades_BB	Norm_sharedClades_1	Norm_sharedClades_2	AB_sumTT	AA_sumTT	BB_sumTT	Norm_sumTT_1	Norm_sumTT_2	AB_meanTT	AA_meanTT	BB_meanTT	Norm_meanTT_1	Norm_meanTT_2	AB_stdevTT	AA_stdevTT	BB_stdevTT	Norm_stdevTT_1	Norm_stdevTT_2	AltAB_sumTMRCA	AltAA_sumTMRCA	AltBB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AltAB_meanTMRCA	AltAA_meanTMRCA	AltBB_meanTMRCA	AltNorm_meanTMRCA_1	AltNorm_meanTMRCA_2	AltAB_stdevTMRCA	AltAA_stdevTMRCA	AltBB_stdevTMRCA	AltNorm_stdevTMRCA_1	AltNorm_stdevTMRCA_2	timeTaken	exact indicator
0	261	217	192	0.783524904215	0.782059820516	191685.920148	48565.3287931	34523.8220364	0.21673253509	1.4665612008e+13	1.88063811145	0.476476353366	0.3387145776	0.21673253509	0.0138498556847	1.91545800483	0.243366317698	0.296388480549	0.140894448452	0.00271625755827	119	212	232	0.536036036036	0.536580688614	383698.474155	98874.85257	70381.2571989	0.220558747519	1.26210552003e+14	3.76448084056	0.970065072405	0.690513286098	0.220558747519	0.119190247921	3.83056190569	0.512754119074	0.614134215119	0.147091779475	0.0258870413807	69037.8357156	23098.2846643	7800.02205717	0.22377806605	4.70179783986e+11	0.67733292502	0.226618180487	0.0765263235795	0.22377806605	0.000444026621632	2.59749863969	0.484665946998	0.443528373704	0.178670800154	0.0177898588043	0.121888	0
1	272	197	202	0.733455882353	0.733398291267	226560.610885	33418.750396	58590.6331233	0.203056884336	1.6922027173e+13	2.22279507569	0.327872676216	0.57483500896	0.203056884336	0.0159807605787	1.80514448056	0.20659322595	0.386439663711	0.164261890405	0.00353088503804	113	222	233	0.496703296703	0.496848514569	454402.352597	68544.0633052	118909.873201	0.206264267157	1.46195819022e+14	4.45815937638	0.672488504456	1.16662944882	0.206264267157	0.13806385946	3.62240445861	0.442955919526	0.790033776786	0.170189401874	0.0338076823067	120806.821497	21824.9647911	-39274.195869	-0.072219560376	6.08177359933e+12	1.18524048326	0.214125589066	-0.385320682348	-0.072219560376	0.00574348255034	2.60663951114	0.323003846609	0.575585678219	0.172365515252	0.0132603312515	4.249226	0
2	279	190	200	0.698924731183	0.698694935112	177269.414408	43026.2525076	45099.712436	0.248565059117	2.12412846421e+13	1.73919720589	0.422132257791	0.442475054805	0.248565059117	0.0200597647538	1.86918601751	0.168568283448	0.317695755583	0.130073741852	0.00153434149554	111	233	226	0.483660130719	0.483716385154	356069.795631	88452.0975175	89689.912411	0.250150408872	1.76753627927e+14	3.4934147875	0.867807012121	0.879951262789	0.250150408872	0.166921928468	3.75031714458	0.388794261269	0.650090375937	0.138506237894	0.0170340991216	82691.0746961	33900.1856251	-30953.1384242	0.0178196208709	1.3315420808e+13	0.811285390343	0.332596056209	-0.303682460061	0.0178196208709	0.0125747671814	2.42084268478	0.309823776762	0.45220761901	0.157389697514	0.00810846543326	5.51197333333	0
3	254	196	196	0.771653543307	0.771653543307	154811.590015	75645.7002327	79081.6910087	0.499728060499	2.31162252774e+14	1.51886260635	0.742162944025	0.775873584843	0.499728060499	0.218304141616	2.02072949911	0.425868603831	0.484708917465	0.225309107849	0.0210865284354	111	230	218	0.495535714286	0.495713577117	309912.04463	152208.593261	158376.018661	0.501085093825	1.87507538e+15	3.04055927467	1.49332450269	1.55383335617	0.501085093825	1.77077665745	4.05073219867	0.864102903356	0.970154690487	0.226410622066	0.17349196744	39354.4935066	-52902.3976697	-54749.1882918	-1.36771657274	2.13162965606e+14	0.386108485633	-0.519027506914	-0.537146442437	-1.36771657274	0.201306042282	2.49824169424	0.680279611836	0.740537813825	0.284363484313	0.101586252029	6.1225985	0
4	280	199	201	0.714285714286	0.714276785658	147106.044482	32097.0563855	30789.2695794	0.213744874272	6.63893879293e+12	1.44326319567	0.314905484229	0.302074736372	0.213744874272	0.00626965612698	2.05530386071	0.223779674018	0.444268121966	0.16251801224	0.00480900844428	109	223	221	0.490990990991	0.490995972308	293779.162081	63955.8922157	63489.8636479	0.21690741263	5.61240399144e+13	2.88227892865	0.627473777208	0.622901552577	0.21690741263	0.0530022103977	4.11975771154	0.468460172435	0.8947497248	0.16544782396	0.0426458543665	-15147.7592599	-13313.6745968	21552.5364869	-0.27194985571	-5.4355595704e+12	-0.14861526264	-0.130620985782	0.211452784245	-0.27194985571	-0.00513321336845	2.50702934078	0.363567001493	0.49387349654	0.171007272249	0.0128599991905	6.5403828	0
5	271	187	193	0.70110701107	0.701019610012	145858.321503	56480.9676594	88077.528863	0.495544220697	1.69669308011e+14	1.43102173638	0.554136998013	0.864132104301	0.495544220697	0.160231664986	2.13705556582	0.285104774179	0.571223840691	0.20035244487	0.0124109725476	110	236	231	0.471092077088	0.471119080546	291606.276718	114731.233461	176838.531286	0.499937395087	1.4116279738e+15	2.86096066478	1.12563264977	1.73496979462	0.499937395087	1.33310793352	4.2880604068	0.587888593951	1.15719578101	0.203481785401	0.107930168951	33863.2491268	-38113.1896553	-73570.539703	-1.64904036438	2.32182696275e+14	0.332233670769	-0.373930004664	-0.721803462345	-1.64904036438	0.219267824224	2.55038242023	0.498526725902	0.742980976609	0.243396381002	0.0537931496659	6.82859333333	0
6	257	190	184	0.727626459144	0.727532818211	123568.831097	45275.6094776	29597.548012	0.302961340756	1.45321924148e+13	1.21233866822	0.444200787607	0.290382709142	0.302961340756	0.0137238573896	2.1525248134	0.292017360667	0.263324423773	0.128997766015	0.00274695447036	115	230	238	0.491452991453	0.491524809807	252890.427099	90568.4401162	61197.6765199	0.300062992453	1.21476215449e+14	2.48111793948	0.888570532702	0.600412814394	0.300062992453	0.114719252915	4.273589854	0.621435428388	0.542045618231	0.136124556446	0.0265503869204	16329.5484818	-13581.5920967	-8616.03183861	-0.679676598532	8.38574746571e+11	0.160209843237	-0.133249534924	-0.084532227681	-0.679676598532	0.000791930075236	2.46525068196	0.514619315693	0.382774310014	0.182008594962	0.0157397069775	7.02348471429	0
7	277	191	200	0.705776173285	0.705589179989	134841.228506	108585.332322	36502.6951821	0.537995793688	1.16511687581e+14	1.32293260312	1.06533497167	0.358129379963	0.537995793688	0.1100308707	2.20984864239	0.736447400412	0.221073355025	0.216648492813	0.0119948202026	112	228	229	0.490153172867	0.490154346334	272843.702889	217633.747373	72201.5513142	0.531137965836	9.04964625126e+14	2.67688031404	2.13521326622	0.70837226335	0.531137965836	0.854627099841	4.40478725051	1.47301667505	0.460373918222	0.2194646964	0.104402719694	14052.671308	88404.7165733	-19946.847167	2.4357600027	2.21279154969e+14	0.137871311619	0.867342155812	-0.195699303092	2.4357600027	0.208970778764	2.57188125622	0.961774900991	0.372601481295	0.259416405609	0.049932707968	7.202043625	0
8	266	207	182	0.731203007519	0.729691403893	123179.941331	63087.6088433	51142.1630906	0.463670345593	8.45096546227e+13	1.20852325541	0.618955014847	0.501757776138	0.463670345593	0.0798089107944	2.04283700503	0.269107515083	0.254760132803	0.128220618335	0.00230081059694	112	226	234	0.486956521739	0.487030180267	251408.284977	123888.250148	102819.796598	0.450876244527	6.45407685981e+14	2.46657658474	1.21547250111	1.00876907362	0.450876244527	0.609507690766	4.06854847877	0.564658410821	0.541933475738	0.135993449793	0.023015693482	8965.05945077	48285.3306346	36716.4154212	4.74072405892	3.50588604093e+14	0.0879565513291	0.473729280405	0.360226197645	4.74072405892	0.331087551529	2.37191381232	0.480733537384	0.432320110232	0.192471927706	0.0182104556987	7.34471744444	0
9	259	200	192	0.756756756757	0.75659914835	182718.452875	49088.2671887	46209.4247682	0.260777415902	2.8160095216e+13	1.79265793689	0.481606922559	0.453362486198	0.260777415902	0.0265937251441	1.70966857681	0.273461778896	0.294589804215	0.166129152403	0.00379591748479	120	223	233	0.526315789474	0.526442392299	366780.578486	98417.5282086	92488.8501996	0.260246029378	2.25900575053e+14	3.5984986999	0.965578245086	0.907411751659	0.260246029378	0.213335138137	3.425252044	0.56961157048	0.61162093402	0.17243001235	0.035434781093	75052.9319227	32021.3700335	-15026.1847747	0.113221328091	3.08467636575e+12	0.736347270791	0.314162922449	-0.147422490578	0.113221328091	0.00291309510141	2.36524455776	0.456101118759	0.520180070659	0.206380601577	0.0237987223218	7.4455091	0
