states	AB_aSPR	AA_aSPR	BB_aSPR	NormSPR_1	NormSPR_2	AB_sumTMRCA	AA_sumTMRCA	BB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AB_meanTMRCA	AA_meanTMRCA	BB_meanTMRCA	Norm_meanTMRCA_1	Norm_meanTMRCA_2	AB_stdevTMRCA	AA_stdevTMRCA	BB_stdevTMRCA	Norm_stdevTMRCA_1	Norm_stdevTMRCA_2	sharedClades_AB	sharedClades_AA	sharedClades_BB	Norm_sharedClades_1	Norm_sharedClades_2	AB_sumTT	AA_sumTT	BB_sumTT	Norm_sumTT_1	Norm_sumTT_2	AB_meanTT	AA_meanTT	BB_meanTT	Norm_meanTT_1	Norm_meanTT_2	AB_stdevTT	AA_stdevTT	BB_stdevTT	Norm_stdevTT_1	Norm_stdevTT_2	AltAB_sumTMRCA	AltAA_sumTMRCA	AltBB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AltAB_meanTMRCA	AltAA_meanTMRCA	AltBB_meanTMRCA	AltNorm_meanTMRCA_1	AltNorm_meanTMRCA_2	AltAB_stdevTMRCA	AltAA_stdevTMRCA	AltBB_stdevTMRCA	AltNorm_stdevTMRCA_1	AltNorm_stdevTMRCA_2	timeTaken	exact indicator
0	259	199	199	0.76833976834	0.76833976834	690497.596024	65596.756245	26877.7759752	0.0669622405296	4.50183130468e+12	6.77449910743	0.643572358819	0.26369891858	0.0669622405296	0.00425142256953	5.94691419458	0.40034684512	0.15002973872	0.0462741319138	0.000606646720938	116	233	221	0.511013215859	0.511191815489	1382104.74218	130701.849599	54810.9937074	0.0671124400507	3.71328139284e+13	13.5598840549	1.28232099365	0.537752817803	0.0671124400507	0.0350673476018	11.8893891903	0.803443486893	0.318578512452	0.0471858554457	0.00551041218202	-457320.527341	51114.949195	6137.64844029	-0.0625957006219	-2.15218296159e+11	-4.48678970371	0.501490779536	0.0602167105576	-0.0625957006219	-0.000203247047644	7.81846178918	0.568304474268	0.297354989751	0.0553599600126	0.00365250899077	0.095367	0
1	256	199	184	0.748046875	0.747472956242	660168.3313	56012.2508059	24887.4882814	0.0612720538472	2.94356411326e+12	6.47693749681	0.549538398504	0.244172127636	0.0612720538472	0.00277983204146	5.71014146583	0.23709688564	0.192056387138	0.0375781646869	0.000363130176507	118	224	232	0.517543859649	0.517623524678	1321037.35755	111874.303241	50614.8861276	0.0615006034612	2.42718073346e+13	12.9607495394	1.09760319487	0.496584641089	0.0615006034612	0.0229217184123	11.4260073982	0.494166319657	0.404630837215	0.0393311996723	0.00349920784192	-435834.039353	32402.6685947	9473.65550544	-0.0480415941838	-2.16209906068e+11	-4.2759849239	0.317903857649	0.0929464072508	-0.0480415941838	-0.000204183500492	7.50149237339	0.507094194309	0.296423091432	0.0535571620782	0.00301199099566	4.7761155	0
2	272	198	195	0.722426470588	0.722405421786	664454.140654	34444.8554135	41182.962806	0.0569097350684	3.02843945298e+12	6.51898574117	0.337939832952	0.404047669937	0.0569097350684	0.00285998629658	5.72205843751	0.167480332475	0.307266561612	0.041483925695	0.000462813417425	115	225	218	0.519187358916	0.519252187134	1329974.20808	69770.8089722	85372.0926881	0.0583255301937	2.66769486381e+13	13.0484293318	0.684524154506	0.837588963445	0.0583255301937	0.0251930767393	11.4438521233	0.386559983484	0.62390530424	0.0441488266729	0.00508275184417	-438028.560291	-20268.2680791	20480.9599987	-0.000242783164001	-3.93397386318e+11	-4.29751545525	-0.198852776319	0.200939505118	-0.000242783164001	-0.000371515148791	7.53461935122	0.320484891706	0.466144371144	0.0522009955767	0.0029620657445	6.146682	0
3	273	212	213	0.778388278388	0.778386123677	670138.909436	50083.4480724	32067.9325663	0.0612942924832	3.84915615867e+12	6.57475923156	0.4913706814	0.314619749292	0.0612942924832	0.00363505166211	5.80580294271	0.237101454598	0.349188836665	0.0504917491213	0.00118066543159	117	218	211	0.545454545455	0.545527172236	1340927.96167	100311.891636	69097.6754717	0.06316878011	3.58283054693e+13	13.1558970397	0.984163919276	0.677920015224	0.06316878011	0.0338354007939	11.6000110021	0.505473814981	0.722256154073	0.0529193450262	0.0114900369795	-433660.841991	-26131.9959485	16417.0551006	0.0112010814756	-4.2440986226e+11	-4.25466359899	-0.256382041368	0.161068374121	0.0112010814756	-0.000400802594551	7.67024409142	0.481591626978	0.441560198788	0.0601774738042	0.00589560679597	6.8230495	0
4	255	196	199	0.774509803922	0.77448746555	695621.793851	38313.82182	23715.2664501	0.0445853542962	1.18684440656e+12	6.82477281411	0.375898414732	0.232671413085	0.0445853542962	0.00112082767103	5.93268566331	0.189217735615	0.147658479728	0.0283915442736	0.000131579771805	115	231	221	0.508849557522	0.508974135708	1391633.43743	77140.499055	49590.1742747	0.0455330656483	1.05155332807e+13	13.6533704593	0.756828474138	0.486531152745	0.0455330656483	0.00993061989545	11.8656669512	0.413929438756	0.328117695433	0.0312686651852	0.00155460399756	-466101.832606	-21585.7128034	-6044.81686579	0.0296400139801	-36527359124.2	-4.57294343549	-0.211778278392	-0.0593059363243	0.0296400139801	-3.44955704637e-05	7.80144034648	0.363665960011	0.26911302276	0.0405552663782	0.00122772172444	7.22297	0
5	264	193	184	0.714015151515	0.713811662186	668848.773836	36337.6022275	42443.0001863	0.0588926865799	3.55628656298e+12	6.56210166038	0.356509646483	0.416409946297	0.0588926865799	0.00335847257135	5.73667641959	0.176988627284	0.244856223497	0.0367673562117	0.000327380389991	115	234	229	0.496760259179	0.496789228137	1338668.6027	73556.5383941	84954.4512894	0.0592047162993	2.91703585097e+13	13.1337303799	0.721666094952	0.833491467235	0.0592047162993	0.0275477938058	11.4616304564	0.380197690446	0.52618786234	0.0395399919861	0.00349183889879	-428711.012835	-12686.0658437	2712.23032277	0.0116323528231	-2761483270.53	-4.20610063021	-0.124463491589	0.0266097985084	0.0116323528231	-2.60787921785e-06	7.63409143466	0.378064731872	0.482331558354	0.0563522390051	0.004355783952	7.508268	0
6	277	202	187	0.702166064982	0.701643843557	678024.593955	66335.8682487	30565.2733488	0.071458426775	6.06328463976e+12	6.65212599293	0.650823815795	0.299877100532	0.071458426775	0.00572602201602	5.88998762003	0.441375881367	0.259857721781	0.0595275956747	0.00223343885275	113	232	231	0.488120950324	0.488122088834	1356723.17274	131413.709045	64042.7822233	0.0720325616882	5.22072100267e+13	13.3108644775	1.28930507471	0.628326258495	0.0720325616882	0.0493032492731	11.7721286281	0.885764018351	0.51414182703	0.0594584840859	0.0176176080159	-437919.317526	52298.6688277	20944.4663784	-0.0836262894497	-2.73984356034e+12	-4.29644367017	0.513104299469	0.205486984463	-0.0836262894497	-0.00258744318946	7.77710139955	0.595909628823	0.33945163162	0.0601355963095	0.00526137001508	7.72973628571	0
7	266	193	197	0.733082706767	0.73304414782	792666.526413	123971.526193	21050.055483	0.0914770441563	8.59131942817e+12	7.77688250705	1.21628952566	0.206522923327	0.0914770441563	0.00811343803155	6.73778516514	0.873471665154	0.19006866147	0.0789235854629	0.00409073659428	109	223	223	0.488789237668	0.488789237668	1586726.73541	249599.673307	44923.7932755	0.0928085031939	7.92389525361e+13	15.5674384888	2.44883222443	0.440749104993	0.0928085031939	0.0748313849184	13.4863392401	1.77081994701	0.390518495313	0.0801306568018	0.0354599358336	-564190.613273	-109872.517037	1952.68079584	0.0956412901084	-81585842264.1	-5.5352963255	-1.07796359159	0.0191578281875	0.0956412901084	-7.7047731841e-05	8.67399245151	1.0393783985	0.280019269965	0.076054808431	0.0097657178237	7.870812875	0
8	273	206	200	0.74358974359	0.743508539567	730058.190524	67066.855453	18724.9558699	0.0587568309187	2.16023011605e+12	7.16262965803	0.657995560043	0.183711279457	0.0587568309187	0.002040070018	6.37714292665	0.304662184286	0.205802077075	0.0400229591239	0.000616467888658	100	227	229	0.438596491228	0.438600709861	1460068.90735	133969.84613	42423.3571388	0.060405780296	2.2123346974e+13	14.3247935497	1.31438343632	0.416217227585	0.060405780296	0.0208927634718	12.747982545	0.625285155979	0.420783231282	0.041028781753	0.00543039756832	-500894.20152	-49087.6155322	6016.34016536	0.0429943840796	-1.74125603816e+11	-4.91429273708	-0.48160052913	0.059026550295	0.0429943840796	-0.000164440084911	8.23534713411	0.542068384903	0.269481345344	0.0492723449923	0.00259109693606	8.029987	0
9	261	186	197	0.733716475096	0.733413800699	651645.370775	92612.6533841	32788.4226849	0.0962188037336	1.41504545196e+13	6.39331839545	0.908626389578	0.321688506219	0.0962188037336	0.0133633531873	5.67504746972	0.579641105227	0.224013114593	0.0708059469202	0.00297095272953	114	224	230	0.502202643172	0.502246506006	1303976.87354	186890.600912	66579.0399687	0.0971910031627	1.18735364258e+14	12.7933684589	1.83359104558	0.653209583116	0.0971910031627	0.112130858143	11.3385834493	1.1639560549	0.454824704837	0.0713837300306	0.0247173814409	-425175.945669	63320.3925245	-12935.3292278	-0.0592520153243	-1.57787822922e+12	-4.17141794703	0.621238864711	-0.126909024467	-0.0592520153243	-0.00149011072643	7.46190030759	0.880708805268	0.370890105088	0.0838659630097	0.0142990020483	8.1633212	0
