states	AB_aSPR	AA_aSPR	BB_aSPR	NormSPR_1	NormSPR_2	AB_sumTMRCA	AA_sumTMRCA	BB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AB_meanTMRCA	AA_meanTMRCA	BB_meanTMRCA	Norm_meanTMRCA_1	Norm_meanTMRCA_2	AB_stdevTMRCA	AA_stdevTMRCA	BB_stdevTMRCA	Norm_stdevTMRCA_1	Norm_stdevTMRCA_2	sharedClades_AB	sharedClades_AA	sharedClades_BB	Norm_sharedClades_1	Norm_sharedClades_2	AB_sumTT	AA_sumTT	BB_sumTT	Norm_sumTT_1	Norm_sumTT_2	AB_meanTT	AA_meanTT	BB_meanTT	Norm_meanTT_1	Norm_meanTT_2	AB_stdevTT	AA_stdevTT	BB_stdevTT	Norm_stdevTT_1	Norm_stdevTT_2	AltAB_sumTMRCA	AltAA_sumTMRCA	AltBB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AltAB_meanTMRCA	AltAA_meanTMRCA	AltBB_meanTMRCA	AltNorm_meanTMRCA_1	AltNorm_meanTMRCA_2	AltAB_stdevTMRCA	AltAA_stdevTMRCA	AltBB_stdevTMRCA	AltNorm_stdevTMRCA_1	AltNorm_stdevTMRCA_2	timeTaken	exact indicator
0	252	199	200	0.791666666667	0.791664180288	746048.748725	65596.756245	33880.1916723	0.0666692009653	6.62047635912e+12	7.31951365427	0.643572358819	0.33239989475	0.0666692009653	0.00625222064296	6.96728252824	0.40034684512	0.29228844323	0.0497062725347	0.00196531734655	124	233	206	0.564920273349	0.565991767707	1492995.72488	130701.849599	69852.8557809	0.0671651974741	5.58307207877e+13	14.6478398533	1.28232099365	0.685329118977	0.0671651974741	0.0527252067805	13.9506609993	0.803443486893	0.602946633696	0.0504058596455	0.0168218452369	-642848.28555	51114.949195	-9473.32304835	-0.0323883776955	-3.64747288172e+11	-6.30700984587	0.501490779536	-0.0929431455012	-0.0323883776955	-0.000344458676517	7.89556411965	0.568304474268	0.432762978754	0.063394295699	0.0076608893314	0.143487	0
1	259	199	208	0.785714285714	0.785522160681	704143.460498	56012.2508059	61566.2265227	0.0834904276789	1.68884569491e+13	6.90837922118	0.549538398504	0.604028672986	0.0834904276789	0.0159490576565	6.46136592848	0.23709688564	0.39648461397	0.0490284489861	0.00136766596332	113	224	215	0.514806378132	0.514914597957	1408952.35927	111874.303241	124183.26843	0.0837706009428	1.36990531449e+14	13.8232870834	1.09760319487	1.21836693709	0.0837706009428	0.129370604493	12.9302379184	0.494166319657	0.808195219306	0.0503610817986	0.0123359421183	-584137.152382	32402.6685947	-46765.4516755	0.0122940160733	-3.9309452523e+12	-5.73099260622	0.317903857649	-0.458817688083	0.0122940160733	-0.00371229133972	7.52533566512	0.507094194309	0.558155010733	0.0707775209271	0.0106453772431	4.938453	0
2	253	198	219	0.824110671937	0.823064994739	717815.800028	34444.8554135	53308.7482178	0.061125433313	4.69713116725e+12	7.04251908274	0.337939832952	0.523014228144	0.061125433313	0.00443585912155	6.58645003201	0.167480332475	0.284402290789	0.0343039589663	0.000344462863658	116	225	207	0.537037037037	0.537503822903	1435668.39936	69770.8089722	108754.616547	0.0621750209167	4.01041003958e+13	14.0853992049	0.684524154506	1.06699582586	0.0621750209167	0.037873359976	13.1830882315	0.386559983484	0.590181006073	0.0370452268999	0.00394809038129	-612404.347086	-20268.2680791	13276.2279521	0.00570867937195	-1.18234553634e+11	-6.00832316667	-0.198852776319	0.130253595276	0.00570867937195	-0.000111657904484	7.5417804118	0.320484891706	0.580915266424	0.0597604351301	0.00459586029106	6.42219966667	0
3	273	212	220	0.791208791209	0.791073112773	723590.182541	50083.4480724	31889.7119211	0.0566433610981	3.52530720016e+12	7.09917177698	0.4913706814	0.312871219523	0.0566433610981	0.00332921639684	6.63052834184	0.237101454598	0.23944218238	0.0359355704711	0.000486095527633	109	218	200	0.521531100478	0.522015325446	1445598.10665	100311.891636	66183.1234697	0.0575868958114	3.04896043531e+13	14.1828199542	0.984163919276	0.649325230753	0.0575868958114	0.0287936582493	13.2563587842	0.505473814981	0.509374040231	0.0382777756597	0.00500088296996	-605871.91464	-26131.9959485	-16349.3304462	0.0350580092658	-3.01275826586e+11	-5.94423321469	-0.256382041368	-0.16040392487	0.0350580092658	-0.000284517735588	7.68298363271	0.481591626978	0.359849329019	0.0547600383017	0.00390903304434	7.14621075	0
4	248	196	208	0.814516129032	0.814156739621	759958.702039	38313.82182	60107.251475	0.0647542248223	6.97870269393e+12	7.45598475403	0.375898414732	0.589714611336	0.0647542248223	0.00659052108599	7.05076562782	0.189217735615	0.365551503015	0.0393410636457	0.000678554212573	116	231	204	0.533333333333	0.534363659729	1520600.88001	77140.499055	118339.622584	0.0642772617751	5.48037164426e+13	14.9186751173	0.756828474138	1.16103469757	0.0642772617751	0.0517553282675	14.0990809123	0.413929438756	0.728906570149	0.0405287414128	0.00645662489127	-659936.97386	-21585.7128034	24228.5197705	-0.00200231769988	-4.14461402145e+11	-6.47466763986	-0.211778278392	0.237706961624	-0.00200231769988	-0.000391407505085	7.96138703644	0.363665960011	0.651833279738	0.0637765275762	0.00705812956468	7.5313464	0
5	257	193	207	0.778210116732	0.77773331697	719944.582529	36337.6022275	29263.7640262	0.0455600110381	1.57062981503e+12	7.0634046517	0.356509646483	0.287107941313	0.0455600110381	0.00148326549622	6.55093091238	0.176988627284	0.205672903391	0.0292066529012	0.000202274837155	120	234	208	0.542986425339	0.54392829322	1440698.3482	73556.5383941	59742.1201012	0.0462618211029	1.34038873366e+13	14.1347482311	0.721666094952	0.586132293048	0.0462618211029	0.01265831287	13.0916697311	0.380197690446	0.42132566501	0.0306119605796	0.00196001654768	-603095.274655	-12686.0658437	-11165.5477223	0.0197743329854	-33268104791.6	-5.91699149044	-0.124463491589	-0.109545628419	0.0197743329854	-3.14176080764e-05	7.60234127058	0.378064731872	0.335755965619	0.0469474252789	0.00211949524095	7.82080266667	0
6	259	202	207	0.789575289575	0.7895162867	726200.640503	66335.8682487	37517.8722343	0.0715048532669	8.52936320398e+12	7.12478308285	0.650823815795	0.368089322002	0.0715048532669	0.00805492804484	6.68159579736	0.441375881367	0.365352165664	0.0603694140964	0.00389188830836	118	232	212	0.531531531532	0.532071607197	1453915.21007	131413.709045	75094.908773	0.0710181090296	6.69827932815e+13	14.2644193834	1.28930507471	0.736759107323	0.0710181090296	0.0632569591916	13.3454707814	0.885764018351	0.741820546162	0.0609789115415	0.0323519069984	-609991.62355	52298.6688277	-2421.17499791	-0.0408837530748	-26285107613.8	-5.98465184104	0.513104299469	-0.023754243254	-0.0408837530748	-2.48230313819e-05	7.71946881065	0.595909628823	0.518080775415	0.0721546023154	0.0123471960257	8.03712857143	0
7	255	193	202	0.774509803922	0.77430873538	846698.807359	123971.526193	33514.5681039	0.093000068577	2.0388355695e+13	8.30699534327	1.21628952566	0.328812747522	0.093000068577	0.0192542789126	7.82648148833	0.873471665154	0.186618899775	0.0677245941557	0.00339501994219	117	223	214	0.535469107551	0.535582704	1693965.87312	249599.673307	66484.3026064	0.0932970318146	1.62562961894e+14	16.6195658921	2.44883222443	0.652280111123	0.0932970318146	0.153520600483	15.6588185511	1.77081994701	0.40122211539	0.0693552344103	0.0322373656864	-741622.275084	-109872.517037	2830.67267751	0.0721673606332	-1.30429157156e+11	-7.27608534706	-1.07796359159	0.0277718411152	0.0721673606332	-0.000123174198439	8.79309764206	1.0393783985	0.377058565115	0.0805425471928	0.017467192176	8.208675375	0
8	268	206	217	0.789179104478	0.788912219789	780229.151683	67066.855453	35349.864766	0.0656324619492	7.20392576605e+12	7.65485893377	0.657995560043	0.346818915351	0.0656324619492	0.00680321640645	7.20003137143	0.304662184286	0.428218770685	0.0508942890082	0.00236392729345	112	227	199	0.525821596244	0.526961098629	1560286.11143	133969.84613	74016.6529316	0.0666501154943	6.30186011605e+13	15.3080284856	1.31438343632	0.726180296799	0.0666501154943	0.0595132702986	14.3916662688	0.625285155979	0.891986906163	0.0527135647047	0.0216153422608	-676270.970993	-49087.6155322	-24540.4245268	0.0544367888147	-2.14579026116e+12	-6.63492112899	-0.48160052913	-0.240767071472	0.0544367888147	-0.00202643336198	8.14954837138	0.542068384903	0.49566711905	0.0636682829932	0.00885839079791	8.33986233333	0
9	263	186	202	0.737642585551	0.737015138262	709357.526963	92612.6533841	27412.3836065	0.0846012288785	9.0859234621e+12	6.95953463261	0.908626389578	0.268943975105	0.0846012288785	0.00858053033478	6.60518932446	0.579641105227	0.22830322298	0.0611598160567	0.00265128958904	118	224	208	0.546296296296	0.546671371038	1419296.73107	186890.600912	55657.2238657	0.0854464818623	7.62333138605e+13	13.9247761226	1.83359104558	0.546055215212	0.0854464818623	0.0719929311346	13.2013752145	1.1639560549	0.463916674889	0.0616554223838	0.0220868590009	-607021.105064	63320.3925245	-16302.0427083	-0.0387287603544	-1.75536509776e+12	-5.95550796719	0.621238864711	-0.159939983011	-0.0387287603544	-0.00165772510992	7.52300293548	0.880708805268	0.314439859437	0.0794329521705	0.0101940939661	8.4498582	0
