traits	HAf
B/Argentina/132/2001_2001-08-07	B
B/Georgia/04/1998_1998	B
B/Shanghai-Baoshan/197/2011_2011-03-07	A
B/Pennsylvania/PIT59/2008_2008-03-15	B
B/Cordoba/2979/1991_1991-06-13	B
B/Bangkok/163/1990_1990	B
B/Norway/1/84_1984	B
B/Tianjin-Hedong/1174/2011_2011-05-15	B
B/South_Carolina/NHRC0001/2001_2001-01-17	B
B/Taiwan/125/2004_2004-02-10	A
B/South_Carolina/NHRC0001/2000_2000-02-14	A
B/Houston/B720/2004_2004-12-28	A
B/Taiwan/1197/94_1994-05-12	B
B/Hunan-Yuhua/11100/2010_2010-09-08	B
B/Beijing-Xicheng/1677/2011_2011-04-06	B
B/Fujian-Cangshan/1194/2010_2010-05-10	B
B/Temple/B10/1999_1999-02-10	B
B/Hong_Kong/03/1992_1992-03-23	A
B/Gansu-Chengguan/572/2011_2011-03-10	A
B/Alaska/03/1992_1992-06-13	B
B/Jiangsu-Xinpu/192/2011_2011-03-02	A
B/Fujian-Gulou/1553/2011_2011-08-31	A
B/Temple/B3/1999_1999-02-09	A
B/Colorado/04/2004_2004-11-09	B
B/Taiwan/2171/2004_2004	B
B/Georgia/09/2005_2005-02-14	B
B/Auckland/01/2000_2000-05-09	A
B/Taiwan/72068/2004_2004-12-02	B
B/Paris/549/1999_1999	A
B/Nebraska/2/01_2001	B
B/Jilin/20/2003_2003	A
B/Chongqing-Wanzhou/1152/2011_2011-03-08	A
B/Shanghai-Luwan/187/2011_2011-02-15	B
B/Bangkok/141/1994_1994-05-07	B
B/Chile/3162/2002_2002-03-14	A
B/Taiwan/783/2005_2005-03-23	A
B/Yamanashi/166/98_1998	A
B/Hunan-Beihu/1300/2011_2011-05-26	B
B/Sichuan/379/99_1999	B
B/New_Jersey/NHRC0001/2005_2005-05-16	A
B/Houston/B67/2000_2000-03-22	B
B/Temple/B1193/2001_2001	A
B/Houston/B66/2000_2000-03-10	B
B/Romania/217/1999_1999-02-08	B
B/Guangdong-Dongguanbendi/1721/2010_2010-09-01	A
B/Pennsylvania/PIT66/2008_2008-03-05	A
B/Colorado/13/2004_2004-12-14	A
B/Nebraska/1/01_2001	B
B/Houston/B57/1997_1997-02-10	A
B/Temple/B1190/2001_2001	B
B/Harbin/7/1994_1994	A
B/Egypt/2040/2004_2004-04-27	A
B/Chongqing-Wanzhou/145/2011_2011-02-03	A
B/Temple/B8/1999_1999-02-05	B
B/Managua/4847.02/2008_2008-05-27	A
B/Fujian-Meilie/1440/2010_2010-08-19	A
B/Jiangsu-Quanshan/1329/2011_2011-04-27	B
B/Memphis/5/93_1993	A
B/Romania/318/1998_1998-04-06	B
B/Sichuan-Anyue/139/2011_2011-03-02	B
B/Bangkok/153/1990_1990	A
B/Wellington/01/1994_1994	B
B/Taiwan/481/2001_2001-02-15	B
B/Brazil/975/2000_2000-06-09	A
B/Florida/4/2006_2006	A
B/California/NHRC0005/2005_2005-01-18	B
B/Beijing-Xicheng/1291/2011_2011-03-09	A
B/California/NHRC0004/2005_2005-01-27	A
B/Shanghai-Pudongxin/1467/2010_2010-05-05	A
B/Yamagata/16/88_1988	A
B/Ulan-Ude/6/2003_2003-03-06	B
B/Houston/B756/2005_2005-01-04	A
B/Beijing-Xicheng/1962/2011_2011-05-23	B
B/California/NHRC0003/2005_2005-01-26	A
B/Johannesburg/06/1994_1994	B
B/Maryland/1/01_2001	B
B/South_Carolina/NHRC0002/2001_2001-01-30	A
B/Shanghai-Zhangning/1133/2011_2011-02-24	A
B/Houston/B68/2000_2000-04-16	B
B/Shanghai-Pudongxin/1238/2011_2011-05-13	B
B/Temple/B9/1999_1999-02-09	A
B/Chantaburi/218/2003_2003-07-26	B
B/Singapore/11/94_1994-05-10	A
B/Lisbon/02/1994_1994-10-26	B
B/Temple/B1166/2001_2001	A
B/Texas/06/2000_2000-05-03	B
B/Shizuoka/15/2001_2001	A
B/Russia/22/1995_1995	B
B/California/02/1995_1995-02-16	B
B/Canada/16188/2000_2000-11-23	B
B/California/NHRC0002/2005_2005-01-25	A
B/Missouri/NHRC0001/2001_2001-01-19	B
B/Taiwan/383/2005_2005-01-27	B
B/Beijing-Xicheng/1267/2011_2011-02-27	A
B/Shizuoka/480/2000_2000	A
B/HONG_KONG/2196/2010_2010-11-30	A
B/Guangzhou/01/2007_2007-07-12	A
B/Shanghai-Luwan/1217/2011_2011-05-04	B
B/California/01/1995_1995	B
B/Kouchi/193/99_1999-02-02	A
B/Houston/B63/1997_1997-03-05	B
