PB1 site,NA site,N alleles PB1,N alleles NA,Chi,ChiSqDf
66,26,2,2,2.93087557604,0.00536691428222
66,27,2,2,24.5898617512,0.0182880017548
66,34,2,2,7.48387096774,0.00514184397163
66,35,2,2,0.276497695853,1.21095243508e-05
66,39,2,2,10.3963133641,0.0451236098888
66,44,2,3,2.17511520737,0.000386555392517
66,45,2,3,6.65437788018,0.00435835417974
66,47,2,2,1.60368663594,0.00107370291751
66,48,2,2,1.60368663594,0.00107370291751
66,50,2,4,6.41474654378,0.0022312808118
66,51,2,3,30.4700460829,0.0259584806913
66,52,2,2,1.60368663594,0.00107370291751
66,53,2,3,10.6912442396,0.00372597389249
66,59,2,3,2.13824884793,0.000717466600693
66,61,2,2,15.5023041475,0.0110454426057
66,68,2,2,11.2258064516,0.00784349080418
66,69,2,2,6.94930875576,0.00476322838227
66,71,2,2,1.10599078341,5.13299241138e-05
66,76,2,2,1.06912442396,0.00071414499606
66,89,2,2,3.50230414747,0.000563765289986
66,95,2,2,1.06912442396,0.00071414499606
66,121,2,2,1.60368663594,0.00107370291751
66,126,2,3,95.4470046083,0.0525939695933
66,129,2,2,1.06912442396,0.00071414499606
66,133,2,2,1.60368663594,0.00107370291751
66,148,2,2,1.06912442396,0.00071414499606
66,149,2,2,108.552995392,0.135823614319
66,154,2,2,1.06912442396,0.00071414499606
66,158,2,2,1.06912442396,0.00071414499606
66,170,2,2,1.60368663594,0.00107370291751
66,187,2,2,143.834101382,0.276670216447
66,192,2,2,1.06912442396,0.00071414499606
66,199,2,2,100.534562212,0.115868177321
66,200,2,3,13.6405529954,0.00635636542667
66,203,2,2,1.64055299539,0.000109790775734
66,205,2,2,37.9539170507,0.0301711505773
66,211,2,2,1.60368663594,0.00107370291751
66,220,2,3,147.078341014,0.176070968623
66,221,2,2,54.801843318,0.0454879406686
66,236,2,2,128.331797235,0.200772662593
66,245,2,2,151.35483871,0.396187477756
66,251,2,3,13.3824884793,0.00335600776132
66,269,2,2,1.06912442396,0.00071414499606
66,272,2,3,14.4331797235,0.00511657692509
66,296,2,3,1.86175115207,0.00107213625922
66,321,2,3,76.202764977,0.0353908719593
66,330,2,3,140.66359447,0.148972275651
66,340,2,2,2.67281105991,0.00179784754253
66,343,2,4,18.7096774194,0.0045103894488
66,346,2,4,7.98156682028,0.00330210292262
66,361,2,2,4.81105990783,0.00326658322904
66,362,2,2,6.93087557604,0.0300127713921
66,374,2,3,83.1889400922,0.0397577429767
66,379,2,2,4.84792626728,0.000823557539012
66,385,2,2,11.7603686636,0.00823693451766
66,390,2,3,99.465437788,0.0567754588567
66,392,2,2,1.06912442396,0.00071414499606
66,396,2,4,18.1751152074,0.00605098124518
66,397,2,3,82.6543778802,0.042373372258
66,403,2,2,4.81105990783,0.00326658322904
66,417,2,2,1.06912442396,0.00071414499606
66,445,2,3,2.13824884793,0.000717466600693
66,446,2,2,1.06912442396,0.00071414499606
66,464,2,2,150.02764977,0.405983660124
66,465,2,2,1.06912442396,0.00071414499606
69,26,2,2,0.405529953917,0.00024721323265
69,27,2,2,70.6728110599,0.363458436704
69,34,2,2,1.16129032258,0.000297881729921
69,35,2,2,1.62211981567,0.00100278043667
69,39,2,2,0.608294930876,0.000371680219854
69,44,2,3,6.89400921659,0.00226941747573
69,45,2,3,3.85253456221,0.00122236518891
69,47,2,2,0.608294930876,0.000371680219854
69,48,2,2,0.608294930876,0.000371680219854
69,50,2,4,3.04147465438,0.000637208332368
69,51,2,3,68.4423963134,0.141563779269
69,52,2,2,7.39170506912,0.0548820486986
69,53,2,3,0.405529953917,0.000133244645697
69,59,2,3,0.811059907834,0.000248363061639
69,61,2,2,5.8801843318,0.00382356466499
69,68,2,2,0.258064516129,9.97302297286e-06
69,69,2,2,2.63594470046,0.00164887115744
69,71,2,2,6.48847926267,0.00425059170169
69,76,2,2,0.405529953917,0.00024721323265
69,89,2,2,5.8801843318,0.00382356466499
69,95,2,2,7.59447004608,0.0867003367003
69,121,2,2,0.608294930876,0.000371680219854
69,126,2,3,46.1382488479,0.0314512535807
69,129,2,2,0.405529953917,0.00024721323265
69,133,2,2,0.608294930876,0.000371680219854
69,148,2,2,0.405529953917,0.00024721323265
69,149,2,2,32.7557603687,0.0297552067082
69,154,2,2,0.405529953917,0.00024721323265
69,158,2,2,0.405529953917,0.00024721323265
69,170,2,2,0.608294930876,0.000371680219854
69,187,2,2,23.3732718894,0.0175781693722
69,192,2,2,0.405529953917,0.00024721323265
69,199,2,2,35.797235023,0.0353450256252
69,200,2,3,73.3087557604,0.263733282094
69,203,2,2,6.69124423963,0.00439435392102
69,205,2,2,65.6036866359,0.21688578902
69,211,2,2,0.608294930876,0.000371680219854
69,220,2,3,16.8847926267,0.00543984144057
69,221,2,2,57.6958525346,0.121308455745
69,236,2,2,25.2534562212,0.0187056849974
69,245,2,2,18.4516129032,0.0141668317813
69,251,2,3,8.11059907834,0.00271056133261
69,269,2,2,7.59447004608,0.0867003367003
69,272,2,3,5.47465437788,0.00177118866439
69,296,2,3,1.41935483871,0.000437689002069
69,321,2,3,50.801843318,0.0401593715332
69,330,2,3,19.1152073733,0.00651015886529
69,340,2,2,1.01382488479,0.000622354991287
69,343,2,4,7.09677419355,0.00156134673253
69,346,2,4,2.63594470046,0.000601174111385
69,361,2,2,1.82488479263,0.00113078241005
69,362,2,2,0.405529953917,0.00024721323265
69,374,2,3,38.2304147465,0.0202118194247
69,379,2,2,7.90783410138,0.00527221334644
69,385,2,2,11.5391705069,0.0190795823599
69,390,2,3,40.202764977,0.0231062231668
69,392,2,2,0.405529953917,0.00024721323265
69,396,2,4,3.29953917051,0.000550631824416
69,397,2,3,44.5161290323,0.0284448133877
69,403,2,2,1.82488479263,0.00113078241005
69,417,2,2,0.405529953917,0.00024721323265
69,445,2,3,0.811059907834,0.000248363061639
69,446,2,2,0.405529953917,0.00024721323265
