HA site,NS1 site,N alleles HA,N alleles NS1,Chi,ChiSqDf
52,35,2,2,0.147465437788,8.65332612223e-05
52,50,2,2,0.294930875576,0.000174691560214
52,63,2,2,0.0737327188941,4.30663221361e-05
52,86,2,3,0.36866359447,0.00010969723563
52,93,2,2,13.1244239631,0.0424567680382
52,98,2,2,1.62211981567,0.00104949314252
52,102,2,2,0.110599078341,6.47493659958e-05
52,104,2,3,0.331797235023,9.84952120383e-05
52,105,2,2,0.0737327188941,4.30663221361e-05
52,108,2,3,1.14285714286,0.000357781753131
52,109,2,3,1.65898617512,0.000538052250852
52,112,2,2,0.147465437788,8.65332612223e-05
52,113,2,2,0.0737327188941,4.30663221361e-05
52,114,2,2,11.4470046083,0.142695232281
52,115,2,6,11.8894009217,0.149809150657
52,116,2,3,0.995391705069,0.000308553796926
52,117,2,2,1.03225806452,0.000641539695269
52,118,2,2,0.36866359447,0.000219394471259
52,119,2,2,0.184331797235,0.00010841871307
52,122,2,3,0.184331797235,5.42093565349e-05
52,123,2,2,0.0737327188941,4.30663221361e-05
52,124,2,3,1.40092165899,0.000446323702138
52,127,2,2,3.48387096774,0.0141279069767
52,129,2,2,1.03225806452,0.000641539695269
52,138,2,3,0.73732718894,0.000224693854623
52,142,2,3,0.921658986175,0.000284300904077
52,143,2,3,2.59907834101,0.00155080180678
52,149,2,2,0.0737327188941,4.30663221361e-05
52,155,2,2,0.110599078341,6.47493659958e-05
52,162,2,2,0.110599078341,6.47493659958e-05
52,178,2,2,1.2534562212,0.000790697674419
52,184,2,2,0.294930875576,0.000174691560214
52,196,2,2,0.847926267281,0.000520568098229
52,199,2,2,0.331797235023,0.000196990424077
52,202,2,3,0.294930875576,8.7345780107e-05
52,206,2,2,0.626728110599,0.000379231498522
52,213,2,3,3.22580645161,0.00417412045319
52,217,2,3,0.774193548387,0.000236499802917
52,224,2,2,0.0737327188941,4.30663221361e-05
52,236,2,2,0.0737327188941,4.30663221361e-05
52,239,2,2,0.110599078341,6.47493659958e-05
52,249,2,2,0.958525345622,0.000592795257638
52,254,2,2,0.405529953917,0.000241904447743
52,257,2,2,7.92626728111,0.497685185185
52,264,2,2,1.1797235023,0.00074048362837
52,281,2,2,0.847926267281,0.000520568098229
55,35,2,2,4.01843317972,0.0031198568873
55,50,2,2,8.03686635945,0.00629830263633
55,63,2,2,2.00921658986,0.00155270655271
55,86,2,3,6.04608294931,0.00158566463829
55,93,2,2,70.3594470046,0.0592447473338
55,98,2,2,40.202764977,0.0312999886493
55,102,2,2,3.01382488479,0.00233446368017
55,104,2,3,4.01843317972,0.00222511519781
55,105,2,2,2.00921658986,0.00155270655271
55,108,2,3,27.1428571429,0.00981222704971
55,109,2,3,41.2073732719,0.0161241910494
55,112,2,2,0.0184331797235,6.56480280974e-08
55,113,2,2,2.00921658986,0.00155270655271
55,114,2,2,15.069124424,0.0120066091426
55,115,2,6,221.013824885,0.0864154116428
55,116,2,3,23.1244239631,0.00815025457227
55,117,2,2,24.1290322581,0.0170194437009
55,118,2,2,17.9539170507,0.025264004474
55,119,2,2,5.02304147465,0.00390891160122
55,122,2,3,5.02304147465,0.00195445580061
55,123,2,2,2.00921658986,0.00155270655271
55,124,2,3,34.1751152074,0.0129537435042
55,127,2,2,14.064516129,0.0111794871795
55,129,2,2,24.1290322581,0.0170194437009
55,138,2,3,28.9493087558,0.0330124602163
55,142,2,3,21.1152073733,0.00729181512879
55,143,2,3,32.1843317972,0.0109529885096
55,149,2,2,2.00921658986,0.00155270655271
55,155,2,2,0.986175115207,0.000249953470754
55,162,2,2,0.986175115207,0.000249953470754
55,178,2,2,30.1566820276,0.0222217277596
55,184,2,2,3.96313364055,0.00153153690432
55,196,2,2,19.1059907834,0.0128327309026
55,199,2,2,22.9585253456,0.0457937444938
55,202,2,3,8.03686635945,0.00314915131817
55,206,2,2,2.92165898618,0.000400150799697
55,213,2,3,31.1428571429,0.012899408284
55,217,2,3,19.9631336406,0.0215995699455
55,224,2,2,1.99078341014,0.00152434721242
