time point,time step size,N strains,N haplotypes usable,site 1,site 2,number of polymoprhisms at site 1,number of polymoprhisms at site 2,minor allele freq site 1,minor allele freq site 2,D,|D'|,Chi,ChiSqDf
1980,40,1603,1603,18,15,2,2,0.08109794136,0.000623830318153,-5.05913545602e-05,1.0,0.0883103520464,5.50906750133e-05
1980,40,1603,1603,18,20,2,3,0.08109794136,0.000623830318153,NaN,NaN,0.176731023083,5.51250851789e-05
1980,40,1603,1603,18,22,2,2,0.08109794136,0.00124766063631,-0.00010118270912,1.0,0.176731023083,0.000110250170358
1980,40,1603,1603,18,26,2,2,0.08109794136,0.00374298190892,-0.000303548127361,1.0,0.531521041872,0.000331578940656
1980,40,1603,1603,18,33,2,2,0.08109794136,0.000623830318153,-5.05913545602e-05,1.0,0.0883103520464,5.50906750133e-05
1980,40,1603,1603,18,35,2,2,0.08109794136,0.000623830318153,-5.05913545602e-05,1.0,0.0883103520464,5.50906750133e-05
1980,40,1603,1603,18,46,2,3,0.08109794136,0.000623830318153,NaN,NaN,0.176731023083,5.51250851789e-05
1980,40,1603,1603,18,48,2,2,0.08109794136,0.000623830318153,-5.05913545602e-05,1.0,0.0883103520464,5.50906750133e-05
1980,40,1603,1603,18,49,2,2,0.08109794136,0.000623830318153,-5.05913545602e-05,1.0,0.0883103520464,5.50906750133e-05
1980,40,1603,1603,18,55,2,2,0.08109794136,0.000623830318153,-5.05913545602e-05,1.0,0.0883103520464,5.50906750133e-05
1980,40,1603,1603,18,60,2,2,0.08109794136,0.000623830318153,-5.05913545602e-05,1.0,0.0883103520464,5.50906750133e-05
1980,40,1603,1603,18,64,2,2,0.08109794136,0.00249532127261,-0.000202365418241,1.0,0.353904150039,0.000220776138515
1980,40,1603,1603,18,73,2,2,0.08109794136,0.000623830318153,-5.05913545602e-05,1.0,0.0883103520464,5.50906750133e-05
1980,40,1603,1603,18,77,2,2,0.08109794136,0.00374298190892,-0.000303548127361,1.0,0.531521041872,0.000331578940656
1980,40,1603,1603,18,94,2,2,0.08109794136,0.000623830318153,-5.05913545602e-05,1.0,0.0883103520464,5.50906750133e-05
1980,40,1603,1603,18,97,2,3,0.08109794136,0.000623830318153,NaN,NaN,0.176731023083,5.51250851789e-05
1980,40,1603,1603,18,101,2,2,0.08109794136,0.00124766063631,-0.00010118270912,1.0,0.176731023083,0.000110250170358
1980,40,1603,1603,18,105,2,2,0.08109794136,0.292576419214,0.0130786434823,0.227967711301,17.7771041947,0.0110898965656
1980,40,1603,1603,18,115,2,3,0.08109794136,0.000623830318153,NaN,NaN,0.176731023083,5.51250851789e-05
1980,40,1603,1603,18,123,2,3,0.08109794136,0.000623830318153,NaN,NaN,0.353904150039,0.000110388069257
1980,40,1603,1603,18,124,2,2,0.08109794136,0.00187149095446,-0.00015177406368,1.0,0.265262219959,0.000165478615071
1980,40,1603,1603,18,130,2,2,0.08109794136,0.000623830318153,-5.05913545602e-05,1.0,0.0883103520464,5.50906750133e-05
