time point,time step size,N strains,N haplotypes usable,site 1,site 2,number of polymoprhisms at site 1,number of polymoprhisms at site 2,minor allele freq site 1,minor allele freq site 2,D,|D'|,Chi,ChiSqDf
1980,40,1603,1603,2,3,2,2,0.00124766063631,0.00124766063631,-1.55665706347e-06,1.00000000005,0.00250155957336,1.56054870453e-06
1980,40,1603,1603,2,4,2,3,0.00124766063631,0.000623830318153,NaN,NaN,0.00250155957336,7.80274352265e-07
1980,40,1603,1603,2,5,2,2,0.00124766063631,0.000623830318153,-7.78328531736e-07,1.00000000005,0.00124999902527,7.79787289623e-07
1980,40,1603,1603,2,6,2,2,0.00124766063631,0.00124766063631,-1.55665706347e-06,1.00000000005,0.00250155957336,1.56054870453e-06
1980,40,1603,1603,2,9,2,2,0.00124766063631,0.00124766063631,-1.55665706347e-06,1.00000000005,0.00250155957336,1.56054870453e-06
1980,40,1603,1603,2,11,2,2,0.00124766063631,0.00311915159077,-3.89164265846e-06,0.999999999996,0.00626563966982,3.90869598866e-06
1980,40,1603,1603,2,14,2,4,0.00124766063631,0.000623830318153,NaN,NaN,0.00500937695679,1.04166707357e-06
1980,40,1603,1603,2,21,2,2,0.00124766063631,0.000623830318153,-7.78328531736e-07,1.00000000005,0.00124999902527,7.79787289623e-07
1980,40,1603,1603,2,22,2,2,0.00124766063631,0.000623830318153,-7.78328531736e-07,1.00000000005,0.00124999902527,7.79787289623e-07
1980,40,1603,1603,2,26,2,4,0.00124766063631,0.000623830318153,NaN,NaN,0.00752347566115,1.5644574051e-06
1980,40,1603,1603,2,28,2,2,0.00124766063631,0.000623830318153,-7.78328531736e-07,1.00000000005,0.00124999902527,7.79787289623e-07
1980,40,1603,1603,2,30,2,3,0.00124766063631,0.00124766063631,NaN,NaN,0.107958495697,3.3673891359e-05
1980,40,1603,1603,2,32,2,2,0.00124766063631,0.000623830318153,-7.78328531736e-07,1.00000000005,0.00124999902527,7.79787289623e-07
1980,40,1603,1603,2,39,2,2,0.00124766063631,0.000623830318153,-7.78328531736e-07,1.00000000005,0.00124999902527,7.79787289623e-07
1980,40,1603,1603,2,44,2,3,0.00124766063631,0.000623830318153,NaN,NaN,0.0982901720456,3.06581946493e-05
1980,40,1603,1603,2,46,2,3,0.00124766063631,0.00124766063631,NaN,NaN,0.00626563966982,1.95434799433e-06
1980,40,1603,1603,2,49,2,3,0.00124766063631,0.000623830318153,NaN,NaN,0.00250155957336,7.80274352265e-07
1980,40,1603,1603,2,50,2,3,0.00124766063631,0.000623830318153,NaN,NaN,0.0240198676332,7.49216083382e-06
1980,40,1603,1603,2,51,2,2,0.00124766063631,0.00124766063631,-1.55665706347e-06,1.00000000005,0.00250155957336,1.56054870453e-06
1980,40,1603,1603,2,52,2,5,0.00124766063631,0.00124766063631,NaN,NaN,0.0201890201737,3.14863071954e-06
1980,40,1603,1603,2,53,2,3,0.00124766063631,0.00124766063631,NaN,NaN,0.0163726287423,5.10687109865e-06
1980,40,1603,1603,2,55,2,2,0.00124766063631,0.336868371803,-0.000420297407115,1.0,1.01726167147,0.000634598672161
1980,40,1603,1603,2,57,2,2,0.00124766063631,0.00499064254523,-6.22662825356e-06,1.0,0.0100438793152,6.26567642872e-06
