HA site,NA site,N alleles HA,N alleles NA,Chi,ChiSqDf
52,26,2,2,0.0737327188941,4.30663221361e-05
52,27,2,2,1.69585253456,0.00110285303285
52,34,2,2,11.4838709677,0.153507751938
52,35,2,2,0.294930875576,0.000174691560214
52,39,2,2,0.110599078341,6.47493659958e-05
52,44,2,3,1.2534562212,0.000395348837209
52,45,2,3,0.700460829493,0.000212944802466
52,47,2,2,0.110599078341,6.47493659958e-05
52,48,2,2,0.110599078341,6.47493659958e-05
52,50,2,4,0.552995391705,0.000111006271854
52,51,2,3,2.24884792627,0.000760645925556
52,52,2,2,0.110599078341,6.47493659958e-05
52,53,2,3,0.73732718894,0.000224693854623
52,59,2,3,0.147465437788,4.32666306111e-05
52,61,2,2,1.06912442396,0.000666092449038
52,68,2,2,0.774193548387,0.000472999605834
52,69,2,2,0.479262672811,0.000287245207977
52,71,2,2,1.1797235023,0.00074048362837
52,76,2,2,0.0737327188941,4.30663221361e-05
52,89,2,2,1.06912442396,0.000666092449038
52,95,2,2,0.0737327188941,4.30663221361e-05
52,121,2,2,0.110599078341,6.47493659958e-05
52,126,2,3,7.41013824885,0.00401237648468
52,129,2,2,0.0737327188941,4.30663221361e-05
52,133,2,2,0.110599078341,6.47493659958e-05
52,148,2,2,0.0737327188941,4.30663221361e-05
52,149,2,2,7.41013824885,0.00802475296936
52,154,2,2,0.0737327188941,4.30663221361e-05
52,158,2,2,0.0737327188941,4.30663221361e-05
52,170,2,2,0.110599078341,6.47493659958e-05
52,187,2,2,4.97695852535,0.00420004666719
52,192,2,2,0.0737327188941,4.30663221361e-05
52,199,2,2,7.96313364055,0.00921698314487
52,200,2,3,1.29032258065,0.000407996736026
52,203,2,2,1.21658986175,0.000765528040364
52,205,2,2,2.61751152074,0.00181946313025
52,211,2,2,11.8894009217,0.748259860789
52,220,2,3,3.79723502304,0.00144734068714
52,221,2,2,4.05529953917,0.00315819695665
52,236,2,2,6.04608294931,0.00565030146425
52,245,2,2,3.35483870968,0.00246796392976
52,251,2,3,1.47465437788,0.000472199268091
52,269,2,2,0.0737327188941,4.30663221361e-05
52,272,2,3,3.29953917051,0.00477882466867
52,296,2,3,0.258064516129,7.62485703393e-05
52,321,2,3,5.30875576037,0.0055776490591
52,330,2,3,4.20276497696,0.00165697674419
52,340,2,2,0.184331797235,0.00010841871307
52,343,2,4,3.18894009217,0.00261952449835
52,346,2,4,1.03225806452,0.00021384656509
52,361,2,2,0.331797235023,0.000196990424077
52,362,2,2,0.0737327188941,4.30663221361e-05
52,374,2,3,8.40552995392,0.00514788891398
52,379,2,2,1.43778801843,0.000918457462467
52,385,2,2,3.18894009217,0.00767898561136
52,390,2,3,8.70046082949,0.00554381019497
