time point,time step size,N strains,N haplotypes usable,site 1,site 2,number of polymoprhisms at site 1,number of polymoprhisms at site 2,minor allele freq site 1,minor allele freq site 2,D,|D'|,Chi,ChiSqDf
1980,40,1603,1603,4,6,3,2,0.000623830318153,0.00311915159077,NaN,NaN,0.00626563966982,1.95434799433e-06
1980,40,1603,1603,4,7,3,2,0.000623830318153,0.00249532127261,NaN,NaN,0.00500937695679,1.56250061035e-06
1980,40,1603,1603,4,9,3,4,0.000623830318153,0.000623830318153,NaN,NaN,0.0240198676332,2.49738694461e-06
1980,40,1603,1603,4,14,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,15,3,4,0.000623830318153,0.000623830318153,NaN,NaN,0.00500937695679,5.20833536784e-07
1980,40,1603,1603,4,16,3,3,0.000623830318153,0.00124766063631,NaN,NaN,0.00752347566115,1.17334305383e-06
1980,40,1603,1603,4,18,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,24,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,28,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,35,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.00752347566115,1.17334305383e-06
1980,40,1603,1603,4,39,3,3,0.000623830318153,0.00249532127261,NaN,NaN,0.0125706116665,1.96048216883e-06
1980,40,1603,1603,4,43,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,50,3,4,0.000623830318153,0.000623830318153,NaN,NaN,0.0138363585573,1.43858999348e-06
1980,40,1603,1603,4,51,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,56,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,57,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.00250155957336,3.90137176132e-07
1980,40,1603,1603,4,59,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,60,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,61,3,2,0.000623830318153,0.00499064254523,NaN,NaN,0.0100438793152,3.13283821436e-06
1980,40,1603,1603,4,62,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.00375468457214,5.85571517801e-07
1980,40,1603,1603,4,63,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.0163726287423,2.55343554932e-06
1980,40,1603,1603,4,65,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,66,3,4,0.000623830318153,0.000623830318153,NaN,NaN,0.00375468457214,3.90381011868e-07
1980,40,1603,1603,4,67,3,2,0.000623830318153,0.00187149095446,NaN,NaN,0.00375468457214,1.1711430356e-06
1980,40,1603,1603,4,70,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,71,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,72,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.00375468457214,5.85571517801e-07
1980,40,1603,1603,4,73,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.00375468457214,5.85571517801e-07
1980,40,1603,1603,4,74,3,2,0.000623830318153,0.00124766063631,NaN,NaN,0.00250155957336,7.80274352265e-07
1980,40,1603,1603,4,75,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,76,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.00250155957336,3.90137176132e-07
1980,40,1603,1603,4,80,3,5,0.000623830318153,0.000623830318153,NaN,NaN,0.0163726287423,1.27671777466e-06
1980,40,1603,1602,4,83,3,2,0.000624219725343,0.00561797752809,NaN,NaN,0.011313559322,3.53107344633e-06
1980,40,1603,1603,4,84,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,86,3,2,0.000623830318153,0.00124766063631,NaN,NaN,0.00250155957336,7.80274352265e-07
1980,40,1603,1603,4,88,3,2,0.000623830318153,0.00311915159077,NaN,NaN,0.00626563966982,1.95434799433e-06
1980,40,1603,1603,4,90,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,91,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,92,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,93,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.193127414381,3.01196840894e-05
1980,40,1603,1603,4,94,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1602,4,95,3,2,0.000624219725343,0.00187265917603,NaN,NaN,0.00375703564728,1.17260787992e-06
1980,40,1603,1603,4,96,3,3,0.000623830318153,0.00124766063631,NaN,NaN,0.00752347566115,1.17334305383e-06
1980,40,1603,1603,4,98,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.1649593582,2.57266622271e-05
1980,40,1603,1603,4,99,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.00250155957336,3.90137176132e-07
1980,40,1603,1603,4,100,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.00250155957336,3.90137176132e-07
1980,40,1603,1603,4,101,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,102,3,3,0.000623830318153,0.00124766063631,NaN,NaN,0.0100438793152,1.56641910718e-06
1980,40,1603,1603,4,103,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,4,104,3,5,0.000623830318153,0.000623830318153,NaN,NaN,0.0317252604321,2.47389741361e-06
1980,40,1603,1603,4,105,3,3,0.000623830318153,0.00249532127261,NaN,NaN,0.0113064529149,1.76332702977e-06
1980,40,1603,1602,4,106,3,4,0.000624219725343,0.00249687890137,NaN,NaN,0.307078833693,3.19474442045e-05
1980,40,1603,1603,4,107,3,5,0.000623830318153,0.000623830318153,NaN,NaN,0.0982901720456,7.66454866232e-06
