NA site,NS1 site,N alleles NA,N alleles NS1,Chi,ChiSqDf
26,35,2,2,0.0737327188941,4.30663221361e-05
26,50,2,2,0.147465437788,8.69414014954e-05
26,63,2,2,0.036866359447,2.14334705075e-05
26,86,2,3,0.184331797235,5.45946890287e-05
26,93,2,2,2.56221198157,0.00322130056447
26,98,2,2,3.18894009217,0.00807460286627
26,102,2,2,0.0552995391705,3.22248002062e-05
26,104,2,3,0.165898617512,4.90196078431e-05
26,105,2,2,0.036866359447,2.14334705075e-05
26,108,2,3,3.46543778802,0.00696900481383
26,109,2,3,3.20737327189,0.00417170398712
26,112,2,2,0.0737327188941,4.30663221361e-05
26,113,2,2,0.036866359447,2.14334705075e-05
26,114,2,2,0.276497695853,0.000165738530894
26,115,2,6,7.39170506912,0.0112514029181
26,116,2,3,3.61290322581,0.0102621560955
26,117,2,2,3.48387096774,0.0145474137931
26,118,2,2,0.184331797235,0.000109189378057
26,119,2,2,0.0921658986175,5.39583872917e-05
26,122,2,3,0.0921658986175,2.69791936459e-05
26,123,2,2,0.036866359447,2.14334705075e-05
26,124,2,3,3.48387096774,0.00728932846988
26,127,2,2,0.258064516129,0.000154320987654
26,129,2,2,3.48387096774,0.0145474137931
26,138,2,3,0.36866359447,0.000111826802648
26,142,2,3,3.61290322581,0.0102591385191
26,143,2,3,3.29953917051,0.00493204599202
26,149,2,2,0.036866359447,2.14334705075e-05
26,155,2,2,0.0552995391705,3.22248002062e-05
26,162,2,2,0.0552995391705,3.22248002062e-05
26,178,2,2,0.626728110599,0.000393518518519
26,184,2,2,0.147465437788,8.69414014954e-05
26,196,2,2,3.57603686636,0.0184323220925
26,199,2,2,0.165898617512,9.80392156863e-05
26,202,2,3,0.147465437788,4.34707007477e-05
26,206,2,2,0.3133640553,0.00018873789857
26,213,2,3,0.571428571429,0.000178062678063
26,217,2,3,0.387096774194,0.000117702448211
26,224,2,2,0.036866359447,2.14334705075e-05
26,236,2,2,0.036866359447,2.14334705075e-05
26,239,2,2,0.0552995391705,3.22248002062e-05
26,249,2,2,3.52073732719,0.015921334702
26,254,2,2,0.202764976959,0.000120392259872
26,257,2,2,0.036866359447,2.14334705075e-05
26,264,2,2,0.589861751152,0.000368527731712
26,281,2,2,3.57603686636,0.0184323220925
27,35,2,2,1.69585253456,0.00110285303285
27,50,2,2,3.39170506912,0.00222641692077
27,63,2,2,0.847926267281,0.000548873615884
27,86,2,3,0.847926267281,0.00030842206304
27,93,2,2,58.930875576,0.0824918618776
27,98,2,2,18.6543778802,0.0133756278086
27,102,2,2,2.72811059908,0.00379660434093
27,104,2,3,3.81566820276,0.00125530624621
27,105,2,2,0.847926267281,0.000548873615884
27,108,2,3,3.70506912442,0.000648268252868
27,109,2,3,19.0783410138,0.00685739273315
27,112,2,2,1.69585253456,0.00110285303285
27,113,2,2,3.15207373272,0.00758488346033
27,114,2,2,29.6405529954,0.0922013416932
27,115,2,6,26.2857142857,0.00411254965873
27,116,2,3,8.90322580645,0.00666085179756
27,117,2,2,3.87096774194,0.000869410655497
27,118,2,2,4.23963133641,0.00279614860922
27,119,2,2,2.1198156682,0.0013817797323
27,122,2,3,2.72811059908,0.00216461410993
27,123,2,2,0.847926267281,0.000548873615884
27,124,2,3,35.7603686636,0.0995329810883
27,127,2,2,5.93548387097,0.00395189003436
27,129,2,2,3.87096774194,0.000869410655497
27,138,2,3,32.1843317972,0.0903500466635
27,142,2,3,10.599078341,0.0036233710584
27,143,2,3,27.8894009217,0.0172375854621
27,149,2,2,0.847926267281,0.000548873615884
27,155,2,2,1.27188940092,0.000825220656828
27,162,2,2,1.27188940092,0.000825220656828
27,178,2,2,14.4147465438,0.0100773195876
27,184,2,2,3.39170506912,0.00222641692077
27,196,2,2,1.75115207373,0.00021396758589
27,199,2,2,3.81566820276,0.00251061249242
27,202,2,3,1.45622119816,0.000542399774412
27,206,2,2,32.7926267281,0.100054667685
27,213,2,3,35.7603686636,0.0998402464113
27,217,2,3,8.90322580645,0.00301415341604
27,224,2,2,0.847926267281,0.000548873615884
27,236,2,2,0.847926267281,0.000548873615884
27,239,2,2,1.27188940092,0.000825220656828
27,249,2,2,3.02304147465,0.000568230602243
27,254,2,2,23.33640553,0.0771977767124
27,257,2,2,0.847926267281,0.000548873615884
27,264,2,2,14.4331797235,0.0106811478522
27,281,2,2,1.75115207373,0.00021396758589
34,35,2,2,0.516129032258,0.00031007751938
34,50,2,2,1.03225806452,0.000625978090767
34,63,2,2,0.258064516129,0.000154320987654
34,86,2,3,30.7096774194,0.226347708895
34,93,2,2,41.935483871,0.12679463171
34,98,2,2,5.67741935484,0.00376068376068
34,102,2,2,0.387096774194,0.000232018561485
34,104,2,3,7.35483870968,0.0253613445378
34,105,2,2,0.258064516129,0.000154320987654
34,108,2,3,4.0,0.00128205128205
34,109,2,3,5.8064516129,0.00192802056555
34,112,2,2,0.516129032258,0.00031007751938
34,113,2,2,0.258064516129,0.000154320987654
