PA site,NS1 site,N alleles PA,N alleles NS1,Chi,ChiSqDf
19,35,2,2,0.110599078341,6.47493659958e-05
19,50,2,2,0.221198156682,0.000130714682527
19,63,2,2,0.0552995391705,3.22248002062e-05
19,86,2,3,0.276497695853,8.20820382612e-05
19,93,2,2,2.15668202765,0.00152506582549
19,98,2,2,1.21658986175,0.000785293592718
19,102,2,2,0.0829493087557,4.84493515862e-05
19,104,2,3,0.248847926267,7.37000136482e-05
19,105,2,2,0.0552995391705,3.22248002062e-05
19,108,2,3,0.857142857143,0.00026771372479
19,109,2,3,1.24423963134,0.00040260290232
19,112,2,2,0.110599078341,6.47493659958e-05
19,113,2,2,0.0552995391705,3.22248002062e-05
19,114,2,2,0.414746543779,0.000249184612573
19,115,2,6,6.80184331797,0.00182159253591
19,116,2,3,0.746543778802,0.000230878421134
19,117,2,2,0.774193548387,0.000480038403072
19,118,2,2,0.276497695853,0.000164164076522
19,119,2,2,0.138248847926,8.11253711486e-05
19,122,2,3,0.138248847926,4.05626855743e-05
19,123,2,2,0.0552995391705,3.22248002062e-05
19,124,2,3,1.05069124424,0.000333966111228
19,127,2,2,0.387096774194,0.000232018561485
19,129,2,2,0.774193548387,0.000480038403072
19,138,2,3,0.552995391705,0.00016812939238
19,142,2,3,0.691244239631,0.000212730954907
19,143,2,3,1.10599078341,0.000353327758606
19,149,2,2,0.0552995391705,3.22248002062e-05
19,155,2,2,0.0829493087557,4.84493515862e-05
19,162,2,2,0.0829493087557,4.84493515862e-05
19,178,2,2,0.940092165899,0.000591647331787
19,184,2,2,0.221198156682,0.000130714682527
19,196,2,2,0.635944700461,0.000389520212712
19,199,2,2,0.248847926267,0.000147400027296
19,202,2,3,0.221198156682,6.53573412634e-05
19,206,2,2,0.470046082949,0.000283763708291
19,213,2,3,0.857142857143,0.00026771372479
19,217,2,3,0.58064516129,0.000176963309607
19,224,2,2,0.0552995391705,3.22248002062e-05
19,236,2,2,0.0552995391705,3.22248002062e-05
19,239,2,2,0.0829493087557,4.84493515862e-05
19,249,2,2,0.718894009217,0.000443564896956
19,254,2,2,0.304147465438,0.000181007388392
19,257,2,2,0.0552995391705,3.22248002062e-05
19,264,2,2,0.884792626728,0.00055407417668
19,281,2,2,0.635944700461,0.000389520212712
30,35,2,2,0.0737327188941,4.30663221361e-05
30,50,2,2,0.147465437788,8.69414014954e-05
30,63,2,2,0.036866359447,2.14334705075e-05
30,86,2,3,0.184331797235,5.45946890287e-05
30,93,2,2,1.43778801843,0.00101435705368
30,98,2,2,0.811059907834,0.000522317188984
30,102,2,2,0.0552995391705,3.22248002062e-05
30,104,2,3,0.165898617512,4.90196078431e-05
30,105,2,2,0.036866359447,2.14334705075e-05
30,108,2,3,0.571428571429,0.000178062678063
30,109,2,3,0.829493087558,0.000267780634105
30,112,2,2,0.0737327188941,4.30663221361e-05
30,113,2,2,3.96313364055,0.247690543553
30,114,2,2,0.276497695853,0.000165738530894
30,115,2,6,4.53456221198,0.00121158392435
30,116,2,3,0.497695852535,0.000153562653563
30,117,2,2,0.516129032258,0.000319284802043
30,118,2,2,0.184331797235,0.000109189378057
30,119,2,2,0.0921658986175,5.39583872917e-05
30,122,2,3,0.0921658986175,2.69791936459e-05
30,123,2,2,0.036866359447,2.14334705075e-05
30,124,2,3,0.700460829493,0.000222128694351
30,127,2,2,0.258064516129,0.000154320987654
30,129,2,2,0.516129032258,0.000319284802043
30,138,2,3,0.36866359447,0.000111826802648
30,142,2,3,0.460829493088,0.000141492348094
30,143,2,3,0.73732718894,0.000235006580184
30,149,2,2,0.036866359447,2.14334705075e-05
30,155,2,2,0.0552995391705,3.22248002062e-05
30,162,2,2,0.0552995391705,3.22248002062e-05
30,178,2,2,0.626728110599,0.000393518518519
30,184,2,2,0.147465437788,8.69414014954e-05
30,196,2,2,0.423963133641,0.000259079030369
30,199,2,2,0.165898617512,9.80392156863e-05
30,202,2,3,0.147465437788,4.34707007477e-05
30,206,2,2,0.3133640553,0.00018873789857
30,213,2,3,0.571428571429,0.000178062678063
30,217,2,3,0.387096774194,0.000117702448211
30,224,2,2,0.036866359447,2.14334705075e-05
30,236,2,2,0.036866359447,2.14334705075e-05
30,239,2,2,0.0552995391705,3.22248002062e-05
30,249,2,2,0.479262672811,0.000295025417574
30,254,2,2,0.202764976959,0.000120392259872
30,257,2,2,0.036866359447,2.14334705075e-05
30,264,2,2,0.589861751152,0.000368527731712
30,281,2,2,0.423963133641,0.000259079030369
