PB1 site,PB2 site,N alleles PB1,N alleles PB2,Chi,ChiSqDf
66,14,2,2,5.86175115207,0.0107837533485
66,16,2,2,1.60368663594,0.00107370291751
66,65,2,2,1.06912442396,0.00071414499606
66,77,2,2,1.06912442396,0.00071414499606
66,104,2,2,49.8433179724,0.170081011384
66,107,2,2,1.06912442396,0.00071414499606
66,109,2,3,4.27649769585,0.00144840675257
66,115,2,2,102.967741935,0.123599902177
66,199,2,2,1.06912442396,0.00071414499606
66,261,2,2,1.06912442396,0.00071414499606
66,272,2,2,1.06912442396,0.00071414499606
66,301,2,2,101.898617512,0.120764859581
66,346,2,2,0.792626728111,0.000132064485753
66,353,2,2,6.39631336406,0.0170806572327
66,382,2,2,70.9493087558,0.0579137879433
66,383,2,2,105.898617512,0.130432127456
66,393,2,2,1.06912442396,0.00071414499606
66,397,2,2,102.433179724,0.122174766904
66,442,2,2,148.68202765,0.367766913432
66,468,2,2,102.967741935,0.123599902177
66,483,2,2,99.465437788,0.113416904557
66,506,2,2,2.93087557604,0.00536691428222
66,555,2,3,23.5207373272,0.00870158210584
66,559,2,2,1.06912442396,0.00071414499606
66,611,2,2,2.13824884793,0.00143493320139
66,627,2,2,2.13824884793,0.00143493320139
66,639,2,2,102.967741935,0.123599902177
66,640,2,2,2.13824884793,0.00143493320139
66,719,2,2,9.89861751152,0.00498607966523
69,14,2,2,0.811059907834,0.000496726123278
69,16,2,2,0.608294930876,0.000371680219854
69,65,2,2,0.405529953917,0.00024721323265
69,77,2,2,0.405529953917,0.00024721323265
69,104,2,2,3.85253456221,0.00244473037782
69,107,2,2,0.405529953917,0.00024721323265
69,109,2,3,1.62211981567,0.000501390218333
69,115,2,2,30.3225806452,0.0257895646245
69,199,2,2,0.405529953917,0.00024721323265
69,261,2,2,0.405529953917,0.00024721323265
69,272,2,2,0.405529953917,0.00024721323265
69,301,2,2,30.7281105991,0.02642236291
69,346,2,2,1.21658986175,0.000748570910081
69,353,2,2,0.608294930876,0.000371680219854
69,382,2,2,33.3640552995,0.0308133729719
69,383,2,2,30.7281105991,0.02642236291
69,393,2,2,3.59447004608,0.0194220726684
69,397,2,2,30.5253456221,0.026104617381
69,442,2,2,7.46543778802,0.00223080807355
69,468,2,2,30.3225806452,0.0257895646245
69,483,2,2,36.202764977,0.0361503758226
69,506,2,2,0.405529953917,0.00024721323265
69,555,2,3,4.92165898618,0.00105658904203
69,559,2,2,0.405529953917,0.00024721323265
69,611,2,2,0.811059907834,0.000496726123278
69,627,2,2,0.811059907834,0.000496726123278
69,639,2,2,30.3225806452,0.0257895646245
69,640,2,2,0.811059907834,0.000496726123278
69,719,2,2,1.27188940092,0.000198063643952
94,14,2,2,0.110599078341,6.47493659958e-05
94,16,2,2,0.0829493087557,4.84493515862e-05
94,65,2,2,3.94470046083,0.163974105583
94,77,2,2,0.0552995391705,3.22248002062e-05
94,104,2,2,3.47465437788,0.0139406324774
94,107,2,2,0.0552995391705,3.22248002062e-05
94,109,2,3,0.221198156682,6.53573412634e-05
94,115,2,2,2.77419354839,0.0015132356973
94,199,2,2,0.0552995391705,3.22248002062e-05
94,261,2,2,0.0552995391705,3.22248002062e-05
94,272,2,2,0.0552995391705,3.22248002062e-05
94,301,2,2,2.71889400922,0.00145012642386
94,346,2,2,0.165898617511,9.75778996899e-05
94,353,2,2,0.0829493087557,4.84493515862e-05
94,382,2,2,2.35944700461,0.00108024782932
94,383,2,2,2.71889400922,0.00145012642386
94,393,2,2,0.0552995391705,3.22248002062e-05
94,397,2,2,2.7465437788,0.00148146220406
94,442,2,2,1.34562211982,0.000508064971299
94,468,2,2,2.77419354839,0.0015132356973
94,483,2,2,1.97235023041,0.000752174796251
94,506,2,2,0.0552995391705,3.22248002062e-05
94,555,2,3,1.21658986175,0.000392646796359
94,559,2,2,0.0552995391705,3.22248002062e-05
94,611,2,2,0.110599078341,6.47493659958e-05
94,627,2,2,0.110599078341,6.47493659958e-05
94,639,2,2,2.77419354839,0.0015132356973
94,640,2,2,0.110599078341,6.47493659958e-05
94,719,2,2,3.28110599078,0.00923991465823
