time point,time step size,N strains,N haplotypes usable,site 1,site 2,number of polymoprhisms at site 1,number of polymoprhisms at site 2,minor allele freq site 1,minor allele freq site 2,D,|D'|,Chi,ChiSqDf
1980,40,1603,1603,6,7,2,2,0.00311915159077,0.00249532127261,-7.78328531681e-06,0.999999999982,0.012546953235,7.82716982845e-06
1980,40,1603,1603,6,9,2,4,0.00311915159077,0.000623830318153,NaN,NaN,0.0601624031302,1.25103770285e-05
1980,40,1603,1603,6,14,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,15,2,4,0.00311915159077,0.000623830318153,NaN,NaN,0.012546953235,2.60905660948e-06
1980,40,1603,1603,6,16,2,3,0.00311915159077,0.00124766063631,NaN,NaN,0.0188439995831,5.8777291276e-06
1980,40,1603,1603,6,18,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,24,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,28,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,35,2,3,0.00311915159077,0.000623830318153,NaN,NaN,0.0188439995831,5.8777291276e-06
1980,40,1603,1603,6,39,2,3,0.00311915159077,0.00249532127261,NaN,NaN,0.0314855276566,9.82081336762e-06
1980,40,1603,1603,6,43,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,50,2,4,0.00311915159077,0.000623830318153,NaN,NaN,0.0346558354979,7.20645362817e-06
1980,40,1603,1603,6,51,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,56,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,57,2,3,0.00311915159077,0.000623830318153,NaN,NaN,0.00626563966982,1.95434799433e-06
1980,40,1603,1603,6,59,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,60,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,61,2,2,0.00311915159077,0.00499064254523,-1.55665706338e-05,0.999999999996,0.0251568378969,1.5693598189e-05
1980,40,1603,1603,6,62,2,3,0.00311915159077,0.000623830318153,NaN,NaN,0.00940433354193,2.93335419274e-06
1980,40,1603,1603,6,63,2,3,0.00311915159077,0.000623830318153,NaN,NaN,0.0410084146063,1.27911461654e-05
1980,40,1603,1603,6,65,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,66,2,4,0.00311915159077,0.000623830318153,NaN,NaN,0.00940433354193,1.95556946183e-06
1980,40,1603,1603,6,67,2,2,0.00311915159077,0.00187149095446,-5.83746398775e-06,1.00000000001,0.00940433354193,5.86670838548e-06
1980,40,1603,1603,6,70,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,71,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,72,2,3,0.00311915159077,0.000623830318153,NaN,NaN,0.00940433354193,2.93335419274e-06
1980,40,1603,1603,6,73,2,3,0.00311915159077,0.000623830318153,NaN,NaN,0.00940433354193,2.93335419274e-06
1980,40,1603,1603,6,74,2,2,0.00311915159077,0.00124766063631,-3.89164265846e-06,0.999999999996,0.00626563966982,3.90869598866e-06
1980,40,1603,1603,6,75,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,76,2,3,0.00311915159077,0.000623830318153,NaN,NaN,0.00626563966982,1.95434799433e-06
1980,40,1603,1603,6,80,2,5,0.00311915159077,0.000623830318153,NaN,NaN,0.0410084146063,6.39557308271e-06
1980,40,1603,1602,6,83,2,2,0.00312109862672,0.00561797752809,-1.75342619478e-05,1.0,0.0283370302368,1.76885332314e-05
1980,40,1603,1603,6,84,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,86,2,2,0.00311915159077,0.00124766063631,-3.89164265846e-06,0.999999999996,0.00626563966982,3.90869598866e-06
1980,40,1603,1603,6,88,2,2,0.00311915159077,0.00311915159077,-9.72910664609e-06,0.999999999991,0.0156935061192,9.79008491528e-06
1980,40,1603,1603,6,90,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,91,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,92,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,93,2,3,0.00311915159077,0.000623830318153,NaN,NaN,16.5387414244,0.00515868416232
1980,40,1603,1603,6,94,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1602,6,95,2,2,0.00312109862672,0.00187265917603,-5.84475398258e-06,0.999999999993,0.00941023330565,5.87405324947e-06
1980,40,1603,1603,6,96,2,3,0.00311915159077,0.00124766063631,NaN,NaN,0.0188439995831,5.8777291276e-06
1980,40,1603,1603,6,98,2,3,0.00311915159077,0.000623830318153,NaN,NaN,0.41317261026,0.000128874800455
1980,40,1603,1603,6,99,2,3,0.00311915159077,0.000623830318153,NaN,NaN,0.00626563966982,1.95434799433e-06
1980,40,1603,1603,6,100,2,3,0.00311915159077,0.000623830318153,NaN,NaN,0.00626563966982,1.95434799433e-06
1980,40,1603,1603,6,101,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,102,2,3,0.00311915159077,0.00124766063631,NaN,NaN,0.0251568378969,7.84679909448e-06
1980,40,1603,1603,6,103,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,104,2,5,0.00311915159077,0.000623830318153,NaN,NaN,62.5658494538,0.00975761844257
1980,40,1603,1603,6,105,2,3,0.00311915159077,0.00249532127261,NaN,NaN,0.0283191976168,8.83318702958e-06
1980,40,1603,1602,6,106,2,4,0.00312109862672,0.00249687890137,NaN,NaN,0.769139220271,0.000160037290943
1980,40,1603,1603,6,107,2,5,0.00311915159077,0.000623830318153,NaN,NaN,0.246186741935,3.83946883867e-05
1980,40,1603,1603,6,108,2,4,0.00311915159077,0.000623830318153,NaN,NaN,0.249632603951,5.1909462248e-05
1980,40,1603,1603,6,109,2,3,0.00311915159077,0.00249532127261,NaN,NaN,0.427874891007,0.000133460664693
1980,40,1603,1603,6,110,2,3,0.00311915159077,0.00124766063631,NaN,NaN,0.012546953235,3.91358491423e-06
1980,40,1603,1603,6,111,2,5,0.00311915159077,0.000623830318153,NaN,NaN,8.32027547488,0.00129761002415
1980,40,1603,1603,6,112,2,4,0.00311915159077,0.000623830318153,NaN,NaN,0.0665793525092,1.38447395528e-05
1980,40,1603,1603,6,113,2,4,0.00311915159077,0.000623830318153,NaN,NaN,0.0156935061192,3.26336163843e-06
1980,40,1603,1603,6,114,2,4,0.00311915159077,0.000623830318153,NaN,NaN,0.105424376011,2.19223073428e-05
1980,40,1603,1603,6,115,2,9,0.00311915159077,0.000623830318153,NaN,NaN,11.5960873096,0.000904248854457
1980,40,1603,1603,6,116,2,5,0.00311915159077,0.000623830318153,NaN,NaN,0.191659992737,2.98908285616e-05
1980,40,1603,1603,6,117,2,5,0.00311915159077,0.000623830318153,NaN,NaN,0.242745387261,3.78579830413e-05
1980,40,1603,1603,6,118,2,2,0.00311915159077,0.0199625701809,-6.22662825356e-05,1.0,0.102164624941,6.37333904809e-05
1980,40,1603,1603,6,119,2,4,0.00311915159077,0.000623830318153,NaN,NaN,0.0346558354979,7.20645362817e-06
1980,40,1603,1603,6,120,2,6,0.00311915159077,0.000623830318153,NaN,NaN,7.07235554669,0.000882389962157
1980,40,1603,1603,6,121,2,5,0.00311915159077,0.000623830318153,NaN,NaN,0.0730125473297,1.13868601575e-05
1980,40,1603,1603,6,122,2,3,0.00311915159077,0.00249532127261,NaN,NaN,0.0283191976168,8.83318702958e-06
1980,40,1603,1603,6,123,2,3,0.00311915159077,0.000623830318153,NaN,NaN,0.0188439995831,5.8777291276e-06
1980,40,1603,1603,6,124,2,3,0.00311915159077,0.0093574547723,NaN,NaN,0.218781370593,6.82412260117e-05
1980,40,1603,1603,6,125,2,3,0.00311915159077,0.00249532127261,NaN,NaN,0.0283191976168,8.83318702958e-06
1980,40,1603,1603,6,126,2,3,0.00311915159077,0.000623830318153,NaN,NaN,0.00940433354193,2.93335419274e-06
1980,40,1603,1603,6,127,2,3,0.00311915159077,0.0118527760449,NaN,NaN,0.735484359025,0.000229408720844
1980,40,1603,1603,6,128,2,4,0.00311915159077,0.00124766063631,NaN,NaN,0.171502684808,3.56628581426e-05
1980,40,1603,1603,6,129,2,2,0.00311915159077,0.032439176544,-0.00010118270912,1.0,0.168158295871,0.000104902243213
1980,40,1603,1603,6,130,2,3,0.00311915159077,0.000623830318153,NaN,NaN,0.0156935061192,4.89504245764e-06
1980,40,1603,1603,6,131,2,4,0.00311915159077,0.00124766063631,NaN,NaN,0.0633688509879,1.31771368243e-05
1980,40,1603,1603,6,132,2,5,0.00311915159077,0.000623830318153,NaN,NaN,0.0188439995831,2.9388645638e-06
1980,40,1603,1603,6,133,2,2,0.00311915159077,0.00124766063631,-3.89164265846e-06,0.999999999996,0.00626563966982,3.90869598866e-06
1980,40,1603,1603,6,136,2,4,0.00311915159077,0.000623830318153,NaN,NaN,0.00940433354193,1.95556946183e-06
1980,40,1603,1603,6,137,2,2,0.00311915159077,0.00124766063631,-3.89164265846e-06,0.999999999996,0.00626563966982,3.90869598866e-06
1980,40,1603,1603,6,138,2,2,0.00311915159077,0.000623830318153,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,139,2,4,0.00311915159077,0.00249532127261,NaN,NaN,0.118505011852,2.46423397489e-05
